gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CAF	Endo	Macro	NK	T_cell	malignant_cell
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS0D41E15AC	0.539	0.244	0.462	0.457	0.483	0.489	0.204
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.539	0.244	0.462	0.457	0.483	0.489	0.204
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2.184	1.706	1.971	2.192	2.295	2.254	1.601
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.055	0.249	0.369	0.365	0.113	0.136	0.143
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.009	0.0	0.0	0.006	0.0	0.005	0.003
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.01	0.0	0.016	0.0	0.315	0.021	0.001
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.317	0.134	0.447	0.219	0.381	0.345	0.321
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.022	0.0	0.016	0.015	0.045	0.845	0.012
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.539	0.244	0.462	0.457	0.483	0.489	0.204
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.054	0.328	0.192	0.095	0.106	0.097	0.274
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.539	0.244	0.462	0.457	0.483	0.489	0.204
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	2.184	1.706	1.971	2.192	2.295	2.254	1.601
BMP10	O95393	False	BMP10_HUMAN		CPI-SS025CAD24A	0.003	0.018	0.0	0.0	0.0	0.002	0.001
GAST	P01350	False	GAST_HUMAN		CPI-SS079FD6EC6	0.0	0.0	0.0	0.0	0.0	0.001	0.0
HLA-C	HLAC	False	HLAC		CPI-SS0E91E504D	2.184	1.706	1.971	2.192	2.295	2.254	1.601
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	2.184	1.706	1.971	2.192	2.295	2.254	1.601
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.001	0.0	0.0	0.144	0.0	0.002	0.001
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.68	0.0	0.0	0.006	0.0	0.015	0.001
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.055	0.249	0.369	0.365	0.113	0.136	0.143
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0D26F639E	0.01	0.0	0.016	0.0	0.315	0.021	0.001
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.114	0.032	0.009	0.005	0.468	0.615	0.004
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.021	0.228	0.144	0.0	0.036	0.123	0.021
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.115	0.042	0.157	1.688	0.113	0.093	0.682
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.022	0.0	0.016	0.015	0.045	0.845	0.012
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.079	0.0	0.0	0.145	0.029	0.067	0.004
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.022	0.0	0.016	0.015	0.045	0.845	0.012
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.009	0.517	0.039	0.002	0.037	0.004	0.023
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.009	0.517	0.039	0.002	0.037	0.004	0.023
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	1.94	0.345	0.674	1.891	0.347	0.869	0.147
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.062	0.038	0.038	0.03	0.024	0.069	0.042
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.173	0.098	0.098	0.124	0.253	0.171	1.17
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.009	0.517	0.039	0.002	0.037	0.004	0.023
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.009	0.517	0.039	0.002	0.037	0.004	0.023
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.009	0.517	0.039	0.002	0.037	0.004	0.023
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.009	0.517	0.039	0.002	0.037	0.004	0.023
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	2.565	0.809	1.824	2.41	1.611	1.855	0.523
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.009	0.517	0.039	0.002	0.037	0.004	0.023
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.331	0.513	0.542	1.141	0.445	0.301	0.847
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.009	0.517	0.039	0.002	0.037	0.004	0.023
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.018	1.009	1.081	0.884	0.532	0.199	0.624
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.002	0.047	0.008	0.0	0.009	0.028	0.001
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.406	0.449	0.636	1.327	0.767	1.028	0.114
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.009	0.517	0.039	0.002	0.037	0.004	0.023
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.173	0.098	0.098	0.124	0.253	0.171	1.17
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.009	0.517	0.039	0.002	0.037	0.004	0.023
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	2.565	0.809	1.824	2.41	1.611	1.855	0.523
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.002	0.047	0.008	0.0	0.009	0.028	0.001
MTNR1B	P49286	False	MTR1B_HUMAN		CPI-SS04C3EC52C	0.0	0.0	0.0	0.0	0.0	0.003	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07F042076	0.009	0.517	0.039	0.002	0.037	0.004	0.023
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.009	0.517	0.039	0.002	0.037	0.004	0.023
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.096	1.249	0.093	1.358	1.12	1.333	1.485
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.013	0.007	0.012	0.007	0.0	0.011	0.01
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.94	0.345	0.674	1.891	0.347	0.869	0.147
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.377	0.043	0.025	0.006	0.0	0.025	0.015
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.293	0.454	0.107	0.498	0.16	0.406	0.52
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.918	0.419	0.38	0.559	0.039	0.027	0.095
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.136	0.0	0.011	0.0	0.0	0.002	0.001
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.16	0.007	0.0	0.0	0.0	0.007	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	2.565	0.809	1.824	2.41	1.611	1.855	0.523
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.331	0.513	0.542	1.141	0.445	0.301	0.847
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.331	0.513	0.542	1.141	0.445	0.301	0.847
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.018	1.009	1.081	0.884	0.532	0.199	0.624
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.459	0.425	0.766	0.426	0.253	0.384	0.514
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.021	0.376	0.306	0.052	0.035	0.028	0.105
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.05	0.545	0.023	0.153	0.183	0.37	0.116
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS004A073E1	0.002	0.047	0.008	0.0	0.009	0.028	0.001
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.007	0.283	0.003	0.016	0.0	0.009	0.099
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.002	0.047	0.008	0.0	0.009	0.028	0.001
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.002	0.047	0.008	0.0	0.009	0.028	0.001
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.159	0.064	0.02	0.135	0.035	0.31	0.014
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.002	0.047	0.008	0.0	0.009	0.028	0.001
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	1.096	1.249	0.093	1.358	1.12	1.333	1.485
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0BDC04683	0.074	0.016	0.47	0.05	0.007	0.064	0.548
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.013	0.007	0.012	0.007	0.0	0.011	0.01
KLRF2	D3W0D1	False	KLRF2_HUMAN		CPI-SS04C8BC444	0.001	0.0	0.0	0.0	0.0	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.01	1.163	0.716	0.711	0.0	0.075	0.026
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.031	0.243	0.882	0.391	0.0	0.022	0.862
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.01	1.163	0.716	0.711	0.0	0.075	0.026
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.031	0.243	0.882	0.391	0.0	0.022	0.862
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.391	0.162	0.563	0.296	0.347	0.364	0.141
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.01	1.163	0.716	0.711	0.0	0.075	0.026
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.391	0.162	0.563	0.296	0.347	0.364	0.141
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.151	0.085	0.14	0.196	0.602	0.092	0.027
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.01	1.163	0.716	0.711	0.0	0.075	0.026
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.031	0.243	0.882	0.391	0.0	0.022	0.862
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.031	0.243	0.882	0.391	0.0	0.022	0.862
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	2.092	1.627	2.029	2.15	2.245	2.245	1.742
BMP10	O95393	False	BMP10_HUMAN		CPI-SS00F977575	0.003	0.018	0.0	0.0	0.0	0.002	0.001
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	1.223	0.692	1.339	1.348	1.642	1.56	1.004
BMP10	O95393	False	BMP10_HUMAN		CPI-SS0B26EEF21	0.003	0.018	0.0	0.0	0.0	0.002	0.001
GAST	P01350	False	GAST_HUMAN		CPI-SS094C06AA8	0.0	0.0	0.0	0.0	0.0	0.001	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.084	0.029	0.046	0.872	1.873	0.989	0.023
IGF2	P01344	False	IGF2_HUMAN		CPI-SS016B111FE	0.001	0.655	0.095	0.012	0.0	0.005	0.008
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0714977CA	0.017	0.109	0.0	0.006	0.032	0.008	0.045
IFNA8	P32881	False	IFNA8_HUMAN		CPI-SS000171CB7	0.005	0.0	0.0	0.009	0.0	0.003	0.0
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS0E1389B57	0.29	0.114	0.176	0.151	0.342	0.296	0.105
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.041	0.007	0.017	0.606	1.298	0.739	0.016
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	1.223	0.692	1.339	1.348	1.642	1.56	1.004
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	2.295	1.683	2.064	2.263	2.352	2.318	1.641
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	1.223	0.692	1.339	1.348	1.642	1.56	1.004
INS	P01308	False	INS_HUMAN		CPI-SS0323A2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.305	0.054	0.06	0.456	0.072	0.081	0.022
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.669	0.394	0.664	0.983	1.144	0.918	0.484
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	1.223	0.692	1.339	1.348	1.642	1.56	1.004
INS	P01308	False	INS_HUMAN		CPI-SS0EF2E7F3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.669	0.394	0.664	0.983	1.144	0.918	0.484
GAST	P01350	False	GAST_HUMAN		CPI-SS0830AF8E6	0.0	0.0	0.0	0.0	0.0	0.001	0.0
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	0.006	0.015	0.0	0.0	0.0	0.001	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.084	0.029	0.046	0.872	1.873	0.989	0.023
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.044	0.029	0.0	1.292	1.164	0.459	0.036
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	1.73	0.881	1.131	1.317	2.145	2.046	1.019
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.084	0.029	0.046	0.872	1.873	0.989	0.023
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.011	0.613	0.433	0.08	0.068	0.256	0.103
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.084	0.029	0.046	0.872	1.873	0.989	0.023
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.084	0.029	0.046	0.872	1.873	0.989	0.023
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.001	0.655	0.095	0.012	0.0	0.005	0.008
INS	P01308	False	INS_HUMAN		CPI-SS06908C6CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.044	0.029	0.0	1.292	1.164	0.459	0.036
GCG	P01275	False	GLUC_HUMAN		CPI-SS01A29DD97	0.001	0.0	0.0	0.0	0.0	0.003	0.0
IAPP	P10997	False	IAPP_HUMAN		CPI-SS0FC2B68F1	0.907	0.337	0.6	0.538	0.818	0.87	0.359
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.001	0.655	0.095	0.012	0.0	0.005	0.008
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.207	0.639	0.477	0.384	0.161	0.205	0.083
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.001	0.655	0.095	0.012	0.0	0.005	0.008
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.017	0.109	0.0	0.006	0.032	0.008	0.045
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.0	0.039	0.0	0.0	0.0	0.0	0.003
NTF4	P34130	False	NTF4_HUMAN		CPI-SS088C1035B	0.0	0.0	0.0	0.0	0.0	0.002	0.001
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.017	0.109	0.0	0.006	0.032	0.008	0.045
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.706	1.339	1.671	1.966	0.316	0.231	1.555
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.492	1.1	0.836	0.898	0.501	0.638	1.085
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.017	0.109	0.0	0.006	0.032	0.008	0.045
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS04A8E4200	0.29	0.114	0.176	0.151	0.342	0.296	0.105
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.285	0.262	1.02	0.033	0.0	0.238	0.312
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS0518D683C	0.29	0.114	0.176	0.151	0.342	0.296	0.105
PROK1	P58294	False	PROK1_HUMAN		CPI-SS04465565A	0.002	0.016	0.0	0.0	0.007	0.002	0.001
