T_cell	CAF	interaction.type	LRscore
CXCL13	ADRA2A	autocrine|paracrine	0.643917275637732
CALM1	PDE1B	autocrine|paracrine	0.642576357900046
IRAK4	TLR4	autocrine|paracrine	0.642543211825347
CALM2	PDE1B	autocrine|paracrine	0.641252209475942
CALR	ITGA3	autocrine|paracrine	0.640805161494378
CALM3	PDE1C	autocrine|paracrine	0.638499360667429
CALM3	AQP6	autocrine|paracrine	0.638322332698101
HHLA3	CHRM3	autocrine|paracrine	0.63784240257376
TNFSF10	TNFRSF11B	autocrine|paracrine	0.637347949262404
BMP7	BMPR2	autocrine|paracrine	0.636663398326176
HLA-F	LILRB1	autocrine|paracrine	0.635969636112287
FADD	FAS	autocrine|paracrine	0.63591775090519
IL11	IL11RA	autocrine|paracrine	0.635158468977392
BMP7	ACVR1	autocrine|paracrine	0.634957623664024
SEMA4D	MET	autocrine|paracrine	0.634607886250891
IAPP	RAMP1	autocrine|paracrine	0.634521778521389
NAMPT	INSR	autocrine|paracrine	0.633649331695675
HLA-B	CD3D	autocrine|paracrine	0.632941746756753
GNAI2	EDNRA	autocrine|paracrine	0.631972094315866
ADIPOQ	ADIPOR1	autocrine|paracrine	0.630917647829207
SEMA3E	NRP1	autocrine|paracrine	0.63058132097329
VCAM1	ITGA4	autocrine|paracrine	0.630161359867326
ARPC5	ADRB2	autocrine|paracrine	0.629941281282104
APP	CD74	autocrine|paracrine	0.629612876221756
IL16	CD4	autocrine|paracrine	0.629230640255911
ICAM4	ITGAV	autocrine|paracrine	0.627121065143094
APOE	LRP1	autocrine|paracrine	0.626135089054726
DUSP18	CD151	autocrine|paracrine	0.626054627585939
GNAS	ADCY9	autocrine|paracrine	0.625522111999373
LRPAP1	SORT1	autocrine|paracrine	0.625335356020899
HLA-A	CD3D	autocrine|paracrine	0.624984572145353
HLA-C	CD3D	autocrine|paracrine	0.624446507515018
ADAM10	EPHA3	autocrine|paracrine	0.624392048414945
APP	NCSTN	autocrine|paracrine	0.623359011817163
FGB	ITGB1	autocrine|paracrine	0.622825079550278
MFNG	NOTCH1	autocrine|paracrine	0.620629769907429
ACTR2	ADRB2	autocrine|paracrine	0.620543618237426
LYZ	ITGAL	autocrine|paracrine	0.617251391880351
MFGE8	PDGFRB	autocrine|paracrine	0.616809606959888
TGFB1	ENG	autocrine|paracrine	0.616436583176219
PAPLN	SIRPA	autocrine|paracrine	0.616105475305037
HLA-G	CD4	autocrine|paracrine	0.613766010956789
BMP8A	BMPR2	autocrine|paracrine	0.613403568831055
GNAS	TSHR	autocrine|paracrine	0.612844974290511
LRPAP1	VLDLR	autocrine|paracrine	0.611824150400677
CCL5	CXCR3	autocrine|paracrine	0.611582092993422
IL16	KCNJ15	autocrine|paracrine	0.610481771699922
IRAK4	TLR6	autocrine|paracrine	0.610155820466631
TNF	TRADD	autocrine|paracrine	0.609811159741653
BMP7	ACVR2A	autocrine|paracrine	0.608870450217566
CALM3	PDE1A	autocrine|paracrine	0.608811419768174
TNFSF12	TNFRSF12A	autocrine|paracrine	0.605348265760888
TGFB1	CAV1	autocrine|paracrine	0.605283873040369
TNC	ITGB1	autocrine|paracrine	0.605084666196017
PDGFD	PDGFRB	autocrine|paracrine	0.603564822977719
WNT7B	FZD4	autocrine|paracrine	0.603260556036104
PDGFD	PDGFRA	autocrine|paracrine	0.602604298787582
COL9A2	ITGB1	autocrine|paracrine	0.602516352580005
HSP90B1	TLR7	autocrine|paracrine	0.600592405588528
ICAM1	SPN	autocrine|paracrine	0.598316058069845
COL6A3	ITGB1	autocrine|paracrine	0.59663852342936
TNF	TNFRSF1B	autocrine|paracrine	0.596024646748704
B2M	KLRC2	autocrine|paracrine	0.595285391882479
SELPLG	SELL	autocrine|paracrine	0.595036512517627
ITGB3BP	ITGB5	autocrine|paracrine	0.594853911320258
ADAM10	NOTCH1	autocrine|paracrine	0.594631782973185
MDK	ITGB1	autocrine|paracrine	0.593780716269703
C1QB	LRP1	autocrine|paracrine	0.592809690010145
OSM	OSMR	autocrine|paracrine	0.592400105951383
SPP1	ITGB1	autocrine|paracrine	0.590266624113818
UBA52	AGTR1	autocrine|paracrine	0.589750120006337
SEMA4A	PLXND1	autocrine|paracrine	0.58882888726179
SEMA4A	PLXND1	autocrine|paracrine	0.58882888726179
IL16	KCND2	autocrine|paracrine	0.587873237196736
LTBP3	ITGB5	autocrine|paracrine	0.586330465761547
LAMC2	CD151	autocrine|paracrine	0.584098207433995
GNAI2	EDNRB	autocrine|paracrine	0.582968395297248
CXCL13	CCR10	autocrine|paracrine	0.582885775754525
CDH1	EGFR	autocrine|paracrine	0.582538343857696
OLAH	MOG	autocrine|paracrine	0.582205305680572
CALM3	GP6	autocrine|paracrine	0.582170858839879
CALM1	KCNQ5	autocrine|paracrine	0.581978941015616
OSM	IL6ST	autocrine|paracrine	0.581218103633004
CTF1	IL6ST	autocrine|paracrine	0.580592084075387
CALM2	KCNQ5	autocrine|paracrine	0.580576830073629
BMP7	BMPR1A	autocrine|paracrine	0.580135378513948
PTDSS1	SCARB1	autocrine|paracrine	0.579875829908413
ICAM3	ITGAL	autocrine|paracrine	0.579772136884325
CALM1	PTH2R	autocrine|paracrine	0.579339751407028
LRPAP1	SORL1	autocrine|paracrine	0.578411722983837
SELPLG	ITGB2	autocrine|paracrine	0.578115100229389
CALM1	GRM3	autocrine|paracrine	0.57780711818032
RTN4	NGFR	autocrine|paracrine	0.576973081734837
HLA-C	NOTCH4	autocrine|paracrine	0.576637340406162
LTA	TNFRSF14	autocrine|paracrine	0.576267212142806
ADAM15	ITGA5	autocrine|paracrine	0.57551718193742
EREG	EGFR	autocrine|paracrine	0.574682965855508
TDGF1	GPC1	autocrine|paracrine	0.574207133214557
CCL5	CCR3	autocrine|paracrine	0.573892904488837
FGF5	FGFR2	autocrine|paracrine	0.573408474667073
TNFSF10	TNFRSF10D	autocrine|paracrine	0.57247778159823
IRAK4	TLR7	autocrine|paracrine	0.572214183348116
GNAI2	ADCY7	autocrine|paracrine	0.572034907817436
ICAM4	ITGA4	autocrine|paracrine	0.571879414700347
IAPP	ADRB2	autocrine|paracrine	0.571608868230087
IL16	KCND1	autocrine|paracrine	0.570516514752713
SPP1	CD44	autocrine|paracrine	0.5700325726152
PSEN1	NOTCH3	autocrine|paracrine	0.569583342712978
HSP90B1	TLR1	autocrine|paracrine	0.568765226108464
ICAM4	ITGB3	autocrine|paracrine	0.568545962216781
TP53	TNFRSF10D	autocrine|paracrine	0.568126115040473
GNAS	ADORA1	autocrine|paracrine	0.56601902752274
VEGFB	NRP1	autocrine|paracrine	0.565714973120783
TGFB1	SDC2	autocrine|paracrine	0.565144286621716
CCL16	ADRA2A	autocrine|paracrine	0.564579436982242
GNAI2	ADRA2A	autocrine|paracrine	0.56384283381325
FN1	ITGB1	autocrine|paracrine	0.563815100331327
LAMA4	ITGB1	autocrine|paracrine	0.562810484473138
IAPP	TSHR	autocrine|paracrine	0.561495734455789
ADAM17	NOTCH1	autocrine|paracrine	0.561058998940081
LTA	TNFRSF1B	autocrine|paracrine	0.560682282611828
MDK	LRP1	autocrine|paracrine	0.560426272497077
KLRB1	CLEC2D	autocrine|paracrine	0.56037381325657
ICAM3	ITGB2	autocrine|paracrine	0.560081019027666
FABP5	RXRA	autocrine|paracrine	0.559431967609026
SEMA4F	NRP2	autocrine|paracrine	0.557059978969493
ADA	DPP4	autocrine|paracrine	0.556347943182903
BMP8A	BMPR1A	autocrine|paracrine	0.55578169815048
TIMP2	ITGB1	autocrine|paracrine	0.552942684484604
LAMB2	RPSA	autocrine|paracrine	0.552080428098276
CALM3	SELL	autocrine|paracrine	0.550744177165452
CDH1	CDH2	autocrine|paracrine	0.549661730527789
TNFSF15	TNFRSF6B	autocrine|paracrine	0.547955507865544
HLA-E	KLRC2	autocrine|paracrine	0.54722590534401
FGB	ITGA5	autocrine|paracrine	0.546597747551814
SEMA4D	PLXNB1	autocrine|paracrine	0.546492595432065
IL15	IL15RA	autocrine|paracrine	0.546188666618076
F8	LRP1	autocrine|paracrine	0.545374328084058
CDH1	IGF1R	autocrine|paracrine	0.544737378680091
FN1	CD44	autocrine|paracrine	0.543285496246043
MFAP5	NOTCH1	autocrine|paracrine	0.541291955950053
CALM3	PDE1B	autocrine|paracrine	0.540608480890461
CCL5	GRM7	autocrine|paracrine	0.53955020476974
APP	GPC1	autocrine|paracrine	0.537171065210653
COL18A1	ITGB1	autocrine|paracrine	0.534682731552513
RTN4	GJB2	autocrine|paracrine	0.533354086479972
BTLA	CD79A	autocrine|paracrine	0.532723729496849
LRPAP1	LRP8	autocrine|paracrine	0.531502593634338
IL24	IL10RB	autocrine|paracrine	0.529999424552413
WNT7B	FZD1	autocrine|paracrine	0.529551837459265
CALM1	KCNQ1	autocrine|paracrine	0.52845679782245
TNC	ITGA5	autocrine|paracrine	0.527989157954886
CALM2	KCNQ1	autocrine|paracrine	0.52702106384177
PSEN1	NOTCH1	autocrine|paracrine	0.525907105487159
MTMR4	SMAD3	autocrine|paracrine	0.52577560783571
VCL	ITGB5	autocrine|paracrine	0.525356523745696
RPS27A	LRP2	autocrine|paracrine	0.524651077675794
DUSP18	ITGA1	autocrine|paracrine	0.524469230133253
TNC	NT5E	autocrine|paracrine	0.523584393945766
ADAM9	ITGB1	autocrine|paracrine	0.523298650236714
GNAI2	S1PR1	autocrine|paracrine	0.523051038866938
IGF1	IGF1R	autocrine|paracrine	0.522468645296265
HLA-G	LILRB1	autocrine|paracrine	0.522051494324277
TDGF1	ACVR2A	autocrine|paracrine	0.521611381526568
EGF	CAV1	autocrine|paracrine	0.520489290707512
ADM2	RAMP2	autocrine|paracrine	0.519833447259487
LGALS9	HAVCR2	autocrine|paracrine	0.518158200202724
UBC	LRP2	autocrine|paracrine	0.518053351481672
PDGFB	LRP1	autocrine|paracrine	0.51787651661284
LGALS3BP	VANGL1	autocrine|paracrine	0.516264896161163
TNF	TNFRSF21	autocrine|paracrine	0.514934328209295
PECAM1	CD38	autocrine|paracrine	0.513661114725157
CXCL16	ADRA2A	autocrine|paracrine	0.513193730723536
GNAS	PTGDR	autocrine|paracrine	0.512997345490692
TDGF1	SMAD3	autocrine|paracrine	0.512712597920854
SPP1	ITGA5	autocrine|paracrine	0.512608449687204
ITGB3BP	ITGB3	autocrine|paracrine	0.512427062992062
LTA	EDNRA	autocrine|paracrine	0.511791325204332
IGF1	INSR	autocrine|paracrine	0.508439069965343
HSPA8	LRP2	autocrine|paracrine	0.508376911837876
TGFB1	ITGB5	autocrine|paracrine	0.507078950805804
ST6GAL1	CD22	autocrine|paracrine	0.506672928744949
ADM2	RAMP3	autocrine|paracrine	0.506196781748587
GNAI2	S1PR5	autocrine|paracrine	0.506002463404599
TGFB3	ITGB1	autocrine|paracrine	0.505850445497375
HRAS	CAV1	autocrine|paracrine	0.5054795884168
GNAI2	ADCY9	autocrine|paracrine	0.505448673177011
CCL16	HRH4	autocrine|paracrine	0.503811033941662
PDGFA	PDGFRB	autocrine|paracrine	0.503346422160602
CCL5	CCR1	autocrine|paracrine	0.50296680865334
MFGE8	ITGAV	autocrine|paracrine	0.502571876524532
PDGFA	PDGFRA	autocrine|paracrine	0.502343290190941
CD14	ITGB1	autocrine|paracrine	0.502220118408583
LIPC	LRP1	autocrine|paracrine	0.502010937783509
VCAN	ITGB1	autocrine|paracrine	0.501353855622604
LAMB2	ITGB1	autocrine|paracrine	0.500349420862806
