malignant_cell	CAF	interaction.type	LRscore
SPP1	ITGB5	autocrine|paracrine	0.813810437037376
SEMA3C	NRP1	autocrine|paracrine	0.813578716494401
HSP90AA1	ITGB3	autocrine|paracrine	0.812640703764076
HSPG2	ITGB1	autocrine|paracrine	0.812444715535681
ADAM15	ITGA5	autocrine|paracrine	0.811505445341528
LGALS1	PTPRC	autocrine|paracrine	0.809901587268688
HSP90AA1	ERBB2	autocrine|paracrine	0.809578924253463
ARF1	PLD2	autocrine|paracrine	0.808961777627856
HMGB1	SDC1	autocrine|paracrine	0.808326570116096
LAMC1	ITGB1	autocrine|paracrine	0.808048776486256
UBA52	ACVR1	autocrine|paracrine	0.806990701619917
TIMP3	ADAM17	autocrine|paracrine	0.804943371295765
JAM3	ITGB1	autocrine|paracrine	0.804861483727687
CCL5	SDC4	autocrine|paracrine	0.804354948735802
COL1A2	ITGB1	autocrine|paracrine	0.803331659729185
COL6A1	ITGB1	autocrine|paracrine	0.802839835176251
DUSP18	RPSA	autocrine|paracrine	0.802082623392549
HMGB1	THBD	autocrine|paracrine	0.801273171235901
PSEN1	CD44	autocrine|paracrine	0.801090336191494
CTGF	LRP1	autocrine|paracrine	0.800571372910902
SPP1	ITGAV	autocrine|paracrine	0.799725104691924
ARPC5	LDLR	autocrine|paracrine	0.799519012988422
PLTP	ABCA1	autocrine|paracrine	0.799323708458184
SERPINA1	LRP1	autocrine|paracrine	0.798853293559107
HSP90B1	ERBB2	autocrine|paracrine	0.795905539682367
CALM1	INSR	autocrine|paracrine	0.793361810392859
B2M	CD3G	autocrine|paracrine	0.792981053569282
LRPAP1	LDLR	autocrine|paracrine	0.792523181455886
GNAS	PTGIR	autocrine|paracrine	0.792292861691405
ADAM17	ITGA5	autocrine|paracrine	0.791985508254914
ICAM1	EGFR	autocrine|paracrine	0.791216901350051
UBC	RIPK1	autocrine|paracrine	0.79087461552475
TGM2	ITGB1	autocrine|paracrine	0.790781788058884
HSPG2	LRP1	autocrine|paracrine	0.790716464656624
FN1	ITGAV	autocrine|paracrine	0.790584157907193
COL1A2	CD44	autocrine|paracrine	0.789873860929637
AGRN	ITGB1	autocrine|paracrine	0.788641830735075
UBB	RIPK1	autocrine|paracrine	0.78794512668017
RPS27A	RIPK1	autocrine|paracrine	0.787659102818983
PRSS23	TMEM222	autocrine|paracrine	0.787160325682229
FBLN1	ITGB1	autocrine|paracrine	0.784710780025372
UBA52	TGFBR1	autocrine|paracrine	0.784490411059417
CCL5	SDC1	autocrine|paracrine	0.784329950942602
SEMA7A	ITGB1	autocrine|paracrine	0.783477434511288
GNAI2	CAV1	autocrine|paracrine	0.783373436048577
UBA52	SMAD3	autocrine|paracrine	0.78312269160014
SERPINE1	LRP1	autocrine|paracrine	0.781398569606549
APOC2	LDLR	autocrine|paracrine	0.781238639984498
HLA-A	CD3G	autocrine|paracrine	0.781023311928911
CDH1	EGFR	autocrine|paracrine	0.779043793305773
TNC	ITGA5	autocrine|paracrine	0.778588296218362
MFGE8	ITGB3	autocrine|paracrine	0.778384825508183
PSAP	SORT1	autocrine|paracrine	0.778024037303985
FYN	THY1	autocrine|paracrine	0.77683254924058
HLA-B	CD3G	autocrine|paracrine	0.776636495141555
GSTP1	TRAF2	autocrine|paracrine	0.775649135351417
TNC	NT5E	autocrine|paracrine	0.775527869668511
CALM1	PTPRA	autocrine|paracrine	0.773555360479186
UBA52	ERBB2	autocrine|paracrine	0.773414131775062
LPL	CD44	autocrine|paracrine	0.773310167133852
UBC	TLR4	autocrine|paracrine	0.77241477807375
CALM2	CACNA1C	autocrine|paracrine	0.771149359938911
HLA-C	CD3G	autocrine|paracrine	0.770933407482661
CTGF	ITGA5	autocrine|paracrine	0.770647473650866
UBB	TLR4	autocrine|paracrine	0.769302129324888
RPS27A	TLR4	autocrine|paracrine	0.768998331475861
LGALS3BP	VANGL1	autocrine|paracrine	0.768746660360681
PSEN1	NCSTN	autocrine|paracrine	0.767580773737898
DUSP18	ITGB1	autocrine|paracrine	0.767041325605943
MDK	SDC4	autocrine|paracrine	0.767005798418022
ACTR2	LDLR	autocrine|paracrine	0.766468102696275
FN1	TNFRSF11B	autocrine|paracrine	0.765733033467301
FN1	IL17RC	autocrine|paracrine	0.765011144121605
AGRN	LRP1	autocrine|paracrine	0.764953801744349
LAMA1	RPSA	autocrine|paracrine	0.764785415856465
COL9A3	ITGB1	autocrine|paracrine	0.764616964085701
MFI2	TFRC	autocrine|paracrine	0.763908155178836
LPL	LRP1	autocrine|paracrine	0.763769213505824
APP	GPC1	autocrine|paracrine	0.763315879978777
SERPING1	LRP1	autocrine|paracrine	0.763045323167878
SPP1	ITGA4	autocrine|paracrine	0.760279887886716
NAMPT	INSR	autocrine|paracrine	0.760208297495859
SPP1	ITGB3	autocrine|paracrine	0.757792078443004
PSAP	GPR37L1	autocrine|paracrine	0.757418053784647
GPI	AMFR	autocrine|paracrine	0.756590106705437
CALM3	ABCA1	autocrine|paracrine	0.756517188992287
CALM2	PDE1C	autocrine|paracrine	0.756092624682642
CALM2	AQP6	autocrine|paracrine	0.755951171912725
B2M	HFE	autocrine|paracrine	0.755674349287734
GNAI2	F2R	autocrine|paracrine	0.755633356531594
HLA-C	DDR1	autocrine|paracrine	0.755377813660899
FN1	ITGA8	autocrine|paracrine	0.755366541009426
CDH1	CDH2	autocrine|paracrine	0.755137767797183
ICAM1	SPN	autocrine|paracrine	0.753806231343023
PSEN1	NOTCH2	autocrine|paracrine	0.752880925945375
UBC	FGFR2	autocrine|paracrine	0.752576460405844
CDH1	IGF1R	autocrine|paracrine	0.751444237994427
COL6A2	ITGB1	autocrine|paracrine	0.750054295057172
FN1	ITGA4	autocrine|paracrine	0.749901609462381
ADAM15	ITGAV	autocrine|paracrine	0.749805426310785
UBB	FGFR2	autocrine|paracrine	0.749280556048313
CALM3	EGFR	autocrine|paracrine	0.749105508034504
RPS27A	FGFR2	autocrine|paracrine	0.748958996234327
CALM3	MYLK	autocrine|paracrine	0.747946782937559
CYR61	CAV1	autocrine|paracrine	0.747640466403696
FN1	ITGB3	autocrine|paracrine	0.747341887466979
NUCB2	ERAP1	autocrine|paracrine	0.746924633453955
LAMA4	ITGAV	autocrine|paracrine	0.746879083155991
FN1	COL13A1	autocrine|paracrine	0.746809872302136
PTDSS1	JMJD6	autocrine|paracrine	0.744982770050701
MDK	SDC1	autocrine|paracrine	0.744372884692534
HSP90B1	TLR4	autocrine|paracrine	0.743692860022648
SERPINE1	PLAUR	autocrine|paracrine	0.742805207887177
C1QB	LRP1	autocrine|paracrine	0.74271446239933
UBA52	NOTCH1	autocrine|paracrine	0.741758951770967
VEGFB	NRP1	autocrine|paracrine	0.739896056845263
UBA52	RIPK1	autocrine|paracrine	0.738898868504895
COL18A1	ITGB1	autocrine|paracrine	0.737957577418006
COL5A2	ITGB1	autocrine|paracrine	0.736613451449601
HBEGF	CD44	autocrine|paracrine	0.736266174032594
ADAM9	ITGB5	autocrine|paracrine	0.735238078768897
UBC	ADRB2	autocrine|paracrine	0.733770212325365
CALM2	PDE1A	autocrine|paracrine	0.732008585529348
TNC	SDC4	autocrine|paracrine	0.731934594148391
CALM1	CACNA1C	autocrine|paracrine	0.731927717049353
APOE	SCARB1	autocrine|paracrine	0.731897531842107
BCAN	EGFR	autocrine|paracrine	0.73039598446368
UBB	ADRB2	autocrine|paracrine	0.730313564493868
RPS27A	ADRB2	autocrine|paracrine	0.729976445159464
THBS2	ITGB1	autocrine|paracrine	0.72934764070253
HSPA8	ADRB2	autocrine|paracrine	0.729237711565064
PDGFA	PDGFRB	autocrine|paracrine	0.72910813184874
ANXA1	ADRA2A	autocrine|paracrine	0.728665258919095
PDGFA	PDGFRA	autocrine|paracrine	0.728314865484467
HLA-G	KLRD1	autocrine|paracrine	0.727715961284985
HSPA1A	TLR4	autocrine|paracrine	0.727713587454464
LTBP3	ITGB5	autocrine|paracrine	0.727535297833849
FADD	FAS	autocrine|paracrine	0.725663528008959
UCN2	IL10RB	autocrine|paracrine	0.725544265448016
LAMA1	ITGB1	autocrine|paracrine	0.725401388690973
TNC	EGFR	autocrine|paracrine	0.725081867619603
CALR	SCARF1	autocrine|paracrine	0.723837145463808
CYR61	ITGA5	autocrine|paracrine	0.722864760401091
TLN1	ITGB5	autocrine|paracrine	0.721155970437003
CTHRC1	FZD6	autocrine|paracrine	0.720001427063485
HSPG2	PTPRS	autocrine|paracrine	0.719773038862652
APOE	VLDLR	autocrine|paracrine	0.719238772816074
GNAS	ADCY7	autocrine|paracrine	0.71772692035543
UBA52	TLR4	autocrine|paracrine	0.717489931190854
ADAM9	ITGAV	autocrine|paracrine	0.717273729690669
TF	TFRC	autocrine|paracrine	0.716938344094634
PRND	RPSA	autocrine|paracrine	0.716652053662105
COL1A2	ITGA11	autocrine|paracrine	0.715524486838255
LIN7C	ABCA1	autocrine|paracrine	0.715262583982749
CALM1	PDE1C	autocrine|paracrine	0.715243361750639
CALM1	AQP6	autocrine|paracrine	0.715087145716838
VEGFA	ITGB1	autocrine|paracrine	0.713098742012506
LAMB1	ITGAV	autocrine|paracrine	0.713019653795922
APP	NGFR	autocrine|paracrine	0.712270614656031
FARP2	PLXNA1	autocrine|paracrine	0.710361746403509
TNC	ITGAV	autocrine|paracrine	0.709964445472556
CALM2	GP6	autocrine|paracrine	0.709758175488653
HMGB1	TLR4	autocrine|paracrine	0.709506357609902
HSPG2	CHRM3	autocrine|paracrine	0.708064292551013
CALM3	INSR	autocrine|paracrine	0.707629480721238
TNC	SDC1	autocrine|paracrine	0.707195429730288
LIF	IL6ST	autocrine|paracrine	0.706912325704914
RTN4	NGFR	autocrine|paracrine	0.706903583772563
TF	LDLR	autocrine|paracrine	0.705630366668112
NID1	ITGAV	autocrine|paracrine	0.705141269304575
GNAI2	EGFR	autocrine|paracrine	0.704836487863419
FGF5	FGFR1	autocrine|paracrine	0.704609292037141
HAS2	CD44	autocrine|paracrine	0.70336892837385
HRAS	CAV1	autocrine|paracrine	0.70260769984494
COL3A1	ITGB1	autocrine|paracrine	0.702343276923313
ITGB3BP	ITGB5	autocrine|paracrine	0.70223782379386
FGF1	CD44	autocrine|paracrine	0.702050529277803
CDH1	ITGAE	autocrine|paracrine	0.701899342239975
CDH1	PTPRF	autocrine|paracrine	0.701718711835872
ADAM15	ITGB3	autocrine|paracrine	0.701323913252843
MDK	ITGA4	autocrine|paracrine	0.700959157039434
LRPAP1	SORT1	autocrine|paracrine	0.699826889863994
HBEGF	CD9	autocrine|paracrine	0.696973550631003
B2M	LILRB1	autocrine|paracrine	0.69643283007604
FN1	ITGA2	autocrine|paracrine	0.696221572464538
FGF1	NRP1	autocrine|paracrine	0.695405410865235
SEMA4C	PLXNB2	autocrine|paracrine	0.695330084671176
SERPINE1	ITGB5	autocrine|paracrine	0.695100581631916
AZGP1	ITGAV	autocrine|paracrine	0.69500365478075
UBA52	FGFR2	autocrine|paracrine	0.694755906327775
THBS1	ITGB1	autocrine|paracrine	0.693184142213678
ICAM4	ITGB1	autocrine|paracrine	0.692215619763491
ADAM10	EPHA3	autocrine|paracrine	0.691110440062508
APOE	SORL1	autocrine|paracrine	0.690393397691547
VCL	ITGB5	autocrine|paracrine	0.690147858237853
VEGFA	NRP1	autocrine|paracrine	0.689081771672633
CALM1	PDE1A	autocrine|paracrine	0.688786008806725
LAMA5	ITGB1	autocrine|paracrine	0.68832592601595
CALM1	HMMR	autocrine|paracrine	0.687669681653832
LRPAP1	VLDLR	autocrine|paracrine	0.687660254721957
F8	LRP1	autocrine|paracrine	0.687191333176565
CCL5	ADRA2A	autocrine|paracrine	0.686604987456016
LGALS1	CD69	autocrine|paracrine	0.686102721346351
CALR	TSHR	autocrine|paracrine	0.686016475651179
PGF	NRP1	autocrine|paracrine	0.685970808720307
IL10	IL10RB	autocrine|paracrine	0.685186298200533
RPS19	C5AR1	autocrine|paracrine	0.685172124155493
SEMA3B	NRP2	autocrine|paracrine	0.685168827884023
HSPG2	SDC1	autocrine|paracrine	0.684751363919732
SPTAN1	PTPRA	autocrine|paracrine	0.683490909583296
HSP90B1	TLR7	autocrine|paracrine	0.683460921191016
BST1	CAV1	autocrine|paracrine	0.683374632550651
CALM2	SELL	autocrine|paracrine	0.682697526323768
SEMA3C	PLXND1	autocrine|paracrine	0.682166028849487
GNAI2	TBXA2R	autocrine|paracrine	0.682074697042481
TGM2	SDC4	autocrine|paracrine	0.681792724743973
APP	TNFRSF21	autocrine|paracrine	0.681734594353587
DUSP18	CD151	autocrine|paracrine	0.681719732409676
SORBS1	ITGB5	autocrine|paracrine	0.681526740907389
HBEGF	CD82	autocrine|paracrine	0.681511587987634
LAMC1	ITGAV	autocrine|paracrine	0.68146461924171
HLA-A	LILRB1	autocrine|paracrine	0.681140743923682
ADM	RAMP2	autocrine|paracrine	0.677705062881704
FN1	ITGA6	autocrine|paracrine	0.677434872518744
BMP7	ENG	autocrine|paracrine	0.676979246515959
LAMB1	ITGA1	autocrine|paracrine	0.67690828103845
SERPINE1	ITGAV	autocrine|paracrine	0.675614409428457
HLA-B	LILRB1	autocrine|paracrine	0.675584103809555
LAMB3	ITGB1	autocrine|paracrine	0.675139257350447
FN1	CD79A	autocrine|paracrine	0.67492161612072
COL1A2	ITGAV	autocrine|paracrine	0.674888336775315
NOV	PLXNA1	autocrine|paracrine	0.674439768870661
RGMB	BMPR2	autocrine|paracrine	0.674415407139067
CALM2	PDE1B	autocrine|paracrine	0.673775455568135
UBA52	ADRB2	autocrine|paracrine	0.673461710381485
COL18A1	ITGA5	autocrine|paracrine	0.672773632224428
CALR	ITGA3	autocrine|paracrine	0.671960865514525
GNAI2	IGF1R	autocrine|paracrine	0.671871855336049
UBA52	BMPR1B	autocrine|paracrine	0.670737999172397
PROS1	TYRO3	autocrine|paracrine	0.670582102818211
TNFSF14	LTBR	autocrine|paracrine	0.669824787780583
RTN4	GJB2	autocrine|paracrine	0.668996003879437
HLA-C	LILRB1	autocrine|paracrine	0.668402504664881
SPP1	S1PR1	autocrine|paracrine	0.668160884227821
HRAS	SDC2	autocrine|paracrine	0.666918940350299
TNC	ITGA8	autocrine|paracrine	0.666901323892805
APOC1	VLDLR	autocrine|paracrine	0.666893385437006
FN1	ITGB8	autocrine|paracrine	0.666682156488184
ADM	RAMP3	autocrine|paracrine	0.665668339276553
CYR61	ITGB5	autocrine|paracrine	0.665266804670592
CALM1	GP6	autocrine|paracrine	0.664591294650053
ADAM10	NOTCH1	autocrine|paracrine	0.663789990974224
THBS1	LRP1	autocrine|paracrine	0.663364350148419
HHLA3	CHRM3	autocrine|paracrine	0.662852603377823
GNAI2	S1PR3	autocrine|paracrine	0.661727009023048
VCAN	ITGB1	autocrine|paracrine	0.661636214782312
CDH1	PTPRM	autocrine|paracrine	0.661427441794758
MDK	SDC3	autocrine|paracrine	0.660532783720758
GNAS	ADCY9	autocrine|paracrine	0.660349336428904
PTGS2	CAV1	autocrine|paracrine	0.658965400970538
EFEMP2	PLSCR4	autocrine|paracrine	0.658759489176455
EFNA1	EPHA10	autocrine|paracrine	0.657805254110523
TNC	ITGB3	autocrine|paracrine	0.657291355968308
IL11	IL6ST	autocrine|paracrine	0.657270287749162
LRPAP1	SORL1	autocrine|paracrine	0.657117196898837
THBS2	CD47	autocrine|paracrine	0.655309931637549
LAMA1	NT5E	autocrine|paracrine	0.654555716410405
HSP90B1	TLR1	autocrine|paracrine	0.65443777481262
EFNA5	EPHA10	autocrine|paracrine	0.653248239410362
NID1	ITGB3	autocrine|paracrine	0.652021572443227
NID1	COL13A1	autocrine|paracrine	0.651382472022718
TGM2	TBXA2R	autocrine|paracrine	0.650277708217656
LPL	SDC1	autocrine|paracrine	0.650196053114581
CALM1	KCNN4	autocrine|paracrine	0.6500681222406
LAMA1	SDC2	autocrine|paracrine	0.649917923326397
ARPC5	ADRB2	autocrine|paracrine	0.649723427799799
HEBP1	ADRA2A	autocrine|paracrine	0.64961472493203
TLN1	ITGB3	autocrine|paracrine	0.649274838320768
APOE	LRP8	autocrine|paracrine	0.648369507452028
GNAS	TSHR	autocrine|paracrine	0.64818809479072
APP	ADRA2A	autocrine|paracrine	0.647999378011962
CTHRC1	FZD3	autocrine|paracrine	0.646199066840857
S100A1	TLR4	autocrine|paracrine	0.645558811523339
CYR61	ITGAV	autocrine|paracrine	0.644848142982437
DLL3	NOTCH2	autocrine|paracrine	0.644605991327363
JAG1	NOTCH2	autocrine|paracrine	0.644433340000552
LAMC1	ITGA1	autocrine|paracrine	0.643368603523326
IL8	SDC2	autocrine|paracrine	0.643140745382357
VCAN	CD44	autocrine|paracrine	0.642793764997362
L1CAM	ITGA5	autocrine|paracrine	0.641878747576993
PTDSS1	SCARB1	autocrine|paracrine	0.639986733657591
JAG1	CD46	autocrine|paracrine	0.639941669917677
SEMA3C	NRP2	autocrine|paracrine	0.639498245065373
EFNA1	EPHA3	autocrine|paracrine	0.637545103408845
FGF1	FGFR1	autocrine|paracrine	0.636618137496899
COL1A2	ITGA1	autocrine|paracrine	0.636425430984484
GNAI2	EDNRA	autocrine|paracrine	0.63634957185046
COL6A1	ITGA1	autocrine|paracrine	0.635705490989385
CALM1	SELL	autocrine|paracrine	0.635482269952169
ICAM1	IL2RG	autocrine|paracrine	0.633530993882797
EFNA5	EPHA3	autocrine|paracrine	0.632868866052717
TFPI	LRP1	autocrine|paracrine	0.632388098404867
HSPG2	COL13A1	autocrine|paracrine	0.632352789327878
NID1	PTPRF	autocrine|paracrine	0.632253033150578
PSEN1	NOTCH3	autocrine|paracrine	0.631639663263569
ADAM17	NOTCH1	autocrine|paracrine	0.631388774536365
SORBS1	INSR	autocrine|paracrine	0.630663247676591
APOE	LRP5	autocrine|paracrine	0.629342505818004
ITGB3BP	ITGB3	autocrine|paracrine	0.627995577902533
FN1	TSHR	autocrine|paracrine	0.627033326266446
COL4A1	ITGB1	autocrine|paracrine	0.626845396454585
PIGF	FLT1	autocrine|paracrine	0.626820264181834
CALM1	PDE1B	autocrine|paracrine	0.625959961805596
MMP2	SDC2	autocrine|paracrine	0.625667376983617
HBEGF	EGFR	autocrine|paracrine	0.624211902110714
FABP5	RXRA	autocrine|paracrine	0.622984068316103
SORBS1	ITGA1	autocrine|paracrine	0.622439653452814
MDK	ITGA6	autocrine|paracrine	0.62146950573239
LAMA4	ITGA6	autocrine|paracrine	0.621423392367479
COL4A5	ITGB1	autocrine|paracrine	0.620328760374046
RTN4	TNFRSF19	autocrine|paracrine	0.619331349953367
COL1A2	ITGB3	autocrine|paracrine	0.619261277008649
ECM1	CACHD1	autocrine|paracrine	0.618949927289204
B2M	CD3D	autocrine|paracrine	0.617006819056158
MFAP2	NOTCH1	autocrine|paracrine	0.616054786363985
CALM2	KCNQ5	autocrine|paracrine	0.615300799197451
SEMA4B	DCBLD2	autocrine|paracrine	0.615087769532105
THBS1	CD47	autocrine|paracrine	0.614482832276204
MTMR4	SMAD3	autocrine|paracrine	0.614059799066031
LAMB1	ITGA7	autocrine|paracrine	0.613592636865313
LRPAP1	LRP8	autocrine|paracrine	0.613107744549235
CALM3	PDE1C	autocrine|paracrine	0.612913747108698
CALM3	AQP6	autocrine|paracrine	0.612731789198919
FN1	ITGA3	autocrine|paracrine	0.611831330693164
COL18A1	ITGB5	autocrine|paracrine	0.610376378825117
NOV	NOTCH1	autocrine|paracrine	0.610074388669934
TNC	ITGA7	autocrine|paracrine	0.610057807483046
CTGF	LRP6	autocrine|paracrine	0.610022659667545
SEMA7A	ITGA1	autocrine|paracrine	0.607944797615879
FGF13	FGFR1	autocrine|paracrine	0.60782120456195
NCAM1	FGFR1	autocrine|paracrine	0.607502207439511
C4B	CD46	autocrine|paracrine	0.605586170701588
LAMB2	ITGA3	autocrine|paracrine	0.604557420216573
ACTR2	ADRB2	autocrine|paracrine	0.604202631451788
TGM2	ITGA4	autocrine|paracrine	0.6040601263933
COL3A1	DDR2	autocrine|paracrine	0.603181971480042
IAPP	RAMP2	autocrine|paracrine	0.603055476224378
EFNA1	EPHB6	autocrine|paracrine	0.602946904152021
GNAS	ADORA1	autocrine|paracrine	0.602866778086859
TNFSF12	TNFRSF12A	autocrine|paracrine	0.602619420829415
BMP8B	BMPR2	autocrine|paracrine	0.602564243429958
FARP2	PLXNA3	autocrine|paracrine	0.602007671478615
TIMP2	ITGA3	autocrine|paracrine	0.601879480693496
LAMB1	ITGA2	autocrine|paracrine	0.601331105092939
TGM2	ITGB3	autocrine|paracrine	0.60080233381208
CAMP	EGFR	autocrine|paracrine	0.600176574517924
HLA-A	CD3D	autocrine|paracrine	0.600011638190064
LAMA1	SDC4	autocrine|paracrine	0.599598659904068
RGMB	NEO1	autocrine|paracrine	0.598599145339281
COL18A1	GPC1	autocrine|paracrine	0.598448149477499
EFNA5	EPHB6	autocrine|paracrine	0.598105678156462
GPC6	LRP1	autocrine|paracrine	0.598046541807762
TNC	ITGA2	autocrine|paracrine	0.597757639860607
FYN	SPN	autocrine|paracrine	0.597588738565095
SEMA3E	NRP1	autocrine|paracrine	0.597294190506682
LAMC3	ITGB1	autocrine|paracrine	0.597168776093305
FN1	C5AR1	autocrine|paracrine	0.595827966340936
PSAP	CELSR1	autocrine|paracrine	0.595687112031882
VCAM1	ITGB1	autocrine|paracrine	0.594058531565524
HLA-B	CD3D	autocrine|paracrine	0.593884144051245
CD14	ITGB1	autocrine|paracrine	0.593729582275889
COL1A2	CD36	autocrine|paracrine	0.593712038453729
HLA-F	LILRB1	autocrine|paracrine	0.592952601697944
SFRP1	FZD2	autocrine|paracrine	0.592357075504087
IAPP	RAMP3	autocrine|paracrine	0.589917809933824
PSEN1	NOTCH1	autocrine|paracrine	0.58972468226274
EFNA1	EPHA2	autocrine|paracrine	0.588691287611092
GNAI2	EDNRB	autocrine|paracrine	0.587548337425331
CYR61	ITGB3	autocrine|paracrine	0.587224841078645
C1orf112	PLSCR4	autocrine|paracrine	0.586712416587696
HLA-C	CD3D	autocrine|paracrine	0.586002257122088
ADAM9	ITGA6	autocrine|paracrine	0.585292081802404
DUSP18	ITGA1	autocrine|paracrine	0.585237953063719
ICAM1	ITGAL	autocrine|paracrine	0.585013374895849
ANXA1	DYSF	autocrine|paracrine	0.584872435122175
CDH1	ERBB3	autocrine|paracrine	0.584401368534706
EFNA5	EPHA2	autocrine|paracrine	0.583796227405741
FGF1	EGFR	autocrine|paracrine	0.583679007747669
LAMA1	GPC1	autocrine|paracrine	0.582984691141488
ANGPT1	ITGB1	autocrine|paracrine	0.582604167679977
CALM3	PDE1A	autocrine|paracrine	0.582498538139032
