CAF	Endo	interaction.type	LRscore
ARF1	CHRM3	autocrine|paracrine	0.865209386907395
NID1	ITGB1	autocrine|paracrine	0.865001410449096
MDK	ITGB1	autocrine|paracrine	0.864411492481061
COL16A1	ITGB1	autocrine|paracrine	0.863769412998449
LAMA4	ITGB1	autocrine|paracrine	0.862944714100417
THBS2	CD47	autocrine|paracrine	0.862439172255797
COL6A1	ITGA6	autocrine|paracrine	0.861957628098977
TGFB3	ENG	autocrine|paracrine	0.861936079099915
COL1A2	ITGAV	autocrine|paracrine	0.861590977031677
HSPG2	ITGB1	autocrine|paracrine	0.861527986289436
ADAM9	ITGB1	autocrine|paracrine	0.861387904538079
COL1A1	ITGAV	autocrine|paracrine	0.859941970841667
CALM2	INSR	autocrine|paracrine	0.859424308834011
HLA-E	KLRD1	autocrine|paracrine	0.858961416675417
EFEMP2	PLSCR4	autocrine|paracrine	0.857793754584032
HSPA8	LDLR	autocrine|paracrine	0.85739927030799
THBS2	NOTCH4	autocrine|paracrine	0.85553010285908
THBS1	ITGA6	autocrine|paracrine	0.855505931736803
ADAM12	ITGB1	autocrine|paracrine	0.85334593733689
CTHRC1	FZD6	autocrine|paracrine	0.853096531936753
TIMP3	KDR	autocrine|paracrine	0.852812926301895
ARF1	INSR	autocrine|paracrine	0.852769517136463
DCN	MET	autocrine|paracrine	0.852681794926672
JAM3	ITGB1	autocrine|paracrine	0.852225451740988
UBC	TLR4	autocrine|paracrine	0.852123023971011
VCAM1	ITGB1	autocrine|paracrine	0.851950553345169
COL6A1	ITGA1	autocrine|paracrine	0.850944371714496
UBB	TLR4	autocrine|paracrine	0.850215208096236
VCAM1	MSN	autocrine|paracrine	0.849292359630906
RPS27A	TLR4	autocrine|paracrine	0.849129905244497
THBS2	ITGA6	autocrine|paracrine	0.84892479006629
PLAU	ITGB1	autocrine|paracrine	0.848614505414516
COL6A3	ITGA1	autocrine|paracrine	0.848267973181662
COL1A2	ITGA2	autocrine|paracrine	0.84789795544994
FN1	NT5E	autocrine|paracrine	0.847387341848122
PLAU	ITGA5	autocrine|paracrine	0.847234024252578
UBA52	NOTCH1	autocrine|paracrine	0.847186656683047
CALM2	ABCA1	autocrine|paracrine	0.847048482324473
COL1A1	ITGA2	autocrine|paracrine	0.846114948005177
COL4A1	ITGB1	autocrine|paracrine	0.844447282350973
CALM1	INSR	autocrine|paracrine	0.843351482548545
COL3A1	ITGA2	autocrine|paracrine	0.84271159097862
APP	NCSTN	autocrine|paracrine	0.840985882674837
COL6A2	ITGA1	autocrine|paracrine	0.840962435807304
MFAP5	NOTCH1	autocrine|paracrine	0.840438390839321
FGF7	NRP1	autocrine|paracrine	0.839678420993459
FN1	ITGAV	autocrine|paracrine	0.838383546646623
BGN	TLR4	autocrine|paracrine	0.83819302757045
CALR	ITGAV	autocrine|paracrine	0.837742473033739
CYR61	ITGAV	autocrine|paracrine	0.835584010051168
TGFB3	ITGB1	autocrine|paracrine	0.834990051892794
HSP90B1	TLR4	autocrine|paracrine	0.83428951984822
UBA52	LDLR	autocrine|paracrine	0.832755740705645
ARF1	PLD2	autocrine|paracrine	0.830780571384106
ICAM1	CAV1	autocrine|paracrine	0.830749909038532
COL1A2	ITGB3	autocrine|paracrine	0.830419322430318
CALM1	ABCA1	autocrine|paracrine	0.829840815328961
GNAI2	S1PR1	autocrine|paracrine	0.829493944120049
COL4A2	CD93	autocrine|paracrine	0.829485125307018
ADAM17	ITGB1	autocrine|paracrine	0.82894089720996
TNC	PTPRB	autocrine|paracrine	0.827954653589178
ADAM17	ITGA5	autocrine|paracrine	0.827417498010551
LAMA2	RPSA	autocrine|paracrine	0.825507131841592
RARRES2	GPR1	autocrine|paracrine	0.825093870331402
PSAP	CELSR1	autocrine|paracrine	0.824892884097687
LAMB2	ITGB4	autocrine|paracrine	0.824835864498717
APOD	LEPR	autocrine|paracrine	0.824179766248161
COL5A2	ITGA1	autocrine|paracrine	0.824020275609311
TGFB3	TGFBR2	autocrine|paracrine	0.823553101753752
MFAP2	NOTCH1	autocrine|paracrine	0.823401166766295
FN1	ITGA2	autocrine|paracrine	0.822866598542952
UBC	RIPK1	autocrine|paracrine	0.822308119547852
GREM1	KDR	autocrine|paracrine	0.820728137150214
UBB	RIPK1	autocrine|paracrine	0.820096859799821
ARPC5	LDLR	autocrine|paracrine	0.818884960289514
RPS27A	RIPK1	autocrine|paracrine	0.818839826481827
COL4A1	CD93	autocrine|paracrine	0.818527093595414
PRSS23	TMEM222	autocrine|paracrine	0.818027925594236
GNAI2	CAV1	autocrine|paracrine	0.817665273312094
LAMB1	ITGA6	autocrine|paracrine	0.815868633372154
BST1	CAV1	autocrine|paracrine	0.81433173159372
HMGB1	TLR4	autocrine|paracrine	0.814056326472719
COL6A1	ITGA2	autocrine|paracrine	0.813810902447053
ADAM15	ITGB1	autocrine|paracrine	0.813550247362574
COL5A1	ITGA1	autocrine|paracrine	0.812481708868447
UBA52	TLR4	autocrine|paracrine	0.812158710714486
GPC3	CD81	autocrine|paracrine	0.812031259204783
PTHLH	RAMP2	autocrine|paracrine	0.812001153999275
ADAM15	ITGA5	autocrine|paracrine	0.811920882467032
COL6A3	ITGA2	autocrine|paracrine	0.810616138123608
HSPG2	CHRM3	autocrine|paracrine	0.809517331875551
LAMC1	ITGA6	autocrine|paracrine	0.808742217536228
FN1	ITGA3	autocrine|paracrine	0.806930013136497
MDK	ITGA6	autocrine|paracrine	0.806611796027207
CALR	ITGA3	autocrine|paracrine	0.806193016350983
THBS1	SCARB1	autocrine|paracrine	0.805049606434231
LAMA4	ITGA6	autocrine|paracrine	0.804661046076926
CXCL12	SDC4	autocrine|paracrine	0.804489644313602
ACTR2	LDLR	autocrine|paracrine	0.80376234090127
LAMB1	ITGB4	autocrine|paracrine	0.803475978710633
FN1	ITGB3	autocrine|paracrine	0.803179219973771
CALM2	MYLK	autocrine|paracrine	0.802829837172958
TGM2	ITGB1	autocrine|paracrine	0.802652034961418
ADAM9	ITGA6	autocrine|paracrine	0.802593641355713
CALM1	PTPRA	autocrine|paracrine	0.802164733338366
LAMB1	ITGA1	autocrine|paracrine	0.802022876567733
COL6A2	ITGA2	autocrine|paracrine	0.801921071692834
LAMA2	ITGB1	autocrine|paracrine	0.801570421644883
THBS1	LRP5	autocrine|paracrine	0.800260346503131
CYR61	ITGB3	autocrine|paracrine	0.79991540548616
CALM2	PDE1A	autocrine|paracrine	0.799139971586953
COL4A1	CD47	autocrine|paracrine	0.798496180451854
IAPP	RAMP2	autocrine|paracrine	0.798296502323004
PLTP	ABCA1	autocrine|paracrine	0.79780558165419
B2M	CD3G	autocrine|paracrine	0.797681790498647
FN1	ITGA9	autocrine|paracrine	0.797298986013253
SEMA3C	PLXND1	autocrine|paracrine	0.796444844692929
LAMC1	ITGB4	autocrine|paracrine	0.795989864487129
CALM3	INSR	autocrine|paracrine	0.79581827895702
COL18A1	ITGB1	autocrine|paracrine	0.795645057920988
FGF7	FGFR1	autocrine|paracrine	0.794836626806093
HGF	ITGB1	autocrine|paracrine	0.794760839052078
LAMC1	ITGA1	autocrine|paracrine	0.794495567338075
TIMP3	ADAM17	autocrine|paracrine	0.794494506857241
HSP90AA1	ITGB3	autocrine|paracrine	0.794055252913456
PTHLH	RAMP3	autocrine|paracrine	0.793990564774099
COL18A1	ITGA5	autocrine|paracrine	0.793898861248613
PSAP	GPR37L1	autocrine|paracrine	0.792688835165154
CALM2	AQP6	autocrine|paracrine	0.79254796634238
UBC	SMAD3	autocrine|paracrine	0.792018683812136
FBN1	ITGAV	autocrine|paracrine	0.792015140268993
COL5A1	SDC3	autocrine|paracrine	0.79104555896443
SLIT2	ROBO4	autocrine|paracrine	0.789726695278702
THBS1	SDC4	autocrine|paracrine	0.78964452880869
UBB	SMAD3	autocrine|paracrine	0.78952696908063
COMP	ITGB1	autocrine|paracrine	0.788750301672984
THBS1	ITGA3	autocrine|paracrine	0.788526710706598
MFGE8	ITGAV	autocrine|paracrine	0.788382213308784
HLA-E	SLC16A4	autocrine|paracrine	0.788146665316465
RPS27A	SMAD3	autocrine|paracrine	0.78811152335886
SERPINE1	ITGAV	autocrine|paracrine	0.787897465468543
LRPAP1	LDLR	autocrine|paracrine	0.787690525093929
NAMPT	INSR	autocrine|paracrine	0.78763238461388
SEMA7A	ITGB1	autocrine|paracrine	0.787392199298341
COL1A1	DDR2	autocrine|paracrine	0.786422412069529
RGMB	BMPR2	autocrine|paracrine	0.784518861072625
THBS1	ITGB3	autocrine|paracrine	0.784513868978411
SEMA3C	NRP2	autocrine|paracrine	0.783612743007062
APP	TNFRSF21	autocrine|paracrine	0.783507252829565
COL8A1	ITGA1	autocrine|paracrine	0.783144577091174
TNC	NT5E	autocrine|paracrine	0.782960514754689
COL3A1	DDR2	autocrine|paracrine	0.782038960877678
CALM1	MYLK	autocrine|paracrine	0.781928144816695
IGF1	INSR	autocrine|paracrine	0.781771728743231
JAG1	CD46	autocrine|paracrine	0.781301111768165
FN1	PLAUR	autocrine|paracrine	0.781299632021407
LGALS3BP	VANGL1	autocrine|paracrine	0.780199414902618
IGF2	INSR	autocrine|paracrine	0.780142142963412
DUSP18	RPSA	autocrine|paracrine	0.779707831098866
IAPP	RAMP3	autocrine|paracrine	0.779329788045616
CALM3	ABCA1	autocrine|paracrine	0.779280902607972
COL1A1	DDR1	autocrine|paracrine	0.778895263646028
GSTP1	TRAF2	autocrine|paracrine	0.778641849669038
CALM1	PDE1A	autocrine|paracrine	0.777955307665457
PTN	PLXNB2	autocrine|paracrine	0.777794355635626
SEMA3C	NRP1	autocrine|paracrine	0.777489863691157
NGF	NGFRAP1	autocrine|paracrine	0.777354943486702
FBLN2	ITGB3	autocrine|paracrine	0.777354691332585
FST	BMPR2	autocrine|paracrine	0.777012540620416
UBA52	RIPK1	autocrine|paracrine	0.776400549624925
UBC	ADRB2	autocrine|paracrine	0.776385504069712
LAMB1	ITGAV	autocrine|paracrine	0.775961058828279
THBS2	ITGB3	autocrine|paracrine	0.775547640333989
INHBA	TGFBR3	autocrine|paracrine	0.774929424029235
COL3A1	DDR1	autocrine|paracrine	0.77440164286529
GPI	AMFR	autocrine|paracrine	0.773773779467019
UBB	ADRB2	autocrine|paracrine	0.773759996622077
RPS27A	ADRB2	autocrine|paracrine	0.772269101324647
TNC	ITGAV	autocrine|paracrine	0.77118206920593
CALM1	AQP6	autocrine|paracrine	0.770867392021897
TNFSF10	TNFRSF10B	autocrine|paracrine	0.770493645276914
MDK	SDC3	autocrine|paracrine	0.769155169484967
CTGF	LRP6	autocrine|paracrine	0.768902538614797
LAMC2	ITGB1	autocrine|paracrine	0.768434783164937
HSPA1A	TLR4	autocrine|paracrine	0.768258120706191
VEGFC	ITGB1	autocrine|paracrine	0.768196015852288
LAMC1	ITGAV	autocrine|paracrine	0.767729820230307
TGFB3	TGFBR3	autocrine|paracrine	0.766451694378254
NID1	ITGAV	autocrine|paracrine	0.766179720218039
HLA-B	CD3G	autocrine|paracrine	0.766042867186466
IL6	IL6ST	autocrine|paracrine	0.76550646189522
COL4A1	ITGA1	autocrine|paracrine	0.764551643269837
GNAI2	F2R	autocrine|paracrine	0.763404094804524
LAMA4	ITGAV	autocrine|paracrine	0.76302992933097
LAMB2	ITGA3	autocrine|paracrine	0.762695593168564
PIGF	FLT1	autocrine|paracrine	0.762603094924065
CALM2	SELL	autocrine|paracrine	0.762510868033317
HLA-C	CD3G	autocrine|paracrine	0.76232018834717
VCAM1	EZR	autocrine|paracrine	0.762255544005828
ADAM17	NOTCH1	autocrine|paracrine	0.761445824018857
UBC	FGFR2	autocrine|paracrine	0.761391414858012
HLA-A	CD3G	autocrine|paracrine	0.761260981617772
NUCB2	ERAP1	autocrine|paracrine	0.760730311338326
ADAM9	ITGAV	autocrine|paracrine	0.760652974126835
IGFBP4	LRP6	autocrine|paracrine	0.759014647386542
GNAI2	EDNRB	autocrine|paracrine	0.758856857144026
HSPA8	ADRB2	autocrine|paracrine	0.758787567339497
UBB	FGFR2	autocrine|paracrine	0.758644586913135
RPS27A	FGFR2	autocrine|paracrine	0.757085354064115
B2M	TFRC	autocrine|paracrine	0.756979748957578
DKK1	KREMEN1	autocrine|paracrine	0.756660287091867
ADAM10	NOTCH1	autocrine|paracrine	0.75646948198706
LAMB1	ITGA2	autocrine|paracrine	0.756193734505747
TGFB3	ACVRL1	autocrine|paracrine	0.755008754832517
ANGPT1	ITGB1	autocrine|paracrine	0.754777830050711
PAPLN	SIRPA	autocrine|paracrine	0.754586803866422
BGN	TLR1	autocrine|paracrine	0.753445441489795
JAG1	NOTCH4	autocrine|paracrine	0.753378157956894
ANGPT1	ITGA5	autocrine|paracrine	0.752790925800442
PSAP	SORT1	autocrine|paracrine	0.752475484441797
HLA-C	DDR1	autocrine|paracrine	0.75244301571979
FN1	IL17RC	autocrine|paracrine	0.75140271493343
DUSP18	ITGB1	autocrine|paracrine	0.751380599473696
COL18A1	KDR	autocrine|paracrine	0.751219418719435
TNC	ITGA2	autocrine|paracrine	0.751128323917481
FYN	THY1	autocrine|paracrine	0.750202708281088
TFPI	SDC4	autocrine|paracrine	0.750177991528936
FBN1	ITGB3	autocrine|paracrine	0.74972568253157
QDPR	DYSF	autocrine|paracrine	0.74819956643306
HSP90B1	TLR1	autocrine|paracrine	0.748111839705463
ICAM1	IL2RG	autocrine|paracrine	0.748044415753058
LAMC1	ITGA2	autocrine|paracrine	0.74747259157651
FGF5	FGFR1	autocrine|paracrine	0.747281696951807
VIM	CD44	autocrine|paracrine	0.746156825528782
MFGE8	ITGB3	autocrine|paracrine	0.745591351239565
JAG1	NOTCH1	autocrine|paracrine	0.74479047616421
CALM2	SCN4A	autocrine|paracrine	0.7443030587878
VEGFC	LYVE1	autocrine|paracrine	0.744248392011463
PSEN1	NOTCH4	autocrine|paracrine	0.742896506980998
PGF	NRP2	autocrine|paracrine	0.7425053168245
PLAU	ITGAV	autocrine|paracrine	0.741383673348621
UBA52	SMAD3	autocrine|paracrine	0.740752793159738
HSPG2	ITGA2	autocrine|paracrine	0.740213344353971
BMP7	ENG	autocrine|paracrine	0.739471194677434
NGF	MAGED1	autocrine|paracrine	0.73933769466897
ICAM1	SPN	autocrine|paracrine	0.738802274985699
TGFB1	ENG	autocrine|paracrine	0.738778282352975
CALM1	SELL	autocrine|paracrine	0.738726011180551
SPTAN1	PTPRA	autocrine|paracrine	0.738639666452944
IGF1	IGF1R	autocrine|paracrine	0.738616509733048
LAMA3	ITGB1	autocrine|paracrine	0.738446097028527
COL1A2	CD44	autocrine|paracrine	0.738413286362686
GNAI2	UNC5B	autocrine|paracrine	0.738193907640691
APOE	LDLR	autocrine|paracrine	0.737971728711839
VCAN	SELL	autocrine|paracrine	0.737031104976468
IGF2	IGF1R	autocrine|paracrine	0.736773174039801
TGFB2	ENG	autocrine|paracrine	0.736587455841252
PSEN1	NCSTN	autocrine|paracrine	0.736573753821157
ANGPTL1	TEK	autocrine|paracrine	0.736557873405342
LAMB1	ITGA3	autocrine|paracrine	0.736181808567291
HSPG2	PTPRS	autocrine|paracrine	0.736003199851309
COL1A1	CD44	autocrine|paracrine	0.73574684016937
PGF	NRP1	autocrine|paracrine	0.735611715154772
COL4A1	ITGAV	autocrine|paracrine	0.735185795850951
VEGFC	FLT4	autocrine|paracrine	0.734719552367457
COL8A1	ITGA2	autocrine|paracrine	0.734392601147601
CALM2	CACNA1C	autocrine|paracrine	0.734378927644178
PSEN1	NOTCH1	autocrine|paracrine	0.734072673045354
TIMP2	ITGA3	autocrine|paracrine	0.73328986034451
BMP4	BMPR2	autocrine|paracrine	0.732999056840203
C4B	CD46	autocrine|paracrine	0.732995242084896
B2M	LILRB1	autocrine|paracrine	0.732620252581798
TNC	SDC4	autocrine|paracrine	0.732167750207971
PRND	RPSA	autocrine|paracrine	0.732138592526313
ADM2	RAMP2	autocrine|paracrine	0.731886385186324
CCL5	SDC4	autocrine|paracrine	0.730875453386644
LAMC2	CD151	autocrine|paracrine	0.730250095947826
CLCF1	IL6ST	autocrine|paracrine	0.728937226077753
TNFSF14	TNFRSF14	autocrine|paracrine	0.728577687114233
GNAI2	TBXA2R	autocrine|paracrine	0.727121694244236
EFNA5	EPHA2	autocrine|paracrine	0.72708443115022
LAMC1	ITGA3	autocrine|paracrine	0.727003252566002
VEGFA	ITGB1	autocrine|paracrine	0.726823464580054
HBEGF	CD9	autocrine|paracrine	0.726767887480514
TNC	ITGB3	autocrine|paracrine	0.726121433260856
DKK1	LRP5	autocrine|paracrine	0.726061906527648
MDK	SDC4	autocrine|paracrine	0.725612026991422
LAMA2	ITGA6	autocrine|paracrine	0.725489518351437
NID1	ITGA3	autocrine|paracrine	0.725278614546264
PDGFC	FLT4	autocrine|paracrine	0.724476107913519
VCAN	TLR1	autocrine|paracrine	0.724050602334199
PTN	SDC3	autocrine|paracrine	0.723678900329717
VTN	ITGB1	autocrine|paracrine	0.723578891940883
UBA52	ADRB2	autocrine|paracrine	0.722615725413442
CALM3	MYLK	autocrine|paracrine	0.721902727619596
LAMA4	ITGA3	autocrine|paracrine	0.721777921479603
BMP8A	BMPR2	autocrine|paracrine	0.721637967635589
VTN	ITGA5	autocrine|paracrine	0.721432496502322
CD14	ITGB1	autocrine|paracrine	0.721062769375763
NID1	ITGB3	autocrine|paracrine	0.720491024801576
PTDSS1	SCARB1	autocrine|paracrine	0.720204306857233
VEGFC	KDR	autocrine|paracrine	0.719903803813079
CP	SLC40A1	autocrine|paracrine	0.719792969388897
PTDSS1	JMJD6	autocrine|paracrine	0.719464990993445
CALM1	SCN4A	autocrine|paracrine	0.719365798997923
ADAM9	ITGA3	autocrine|paracrine	0.71913949096875
SERPINE1	PLAUR	autocrine|paracrine	0.718959155431935
TNC	ITGA9	autocrine|paracrine	0.718745186428162
CFH	SELL	autocrine|paracrine	0.718718937612496
CALM3	PDE1A	autocrine|paracrine	0.717231804002013
TNFSF14	LTBR	autocrine|paracrine	0.717036028564808
TP53	TNFRSF10D	autocrine|paracrine	0.716857570420873
COL11A1	ITGB1	autocrine|paracrine	0.713391855295889
COL4A1	ITGA2	autocrine|paracrine	0.713150751843635
MMP1	ITGA2	autocrine|paracrine	0.712254982840482
VEGFC	NRP2	autocrine|paracrine	0.712011846418029
HLA-G	KLRD1	autocrine|paracrine	0.711618679518937
ANGPT2	TEK	autocrine|paracrine	0.711616188895036
DUSP18	CD151	autocrine|paracrine	0.711439738325813
RPS19	C5AR1	autocrine|paracrine	0.71107357311408
LIN7C	ABCA1	autocrine|paracrine	0.710542908272103
PDGFC	KDR	autocrine|paracrine	0.709314611768364
LAMA2	ITGB4	autocrine|paracrine	0.709182277719228
ADM2	RAMP3	autocrine|paracrine	0.708951693386305
CALM3	AQP6	autocrine|paracrine	0.708930757465341
CALM1	CACNA1C	autocrine|paracrine	0.708852399520848
ICAM4	ITGB1	autocrine|paracrine	0.708754593867234
COL4A4	ITGB1	autocrine|paracrine	0.707858901044595
RGMA	BMPR2	autocrine|paracrine	0.707507675892693
FN1	COL13A1	autocrine|paracrine	0.707410237866304
LAMA2	ITGA1	autocrine|paracrine	0.70728596632415
ADAM12	SDC4	autocrine|paracrine	0.70705770321409
UBA52	FGFR2	autocrine|paracrine	0.705384354898387
GPC3	IGF1R	autocrine|paracrine	0.704166562132591
CTHRC1	FZD3	autocrine|paracrine	0.70357608355635
ARPC5	ADRB2	autocrine|paracrine	0.702869534206243
SEMA5A	MET	autocrine|paracrine	0.70234855221748
COL4A2	ITGB3	autocrine|paracrine	0.701973213252683
GAS6	AXL	autocrine|paracrine	0.701823299291521
FN1	CD44	autocrine|paracrine	0.701702907662066
TGM2	TBXA2R	autocrine|paracrine	0.701403146095758
LAMA5	ITGB1	autocrine|paracrine	0.700122416119723
TNFSF10	TNFRSF10D	autocrine|paracrine	0.699116703652569
PLAU	ITGA3	autocrine|paracrine	0.69785559411928
LAMA1	RPSA	autocrine|paracrine	0.69770880946862
AGRN	ITGB1	autocrine|paracrine	0.697005113317468
FN1	C5AR1	autocrine|paracrine	0.69689871125168
COL5A2	DDR1	autocrine|paracrine	0.69668365908695
TGFB1	ITGB1	autocrine|paracrine	0.696265696723008
NOV	NOTCH1	autocrine|paracrine	0.69562739093264
HLA-B	LILRB1	autocrine|paracrine	0.694700973995432
IL10	IL10RB	autocrine|paracrine	0.694508624020084
PGF	FLT1	autocrine|paracrine	0.694239932088045
UBA52	ACVR1	autocrine|paracrine	0.693984071537636
NID1	PTPRF	autocrine|paracrine	0.693258075979737
CALM2	GP6	autocrine|paracrine	0.692957280053502
ADAM12	ITGA9	autocrine|paracrine	0.692904551755407
PTN	PTPRS	autocrine|paracrine	0.69187925101971
GNAI2	IGF1R	autocrine|paracrine	0.691657568007
FYN	SPN	autocrine|paracrine	0.690701359867512
ADM2	CALCRL	autocrine|paracrine	0.690687312621214
ADAM15	ITGAV	autocrine|paracrine	0.690539578260373
VCAM1	ITGA9	autocrine|paracrine	0.690536206126146
HLA-C	LILRB1	autocrine|paracrine	0.690302050174923
TGFB1	CAV1	autocrine|paracrine	0.690221420842896
FN1	ITGB8	autocrine|paracrine	0.68958232436585
ANGPT1	TEK	autocrine|paracrine	0.689466825818389
HLA-A	LILRB1	autocrine|paracrine	0.689052810683215
SEMA7A	ITGA1	autocrine|paracrine	0.688984854077259
IRAK4	TLR4	autocrine|paracrine	0.686456122245701
APOE	SCARB1	autocrine|paracrine	0.684776784849245
LAMC2	ITGA6	autocrine|paracrine	0.684647439552414
HHLA3	CHRM3	autocrine|paracrine	0.68336978695467
HSP90B1	TLR7	autocrine|paracrine	0.682675258853075
TFPI	F3	autocrine|paracrine	0.682176907483355
ACTR2	ADRB2	autocrine|paracrine	0.681823794753406
COL7A1	ITGB1	autocrine|paracrine	0.681610667206981
EFNA5	EPHA10	autocrine|paracrine	0.681507838057901
PROS1	AXL	autocrine|paracrine	0.681363529874453
FGF1	NRP1	autocrine|paracrine	0.681069442719483
ADM	ADRB2	autocrine|paracrine	0.679512831088917
GNAS	ADCY1	autocrine|paracrine	0.679164230294057
SEMA3A	NRP2	autocrine|paracrine	0.678990992228298
TGFB1	TGFBR2	autocrine|paracrine	0.678911071978897
DKK1	LRP6	autocrine|paracrine	0.678652460656156
APOE	LRP5	autocrine|paracrine	0.67821385373998
IGF1	IGF2R	autocrine|paracrine	0.677708302204333
TLN1	ITGB3	autocrine|paracrine	0.676806886348412
TGFB2	TGFBR2	autocrine|paracrine	0.676438051296636
IGF2	IGF2R	autocrine|paracrine	0.675624067107071
LAMB3	ITGB1	autocrine|paracrine	0.674300594539441
FGF7	FGFR2	autocrine|paracrine	0.674237208405891
VEGFA	KDR	autocrine|paracrine	0.673574545772612
CALM3	SELL	autocrine|paracrine	0.671800263501512
PKM	CD44	autocrine|paracrine	0.671692184777758
SEMA3A	NRP1	autocrine|paracrine	0.671150087938238
TGFB3	ITGB3	autocrine|paracrine	0.670588022664994
FN1	TNFRSF11B	autocrine|paracrine	0.670403608005811
NGF	KIDINS220	autocrine|paracrine	0.670258151865422
VTN	KDR	autocrine|paracrine	0.66998468905661
PLAU	IGF2R	autocrine|paracrine	0.669758500771183
IL6	IL6R	autocrine|paracrine	0.669456688038997
SFRP1	FZD6	autocrine|paracrine	0.669220878580191
ADAM10	AXL	autocrine|paracrine	0.668993535666237
COL4A4	CD93	autocrine|paracrine	0.668123560194649
SEMA4F	NRP2	autocrine|paracrine	0.668017395405406
IL7	IL2RG	autocrine|paracrine	0.667993165082199
PTGS2	CAV1	autocrine|paracrine	0.66774130121606
