CAF	CAF.1	interaction.type	LRscore
FGF7	FGFR1	autocrine	0.836925876971339
CALM1	ABCA1	autocrine	0.836891573947388
MMP1	CD44	autocrine	0.83680659497397
LAMA2	RPSA	autocrine	0.836749469036014
VCAM1	MSN	autocrine	0.836639333648811
HAS2	CD44	autocrine	0.835019040601913
EFEMP2	PLSCR4	autocrine	0.834914824727854
PLAU	LRP1	autocrine	0.834445713018825
COL1A2	ITGB3	autocrine	0.833238186493592
ADAM17	ITGB1	autocrine	0.833211016303736
EFEMP1	EGFR	autocrine	0.832545210468342
PDAP1	PDGFRB	autocrine	0.832530164199366
TNC	ITGA5	autocrine	0.832213300311205
RARRES2	GPR1	autocrine	0.831860395792717
HLA-E	SLC16A4	autocrine	0.831628200600141
CALM1	EGFR	autocrine	0.83138118810821
CALM1	MYLK	autocrine	0.830516473364564
VCAN	EGFR	autocrine	0.830149145217848
PROS1	AXL	autocrine	0.83002985203831
TNC	NT5E	autocrine	0.829731999891684
PRSS23	TMEM222	autocrine	0.82848806036984
UBC	TGFBR1	autocrine	0.827984437521653
UBC	SMAD3	autocrine	0.826831819142426
INHBA	ENG	autocrine	0.82627505374791
UBA52	EGFR	autocrine	0.826119081146665
UBB	TGFBR1	autocrine	0.825828854169112
UBB	SMAD3	autocrine	0.82466485059901
RPS27A	TGFBR1	autocrine	0.824603306049425
THBS1	SDC1	autocrine	0.823882080272715
RPS27A	SMAD3	autocrine	0.823432863185909
ADAM10	AXL	autocrine	0.821922932861965
FN1	TNFRSF11B	autocrine	0.821467548394515
UBA52	TGFBR2	autocrine	0.821456765779698
FN1	IL17RC	autocrine	0.820877228807267
A2M	LRP1	autocrine	0.820873072879797
CALM2	INSR	autocrine	0.819451621430904
TGFB3	ENG	autocrine	0.819280326818975
UBC	ERBB2	autocrine	0.818626742992709
ADAM15	ITGB1	autocrine	0.818120263732546
COL1A2	CD36	autocrine	0.817823619973657
SEMA3C	NRP1	autocrine	0.8169156486961
UBB	ERBB2	autocrine	0.816379900732146
COL1A1	CD36	autocrine	0.815764670459037
RPS27A	ERBB2	autocrine	0.815102751447911
HMGB1	SDC1	autocrine	0.815002077401998
GPC3	LRP1	autocrine	0.814884070769062
UBA52	LDLR	autocrine	0.814795978506638
FN1	ITGA8	autocrine	0.812964942976962
APP	GPC1	autocrine	0.81218780520569
ICAM1	CAV1	autocrine	0.811917820224092
ARF1	INSR	autocrine	0.81131997787272
APOE	LRP1	autocrine	0.810625883675375
FYN	THY1	autocrine	0.809965193327529
TFPI	SDC4	autocrine	0.808812095148545
FN1	ITGA4	autocrine	0.80846044519415
PLAU	ITGA5	autocrine	0.808388062895218
COL6A1	ITGA1	autocrine	0.80829641875233
HMGB1	THBD	autocrine	0.808136022905712
TGM2	ITGB1	autocrine	0.807425944079777
SERPINE1	ITGB5	autocrine	0.806407441146794
LAMA2	ITGB1	autocrine	0.806364183256952
FN1	ITGB3	autocrine	0.806345290641801
FN1	COL13A1	autocrine	0.805905250028057
PLTP	ABCA1	autocrine	0.805873233523101
UBA52	ACVR1	autocrine	0.805761717007363
HLA-A	ERBB2	autocrine	0.805591728917393
COL6A3	ITGA1	autocrine	0.805029702120109
TIMP3	ADAM17	autocrine	0.804770150808126
B2M	CD3G	autocrine	0.8041188634792
THBS1	TNFRSF11B	autocrine	0.804113566309281
LGALS1	PTPRC	autocrine	0.8035641583933
CYR61	ITGB3	autocrine	0.803121108562292
PLAU	PLAUR	autocrine	0.802854804744087
COL18A1	ITGB1	autocrine	0.800546348154505
CALM1	INSR	autocrine	0.799872738986313
ARPC5	LDLR	autocrine	0.799793769503059
HGF	ITGB1	autocrine	0.799677997146537
PSEN1	CD44	autocrine	0.799028935923449
COL4A1	CD47	autocrine	0.797906782301866
GNAI2	CAV1	autocrine	0.797731763037064
HSP90B1	ERBB2	autocrine	0.797712648421312
HSP90AA1	ITGB3	autocrine	0.797331057615571
FGF5	FGFR1	autocrine	0.79663066534937
ARF1	PLD2	autocrine	0.796558470682096
COL6A2	ITGA1	autocrine	0.796142651442362
FBN1	ITGAV	autocrine	0.795965290672708
COL1A2	ITGA2	autocrine	0.794723576497022
GPC3	CD81	autocrine	0.794638268525908
BST1	CAV1	autocrine	0.794125544831901
HSP90AA1	ERBB2	autocrine	0.794082487149839
TNC	SDC4	autocrine	0.793867414778744
COMP	ITGB1	autocrine	0.79377409556735
DUSP18	RPSA	autocrine	0.793161608065598
CCL5	SDC4	autocrine	0.792788567279891
COL1A1	ITGA2	autocrine	0.792469801631883
SEMA7A	ITGB1	autocrine	0.792439791545012
MFGE8	ITGAV	autocrine	0.792383275004986
NGF	MAGED1	autocrine	0.7921242522432
SERPINE1	ITGAV	autocrine	0.791905273149431
VCL	ITGB5	autocrine	0.79180582982726
HSPG2	PTPRS	autocrine	0.791801525269779
NUCB2	ERAP1	autocrine	0.791461461673512
THBS1	ITGA4	autocrine	0.790165087803649
NGF	NGFRAP1	autocrine	0.789727710084941
UBC	RIPK1	autocrine	0.789120759888135
MDK	SDC4	autocrine	0.788385421455348
COL3A1	ITGA2	autocrine	0.788177035922179
TNC	EGFR	autocrine	0.788139646898745
THBS1	ITGB3	autocrine	0.787900902722799
CALM3	ABCA1	autocrine	0.787891185270099
PLAU	MRC2	autocrine	0.78772160845785
GPC6	LRP1	autocrine	0.786963780711032
UBB	RIPK1	autocrine	0.786603680980111
GNAS	PTGIR	autocrine	0.786174946331262
HGF	CD44	autocrine	0.786036772723689
RPS27A	RIPK1	autocrine	0.785173925137963
ADAM17	ITGA5	autocrine	0.784812363525756
ACTR2	LDLR	autocrine	0.783498534446259
UBA52	TGFBR1	autocrine	0.783156653713447
VCAM1	EZR	autocrine	0.783064864623737
VCAN	ITGA4	autocrine	0.782742799613453
HSPG2	CHRM3	autocrine	0.782191633522738
APOD	LEPR	autocrine	0.782179445324739
UBA52	SMAD3	autocrine	0.781782824191742
THBS2	ITGA4	autocrine	0.781368471764791
CALM3	EGFR	autocrine	0.781158269662463
ADAM9	ITGB5	autocrine	0.780879319558313
FBLN2	ITGB3	autocrine	0.780822815558782
DCN	MET	autocrine	0.780769440247776
CALM1	PTPRA	autocrine	0.780517717002004
PGF	NRP1	autocrine	0.780361546439412
COL1A1	DDR1	autocrine	0.780277247724867
LAMB1	ITGAV	autocrine	0.780131472064185
CALM3	MYLK	autocrine	0.780104122362433
THBS2	ITGB3	autocrine	0.779035911638224
PTN	PLXNB2	autocrine	0.777096870334512
THBS2	NOTCH3	autocrine	0.77624956847495
COL3A1	DDR1	autocrine	0.775803629230894
COL5A2	ITGA1	autocrine	0.775699352895844
TNC	ITGAV	autocrine	0.775415694537849
LAMC2	ITGB1	autocrine	0.773803155329938
VEGFC	ITGB1	autocrine	0.773568292278789
HLA-B	CD3G	autocrine	0.773200370433763
TNC	SDC1	autocrine	0.773071822021504
ADAM12	SDC4	autocrine	0.772746463528736
UBA52	ERBB2	autocrine	0.772031745025511
LAMC1	ITGAV	autocrine	0.77200843594865
CCL5	SDC1	autocrine	0.771915405826176
PSAP	SORT1	autocrine	0.771736424866818
GNAI2	F2R	autocrine	0.771293540569929
UBC	TLR4	autocrine	0.770551021962664
COL4A2	ITGB5	autocrine	0.770513422807108
NID1	ITGAV	autocrine	0.770478353509576
HLA-C	CD3G	autocrine	0.76955732008462
THBS1	CD36	autocrine	0.769455116571729
PDGFD	PDGFRB	autocrine	0.769289370700637
PDGFD	PDGFRA	autocrine	0.768576421546402
HLA-A	CD3G	autocrine	0.768520571907432
APP	NGFR	autocrine	0.768485839224621
B2M	HFE	autocrine	0.768232661877144
UBB	TLR4	autocrine	0.767877491767566
CTGF	LRP6	autocrine	0.767690610109412
LAMA4	ITGAV	autocrine	0.767368887520973
MDK	SDC1	autocrine	0.767198961322435
ADAM15	ITGA5	autocrine	0.766569408571235
RPS27A	TLR4	autocrine	0.766359536728145
LRPAP1	LDLR	autocrine	0.766249763134288
PSEN1	NCSTN	autocrine	0.765273851989566
ADAM9	ITGAV	autocrine	0.765022051838302
CALM2	CACNA1C	autocrine	0.763461500499334
FN1	ITGA2	autocrine	0.763383382453271
HSPG2	SDC1	autocrine	0.762815340812078
PLAU	ITGB5	autocrine	0.762730459140355
FADD	FAS	autocrine	0.762121094315414
COL5A1	ITGA1	autocrine	0.761907942939971
JAG1	NOTCH2	autocrine	0.760747705908865
ANGPT1	ITGB1	autocrine	0.760364076816578
THBS2	CD36	autocrine	0.760053946451826
IGFBP4	LRP6	autocrine	0.757767200547954
JAG1	CD46	autocrine	0.757171710789971
DUSP18	ITGB1	autocrine	0.75701932265235
LGALS3BP	VANGL1	autocrine	0.755755832784018
CXCL12	ADRA2A	autocrine	0.755450951148998
CTHRC1	FZD6	autocrine	0.754499380387593
HLA-C	DDR1	autocrine	0.753938104310452
PTN	PTPRS	autocrine	0.753885040106881
DKK1	KREMEN1	autocrine	0.753512789289985
FBN1	ITGB3	autocrine	0.753487702149366
COL6A1	ITGA2	autocrine	0.752202454187104
BGN	TLR4	autocrine	0.751180695270869
LTBP1	ITGB5	autocrine	0.750938525547638
PSAP	GPR37L1	autocrine	0.750733764422631
UBC	FGFR2	autocrine	0.750602698518628
PSEN1	NOTCH2	autocrine	0.750475529075847
IL6	IL6ST	autocrine	0.750349992058865
ANXA1	ADRA2A	autocrine	0.75031729534315
LAMB1	ITGA1	autocrine	0.749498044759708
MFGE8	ITGB3	autocrine	0.749394743475033
TLN1	ITGB5	autocrine	0.749065902806466
GPI	AMFR	autocrine	0.748572289452219
PTDSS1	JMJD6	autocrine	0.748498130526151
COL6A3	ITGA2	autocrine	0.748277550086581
CALM2	PDE1C	autocrine	0.748064206804081
CALM2	AQP6	autocrine	0.747919650313665
UBB	FGFR2	autocrine	0.74777281570871
PRND	RPSA	autocrine	0.747556942742005
GSTP1	TRAF2	autocrine	0.74751890565219
FN1	ITGA6	autocrine	0.747242298019915
F10	F3	autocrine	0.74718459737603
INHBA	TGFBR3	autocrine	0.746599161987503
RPS27A	FGFR2	autocrine	0.74616684755737
PLAU	ITGAV	autocrine	0.745987033967107
HSP90B1	TLR4	autocrine	0.745814629479891
COL18A1	ITGA5	autocrine	0.745563562227688
RTN4	NGFR	autocrine	0.745162669450483
FN1	CD79A	autocrine	0.745068263138585
LAMA3	ITGB1	autocrine	0.744278336907318
THBS1	SCARB1	autocrine	0.743945672431426
TGFB3	ITGB5	autocrine	0.743710933445509
CALM3	INSR	autocrine	0.743164265530438
ADM	RAMP2	autocrine	0.742930854662687
APP	TNFRSF21	autocrine	0.741752722522779
LAMC1	ITGA1	autocrine	0.740619545584791
ICAM1	EGFR	autocrine	0.740298762247503
UBA52	NOTCH1	autocrine	0.740248300297662
COL4A1	ITGAV	autocrine	0.73986076829679
CALM1	CACNA1C	autocrine	0.739739354620267
CALR	SCARF1	autocrine	0.738608986597469
TNC	ITGA8	autocrine	0.738490968622696
LTBP3	ITGB5	autocrine	0.738323461802509
FN1	ITGB8	autocrine	0.737916339993273
FGF1	CD44	autocrine	0.737835733864802
IGF1	IGF1R	autocrine	0.737751928532486
COL6A2	ITGA2	autocrine	0.737646683819389
TGFB3	TGFBR3	autocrine	0.737415907893427
UBA52	RIPK1	autocrine	0.737377409811049
HGF	SDC2	autocrine	0.737215665989838
CXCL12	CD4	autocrine	0.73590481827517
IGF2	IGF1R	autocrine	0.735904675703118
COL6A1	ITGA6	autocrine	0.735562856877414
TGFB3	TGFBR2	autocrine	0.734473951886572
C3	ADRA2A	autocrine	0.734431694308319
NAMPT	INSR	autocrine	0.733574120819016
VEGFA	ITGB1	autocrine	0.732821101254014
ADM	RAMP3	autocrine	0.732368121968801
IL6	F3	autocrine	0.732120204876292
UBC	ADRB2	autocrine	0.731699912380913
FGF1	NRP1	autocrine	0.731683697207744
MFAP5	NOTCH1	autocrine	0.73028109329188
TNC	ITGB3	autocrine	0.730110536389758
VTN	ITGB1	autocrine	0.729621264240826
UBB	ADRB2	autocrine	0.728733057435511
COL8A1	ITGA1	autocrine	0.727314086693452
CD14	ITGB1	autocrine	0.727139401676288
RPS27A	ADRB2	autocrine	0.727050110956031
IGF1	INSR	autocrine	0.726739208172363
MDK	ITGA4	autocrine	0.726236108357449
THBS1	ITGA6	autocrine	0.725087915394953
IGF2	INSR	autocrine	0.72484331468312
EFEMP2	AQP1	autocrine	0.724788559251023
NID1	ITGB3	autocrine	0.724531024628452
PDGFC	PDGFRB	autocrine	0.72422447541136
NID1	COL13A1	autocrine	0.723968717992504
INHBA	ACVR1	autocrine	0.723496182996116
CALM2	PDE1A	autocrine	0.723477349040763
PDGFC	PDGFRA	autocrine	0.723422332908893
CALM1	PDE1C	autocrine	0.723357422367966
NID2	COL13A1	autocrine	0.723356297032647
CALM1	AQP6	autocrine	0.723203935020142
SEMA3A	NRP1	autocrine	0.722697595875406
GNAI2	EGFR	autocrine	0.722556738852018
PTN	SDC1	autocrine	0.721476869637729
LIN7C	ABCA1	autocrine	0.72087420741937
TNFSF14	LTBR	autocrine	0.720364304445654
COL11A1	ITGB1	autocrine	0.719570606915268
RGMB	BMPR2	autocrine	0.719072175532051
HMGB1	TLR4	autocrine	0.718424645726879
FGF2	CD44	autocrine	0.718258552733964
HSPG2	COL13A1	autocrine	0.718049397910768
TNFSF10	TNFRSF10B	autocrine	0.716165297387826
UBA52	TLR4	autocrine	0.715891688103261
CXCL12	CXCR4	autocrine	0.715773664288814
ICAM4	ITGB1	autocrine	0.714993377116397
THBS2	ITGA6	autocrine	0.714548714612145
COL5A1	SDC3	autocrine	0.714451132280209
SLIT2	GPC1	autocrine	0.714377226053997
LAMA1	RPSA	autocrine	0.714335711331473
COL4A4	ITGB1	autocrine	0.714109131630343
APOE	LDLR	autocrine	0.713337241013315
F8	LRP1	autocrine	0.713078752866231
SPTAN1	PTPRA	autocrine	0.712532721381673
CLCF1	IL6ST	autocrine	0.71230541953123
HSPA8	ADRB2	autocrine	0.71189032199947
FGF2	NRP1	autocrine	0.711826539083922
APP	ADRA2A	autocrine	0.711688818914894
B2M	LILRB1	autocrine	0.710871098677983
GNAS	ADCY7	autocrine	0.710216006861302
RTN4	GJB2	autocrine	0.710174582364553
FST	BMPR2	autocrine	0.710128388669125
VEGFA	NRP1	autocrine	0.709783201731747
IL10	IL10RB	autocrine	0.708932225880346
NID1	PTPRF	autocrine	0.707030849505638
LAMA5	ITGB1	autocrine	0.706469529153
COL4A2	ITGB3	autocrine	0.706171713854607
COL4A1	ITGA1	autocrine	0.705732969633304
MFAP2	NOTCH1	autocrine	0.705601948182283
C4B	CD46	autocrine	0.705544809838871
VCAM1	ITGA4	autocrine	0.70540426262844
TGM2	SDC4	autocrine	0.703860381353121
AGRN	ITGB1	autocrine	0.703390253556278
SLIT2	SDC1	autocrine	0.703252799385431
GPC3	IGF1R	autocrine	0.703233814216689
FN1	TSHR	autocrine	0.702965689364308
TGFB1	ITGB1	autocrine	0.702659771752079
CALR	TSHR	autocrine	0.701978405214038
CALM2	GP6	autocrine	0.700808129072242
INHBA	ACVR2A	autocrine	0.70075433413775
GNAI2	TBXA2R	autocrine	0.700580957325481
ANGPT1	ITGA5	autocrine	0.698476458438504
COL5A2	DDR1	autocrine	0.698380511108723
VEGFB	NRP1	autocrine	0.697639596795299
CALM1	PDE1A	autocrine	0.69733494331403
ICAM1	SPN	autocrine	0.697255386739453
IGF1	IGF2R	autocrine	0.696363543840228
CALM1	HMMR	autocrine	0.696235757523285
ADAM15	ITGAV	autocrine	0.695676467552844
HLA-G	KLRD1	autocrine	0.69530001499601
IGF2	IGF2R	autocrine	0.694345539764404
LAMB1	ITGA7	autocrine	0.693976570217432
INHBA	SMAD3	autocrine	0.693228063632154
UBA52	FGFR2	autocrine	0.693084066112604
TNFSF12	TNFRSF12A	autocrine	0.692877337807615
SLIT2	ROBO1	autocrine	0.69259938081782
GNAI2	IGF1R	autocrine	0.69070270354275
COL18A1	ITGB5	autocrine	0.690664385491252
LAMC2	CD151	autocrine	0.689957065512661
RPS19	C5AR1	autocrine	0.689566183625072
FN1	ITGA3	autocrine	0.689325209736781
EFNA5	EPHA10	autocrine	0.688929832545155
PLAU	IGF2R	autocrine	0.688662505585828
CALR	ITGA3	autocrine	0.688312689796156
COL7A1	ITGB1	autocrine	0.688175085527831
TNC	ITGA7	autocrine	0.688151590081375
MDK	SDC3	autocrine	0.687704433536879
SEMA3C	PLXND1	autocrine	0.686950128276502
TNFSF10	TNFRSF11B	autocrine	0.686549797808282
PAPLN	SIRPA	autocrine	0.685901627391671
HSP90B1	TLR7	autocrine	0.6858706944014
CTHRC1	FZD3	autocrine	0.68582223137898
TFPI	VLDLR	autocrine	0.685631329216503
TGFB3	TGFBR1	autocrine	0.684677201378432
LAMC1	ITGA7	autocrine	0.683960008832636
HBEGF	CD44	autocrine	0.683429886533554
LAMB1	ITGA2	autocrine	0.682947780872097
TLN1	ITGB3	autocrine	0.681198909741069
LAMB3	ITGB1	autocrine	0.680945180291863
GNAI2	S1PR3	autocrine	0.680863514290515
COL1A2	FLT4	autocrine	0.680342142138048
COL18A1	GPC1	autocrine	0.679905125224987
COL1A1	FLT4	autocrine	0.677342410588258
LGALS1	CD69	autocrine	0.677282660968169
DKK1	LRP6	autocrine	0.677165957987295
TNC	ITGA2	autocrine	0.677010577789194
FGF1	FGFR1	autocrine	0.676642431161758
TGFB3	ITGB3	autocrine	0.675023978237201
FN1	C5AR1	autocrine	0.674818696098784
AGRN	LRP1	autocrine	0.674096038046493
ITGB3BP	ITGB5	autocrine	0.673698349257013
CALM1	GP6	autocrine	0.673489794512355
TGM2	TBXA2R	autocrine	0.673484245822614
BMP7	ENG	autocrine	0.673319383191463
CALM2	SELL	autocrine	0.673297125335561
LAMC1	ITGA2	autocrine	0.672740463536463
TGFB1	ENG	autocrine	0.672528445189067
UBA52	ADRB2	autocrine	0.671728347971977
RARRES2	CMKLR1	autocrine	0.671676581396141
LAMA3	SDC2	autocrine	0.671634994887321
BDNF	NGFRAP1	autocrine	0.671591982158056
HLA-B	LILRB1	autocrine	0.671251469604127
CCL5	ADRA2A	autocrine	0.67092529599584
NGF	KIDINS220	autocrine	0.670505455254388
LAMA1	ITGB1	autocrine	0.670147745791086
CCL21	ADRA2A	autocrine	0.670127411172415
TGFB2	ENG	autocrine	0.670030158229088
COL4A5	ITGB1	autocrine	0.669900953572892
DUSP18	CD151	autocrine	0.669608198427608
EFNA5	EPHA3	autocrine	0.669586838791594
UBA52	BMPR1B	autocrine	0.668997284653039
HEBP1	ADRA2A	autocrine	0.668567173814679
HGF	SDC1	autocrine	0.666856819747013
LRPAP1	SORT1	autocrine	0.666750958560959
HLA-C	LILRB1	autocrine	0.666676786527836
SEMA3B	NRP1	autocrine	0.666038799063901
HLA-A	LILRB1	autocrine	0.665378444386885
THBS1	ITGA3	autocrine	0.664374463910268
HSPG2	ITGA2	autocrine	0.66429776547742
CALM2	PDE1B	autocrine	0.664240727849431
LAMB1	ITGA6	autocrine	0.663736663504355
RTN4	TNFRSF19	autocrine	0.663581458846077
BGN	TLR1	autocrine	0.66335278775115
VTN	ITGA5	autocrine	0.663309744005243
ECM1	CACHD1	autocrine	0.663169837444158
TGFB1	CAV1	autocrine	0.662112716848223
FGF7	FGFR2	autocrine	0.661260995216865
FGF2	SDC2	autocrine	0.660648884752767
CCL19	ADRA2A	autocrine	0.660354763733846
CALM1	KCNN4	autocrine	0.659154317318852
HSPA1A	TLR4	autocrine	0.658940561662464
BMP4	BMPR2	autocrine	0.658711826458055
CYR61	ITGB2	autocrine	0.65819171217806
COL8A1	ITGA2	autocrine	0.657562962679697
HSP90B1	TLR1	autocrine	0.656957598726114
GNAI2	EDNRA	autocrine	0.656175774434776
VTN	CD47	autocrine	0.65562306341812
COL9A2	ITGB1	autocrine	0.655488192511286
VTN	PLAUR	autocrine	0.655373034652497
FGF2	FGFR1	autocrine	0.654634570663391
CALM3	PDE1C	autocrine	0.654337032392831
CALM3	AQP6	autocrine	0.654163559356254
LRPAP1	VLDLR	autocrine	0.653906687464181
PDGFA	PDGFRB	autocrine	0.653663957940198
LAMC1	ITGA6	autocrine	0.653224901505089
PDGFA	PDGFRA	autocrine	0.652754983266515
GNAS	ADCY9	autocrine	0.652051833201329
RELN	ITGB1	autocrine	0.651632478126959
COL18A1	GPC4	autocrine	0.650712884818083
FN1	ROBO4	autocrine	0.650538746771797
ARPC5	ADRB2	autocrine	0.650113636687591
MDK	ITGA6	autocrine	0.650111625037614
RGMB	NEO1	autocrine	0.648230820222881
LAMA4	ITGA6	autocrine	0.647272559902338
CTGF	ITGB2	autocrine	0.646341847276279
HHLA3	CHRM3	autocrine	0.645864180659411
BMP8A	BMPR2	autocrine	0.645717563879205
ITGB2	THY1	autocrine	0.645299021074538
TP53	TNFRSF10D	autocrine	0.645190804140844
FYN	SPN	autocrine	0.645177952381538
CP	SLC40A1	autocrine	0.644872421063427
DLL1	NOTCH2	autocrine	0.64486315712974
CALM1	SELL	autocrine	0.644740220770718
SEMA3C	NRP2	autocrine	0.644589977874501
ADAM9	ITGA6	autocrine	0.644275799672276
PTDSS1	SCARB1	autocrine	0.644258309827466
ADAM10	EPHA3	autocrine	0.644067306429925
THBS1	LRP5	autocrine	0.64375609474317
VCAN	SELL	autocrine	0.642730486590255
GAS6	TYRO3	autocrine	0.64246027675047
ADAM15	ITGB3	autocrine	0.641718024963637
JAG1	NOTCH3	autocrine	0.641528354139023
LAMA2	ITGA1	autocrine	0.640881064222076
IL11	IL6ST	autocrine	0.640580969058096
HBEGF	CD9	autocrine	0.640113166381271
GNAS	TSHR	autocrine	0.639755573387568
FN1	FLT4	autocrine	0.639461324404256
ADA	DPP4	autocrine	0.63914513508537
PTGS2	CAV1	autocrine	0.638660656383918
COL4A4	CD47	autocrine	0.637972032010633
FGF13	FGFR1	autocrine	0.637028040211553
EFNA5	EPHB6	autocrine	0.636302391600231
NGF	NGFR	autocrine	0.635552524181205
CALM1	PDE1B	autocrine	0.635320972322057
INHBA	ACVR1B	autocrine	0.634981353746471
PTN	SDC3	autocrine	0.633821463633702
COL4A1	ITGA2	autocrine	0.633245209054936
