T_cell	Macro	interaction.type	LRscore
FGB	TLR4	autocrine|paracrine	0.525965702683443
TNC	ITGB1	autocrine|paracrine	0.525234517455094
GNAI2	CXCR2	autocrine|paracrine	0.523847953969692
DUSP18	CD151	autocrine|paracrine	0.523765808142648
COL9A2	ITGB1	autocrine|paracrine	0.522556658238354
CD47	SIRPG	autocrine|paracrine	0.520910483099538
FGB	ITGAM	autocrine|paracrine	0.519735604883663
CALM3	PDE1B	autocrine|paracrine	0.518946256689437
CCL3L1	CCR5	autocrine|paracrine	0.518708728170128
GNAI2	S1PR4	autocrine|paracrine	0.517893231991079
COL6A3	ITGB1	autocrine|paracrine	0.516445371910465
MDK	ITGB1	autocrine|paracrine	0.513482698554949
BMP8A	BMPR2	autocrine|paracrine	0.511623519409642
IL15	IL15RA	autocrine|paracrine	0.511371366969749
SPP1	ITGB1	autocrine|paracrine	0.509847376748974
HLA-A	ERBB2	autocrine|paracrine	0.508956802138597
ITGB2	THY1	autocrine|paracrine	0.507311412215656
IL21	IL2RG	autocrine|paracrine	0.507104897694587
CCL16	HRH4	autocrine|paracrine	0.506616339327855
FN1	C5AR1	autocrine|paracrine	0.505707628203723
HRAS	TLR2	autocrine|paracrine	0.504872031437764
CD200	CD200R1	autocrine|paracrine	0.503897043833474
