CAF	T_cell	interaction.type	LRscore
PLAU	IGF2R	autocrine|paracrine	0.652840130784499
LAMA3	ITGB1	autocrine|paracrine	0.650526589736455
ADAM10	NOTCH1	autocrine|paracrine	0.649767393752538
LGALS9	HAVCR2	autocrine|paracrine	0.649162666050362
GNAI2	S1PR1	autocrine|paracrine	0.648916510290326
LAMB1	ITGA2	autocrine|paracrine	0.646888691471576
ARF1	PLD2	autocrine|paracrine	0.646846537422487
RAET1E	KLRK1	autocrine|paracrine	0.646729819914381
CD14	ITGA4	autocrine|paracrine	0.646384919837333
PSEN1	NCSTN	autocrine|paracrine	0.646366040491964
GPC3	CD81	autocrine|paracrine	0.645742966061834
TNFSF10	TNFRSF10A	autocrine|paracrine	0.645455634334233
THBS2	CD36	autocrine|paracrine	0.645420297444937
COL8A1	ITGA1	autocrine|paracrine	0.643877342396305
CKLF	CCR4	autocrine|paracrine	0.642456226796863
ICAM1	IL2RA	autocrine|paracrine	0.640640959881526
TNC	ITGA2	autocrine|paracrine	0.640631555310991
TNC	SDC4	autocrine|paracrine	0.639252609547024
FBN1	ITGA5	autocrine|paracrine	0.638347313636966
FGF7	FGFR1	autocrine|paracrine	0.638032169607819
COL4A4	CD47	autocrine|paracrine	0.637851427900815
CCL5	SDC4	autocrine|paracrine	0.637733816238791
VEGFA	ITGB1	autocrine|paracrine	0.63691803378828
FN1	TSHR	autocrine|paracrine	0.636735301798888
LAMC1	ITGA2	autocrine|paracrine	0.636138977660445
CALR	TSHR	autocrine|paracrine	0.635641981118618
JAG1	NOTCH1	autocrine|paracrine	0.635437344650486
VTN	ITGB1	autocrine|paracrine	0.633144608020017
ICAM4	ITGA4	autocrine|paracrine	0.632461178105832
ACTR2	ADRB2	autocrine|paracrine	0.631743812325993
MDK	SDC4	autocrine|paracrine	0.631567042345431
CD14	ITGB1	autocrine|paracrine	0.630225980145944
ADM	ADRB2	autocrine|paracrine	0.629266888274843
FN1	ITGAV	autocrine|paracrine	0.628041282462484
PVR	CD226	autocrine|paracrine	0.627579386045686
HSPG2	ITGA2	autocrine|paracrine	0.627275180790934
CALR	ITGAV	autocrine|paracrine	0.626937126237242
CALM1	OPRM1	autocrine|paracrine	0.624987634943426
CYR61	ITGAV	autocrine|paracrine	0.623235573870276
PSEN1	NOTCH1	autocrine|paracrine	0.622455092387923
SELPLG	ITGB2	autocrine|paracrine	0.622030236488231
UBA52	ACVR1	autocrine|paracrine	0.621489498632025
COL11A1	ITGB1	autocrine|paracrine	0.621368742766805
COL8A1	ITGA2	autocrine|paracrine	0.62022226058533
COL4A1	ITGA1	autocrine|paracrine	0.61915061041267
HLA-F	LILRB1	autocrine|paracrine	0.618456237849081
ICAM4	ITGB1	autocrine|paracrine	0.616043918205484
COL4A4	ITGB1	autocrine|paracrine	0.615017976525292
CCL5	CCR1	autocrine|paracrine	0.614388575838368
CD99	PILRA	autocrine|paracrine	0.614229027936168
JAG1	NOTCH2	autocrine|paracrine	0.613100344051909
BGN	TLR1	autocrine|paracrine	0.610898209119952
FN1	PLAUR	autocrine|paracrine	0.610542711697618
CCL2	CCR1	autocrine|paracrine	0.610262096157714
ADAM12	SDC4	autocrine|paracrine	0.610070734839088
TNC	ITGA5	autocrine|paracrine	0.609707015280356
F10	F3	autocrine|paracrine	0.608987882707928
FGF7	NRP1	autocrine|paracrine	0.607568847170235
C3	C3AR1	autocrine|paracrine	0.606714721417138
LAMB1	ITGA6	autocrine|paracrine	0.606346802394479
LAMA5	ITGB1	autocrine|paracrine	0.606190699386685
SPP1	CD44	autocrine|paracrine	0.605364336388529
C3	CR1	autocrine|paracrine	0.605301977755292
HSP90B1	TLR1	autocrine|paracrine	0.604101260383968
IL16	CD4	autocrine|paracrine	0.603123263719991
AGRN	ITGB1	autocrine|paracrine	0.602651125654261
TGFB1	ITGB1	autocrine|paracrine	0.601812993616774
ICAM1	ITGAX	autocrine|paracrine	0.600827018134313
NGF	NGFRAP1	autocrine|paracrine	0.60031812172237
INHBA	SMAD3	autocrine|paracrine	0.600130936006457
PSEN1	NOTCH2	autocrine|paracrine	0.599823595508633
LGALS3BP	VANGL1	autocrine|paracrine	0.595777112792002
LAMC1	ITGA6	autocrine|paracrine	0.595135326610676
COL4A1	ITGA2	autocrine|paracrine	0.594886473006065
MMP1	ITGA2	autocrine|paracrine	0.593831729253322
B2M	HFE	autocrine|paracrine	0.591856659752678
MDK	ITGA6	autocrine|paracrine	0.591826408059738
IL6	F3	autocrine|paracrine	0.59020514441637
CALM2	ABCA1	autocrine|paracrine	0.589746425520422
LAMA4	ITGA6	autocrine|paracrine	0.588813531544346
COL4A5	CD47	autocrine|paracrine	0.588643940293074
INHBA	TGFBR3	autocrine|paracrine	0.587727520947289
OLAH	MOG	autocrine|paracrine	0.586917452326333
NGF	MAGED1	autocrine|paracrine	0.58661548398347
IL11	IL6ST	autocrine|paracrine	0.585744859108481
PGF	FLT1	autocrine|paracrine	0.585649379883908
ADAM9	ITGA6	autocrine|paracrine	0.585638054083344
COL7A1	ITGB1	autocrine|paracrine	0.58531492305649
TNC	PTPRB	autocrine|paracrine	0.585094995617526
FN1	IL17RC	autocrine|paracrine	0.584750389888879
ADAM28	ITGA4	autocrine|paracrine	0.582856770640305
IRAK4	TLR7	autocrine|paracrine	0.577600800386176
NGF	KIDINS220	autocrine|paracrine	0.577260902692908
NOV	NOTCH1	autocrine|paracrine	0.577168016177582
LAMB3	ITGB1	autocrine|paracrine	0.577165471333163
CCL22	CCR4	autocrine|paracrine	0.576199564079029
TGFB3	TGFBR3	autocrine|paracrine	0.576056061966475
EFNA4	EPHA10	autocrine|paracrine	0.575236665068327
F8	LDLR	autocrine|paracrine	0.574842460312511
VCAN	TLR1	autocrine|paracrine	0.574114869476316
TGFB3	TGFBR1	autocrine|paracrine	0.574096213312823
FGF5	FGFR1	autocrine|paracrine	0.573628306537736
ICAM1	CAV1	autocrine|paracrine	0.573359895121717
CDH1	ITGB7	autocrine|paracrine	0.572042238934665
CDH1	ITGAE	autocrine|paracrine	0.571482159686681
PLAU	ITGA5	autocrine|paracrine	0.570589240945944
GNAS	ADCY1	autocrine|paracrine	0.56996018683023
INHBA	ENG	autocrine|paracrine	0.569674680746282
MAPK1	FGFR2	autocrine|paracrine	0.568287790415536
GNAS	TSHR	autocrine|paracrine	0.568090646926995
LAMA1	ITGB1	autocrine|paracrine	0.5650990161729
COL4A5	ITGB1	autocrine|paracrine	0.564824665864139
HSP90B1	TLR9	autocrine|paracrine	0.564687966805062
CYR61	ITGAM	autocrine|paracrine	0.564521952655466
LIF	IL6ST	autocrine|paracrine	0.564449639230112
SELPLG	SELL	autocrine|paracrine	0.563821849220195
B2M	LILRB2	autocrine|paracrine	0.562928976327369
TNFSF9	TNFRSF9	autocrine|paracrine	0.560365011166595
CDH1	KLRG1	autocrine|paracrine	0.558959855933562
CALM1	ABCA1	autocrine|paracrine	0.558673383968201
TGFB3	ENG	autocrine|paracrine	0.557876607102981
PECAM1	CD38	autocrine|paracrine	0.557224004900439
TNFSF12	TNFRSF25	autocrine|paracrine	0.556910873685297
RGMB	BMPR2	autocrine|paracrine	0.553794289475948
CXCL11	CXCR3	autocrine|paracrine	0.553770161115928
FBN1	ITGAV	autocrine|paracrine	0.5534669237128
CTGF	ITGAM	autocrine|paracrine	0.551636844522968
GNAI2	CAV1	autocrine|paracrine	0.551128253871962
ZG16B	CXCR4	autocrine|paracrine	0.550357269870093
CALM2	MYLK	autocrine|paracrine	0.549904962117999
CCL16	HRH4	autocrine|paracrine	0.54949910164946
COL9A2	ITGB1	autocrine|paracrine	0.548913349588634
FN1	NT5E	autocrine|paracrine	0.548436696037765
MFGE8	ITGAV	autocrine|paracrine	0.548044943398524
VEGFC	FLT1	autocrine|paracrine	0.547890985681822
CALM2	PDE1B	autocrine|paracrine	0.547654975435583
LAMA2	ITGA1	autocrine|paracrine	0.547453128954572
SERPINE1	ITGAV	autocrine|paracrine	0.547325767447994
ADA	DPP4	autocrine|paracrine	0.547190460160163
BST1	CAV1	autocrine|paracrine	0.545629613087924
RELN	ITGB1	autocrine|paracrine	0.544693372545666
CD200	CD200R1	autocrine|paracrine	0.544322146622584
WNT5A	LDLR	autocrine|paracrine	0.543464336335143
CTGF	NTRK1	autocrine|paracrine	0.543020371310147
FST	BMPR2	autocrine|paracrine	0.542933250452084
ADM	TSHR	autocrine|paracrine	0.542063048586755
CALM1	HMMR	autocrine|paracrine	0.539763944730678
SPP1	ITGA4	autocrine|paracrine	0.538556594434211
PDCD1LG2	PDCD2	autocrine|paracrine	0.536808700749064
C3	ITGAM	autocrine|paracrine	0.536702240294928
CD52	SIGLEC10	autocrine|paracrine	0.535771585527913
PDGFC	FLT1	autocrine|paracrine	0.534999202051429
ADAM17	ITGA5	autocrine|paracrine	0.534599582559533
CCL20	CXCR3	autocrine|paracrine	0.534369059732758
GNAI2	S1PR3	autocrine|paracrine	0.534296668745404
PSAP	SORT1	autocrine|paracrine	0.532286981624122
EFNA5	EPHB6	autocrine|paracrine	0.531675172402366
CCL11	CXCR3	autocrine|paracrine	0.531659711017943
EFNA5	EPHA4	autocrine|paracrine	0.530451006873865
LAMB1	ITGAV	autocrine|paracrine	0.529928118683163
TNFSF13	TNFRSF14	autocrine|paracrine	0.529637387294728
IL15	IL2RA	autocrine|paracrine	0.5289170657576
SERPINE1	PLAUR	autocrine|paracrine	0.528878441411156
SEMA7A	ITGA1	autocrine|paracrine	0.525857975384174
IRAK4	TLR6	autocrine|paracrine	0.525506110660653
BTLA	TNFRSF14	autocrine|paracrine	0.523518845999242
TNC	ITGAV	autocrine|paracrine	0.523126277890649
THBS1	SCARB1	autocrine|paracrine	0.522780394562557
TGFB1	TGFBR2	autocrine|paracrine	0.522492319407219
TGM2	SDC4	autocrine|paracrine	0.52235354804344
LAMA2	ITGA2	autocrine|paracrine	0.522146547833177
