Macro	Macro.1	interaction.type	LRscore
CCL5	CCR1	autocrine	0.865926052174432
SERPINA1	LRP1	autocrine	0.865352552771906
HLA-G	CD4	autocrine	0.863785971963661
HLA-C	LILRA3	autocrine	0.863607256598001
UBA52	TLR4	autocrine	0.861461467695624
CCL4	CCR1	autocrine	0.860645149414921
PLAU	ITGB2	autocrine	0.859631234318172
VCAN	CD44	autocrine	0.857978909747228
C1QA	CD93	autocrine	0.855832809189432
CALM1	ABCA1	autocrine	0.855800229401164
HSP90B1	TLR4	autocrine	0.85543959913407
HSP90B1	LRP1	autocrine	0.854625799734753
TNFSF13	TNFRSF1A	autocrine	0.852126497886176
MRC1	PTPRC	autocrine	0.85145501338965
APOE	LRP1	autocrine	0.85015532750833
C3	C3AR1	autocrine	0.85001336206359
FN1	PLAUR	autocrine	0.849703489667436
LGALS3BP	ITGB1	autocrine	0.849346934120318
HMGB1	TLR4	autocrine	0.848723112742606
SERPING1	LRP1	autocrine	0.847805738695803
VCAN	TLR2	autocrine	0.846076291392634
CXCL12	CD4	autocrine	0.845450233833596
CXCL12	CXCR4	autocrine	0.8444096105822
HSP90B1	TLR1	autocrine	0.843355568221508
GNAI2	FPR1	autocrine	0.842639436956703
ICAM1	IL2RG	autocrine	0.842547929751894
SPP1	ITGA4	autocrine	0.841981781412142
FN1	CD44	autocrine	0.841501511249415
CALM1	SELL	autocrine	0.841463635148051
ICAM2	ITGB2	autocrine	0.838737727444185
ICAM1	ITGAM	autocrine	0.838726875739649
GNAI2	C5AR1	autocrine	0.838451167609994
PLAU	PLAUR	autocrine	0.83809472871852
C3	ITGAX	autocrine	0.837994691323906
APOE	SORL1	autocrine	0.837930724363817
UBC	TGFBR1	autocrine	0.836939909083763
A2M	LRP1	autocrine	0.836912328587044
PLTP	ABCA1	autocrine	0.836550052829677
HLA-G	LILRB2	autocrine	0.835938528369998
HSPA1A	TLR4	autocrine	0.835925274863676
ANXA1	FPR2	autocrine	0.835456314808636
UBC	LDLR	autocrine	0.835244187359773
HLA-G	LILRB1	autocrine	0.835146545077871
HBEGF	CD44	autocrine	0.83450818380209
S100A8	TLR4	autocrine	0.833544077210741
IL18	CD48	autocrine	0.832674508849849
UBC	TGFBR2	autocrine	0.83181602754075
F13A1	ITGB1	autocrine	0.831383561217559
CCL3	CCR5	autocrine	0.83080364222749
PSAP	SORT1	autocrine	0.828888616517321
IL10	IL10RA	autocrine	0.828813584106388
VCAN	ITGB1	autocrine	0.82752430831012
RPS27A	TGFBR1	autocrine	0.826928307087463
ARF1	CHRM3	autocrine	0.826330553130991
CD14	TLR6	autocrine	0.826105665583964
LGALS1	CD69	autocrine	0.825265423469813
RPS27A	LDLR	autocrine	0.825150222143459
ICAM1	ITGAL	autocrine	0.823908195109578
SPP1	ITGA5	autocrine	0.823396262502413
UBB	TGFBR1	autocrine	0.822615769746063
FN1	C5AR1	autocrine	0.822132904235897
TNF	TNFRSF1B	autocrine	0.8217266696157
RPS27A	TGFBR2	autocrine	0.82155690321904
UBB	LDLR	autocrine	0.820802980257621
B2M	CD3G	autocrine	0.82056579086372
ICAM3	ITGB2	autocrine	0.819576973192403
HBEGF	CD9	autocrine	0.819061546539463
CCL2	CCR1	autocrine	0.818785631921123
HSPA8	LDLR	autocrine	0.818381895415656
UBB	TGFBR2	autocrine	0.817140120025026
PSEN1	CD44	autocrine	0.816900907602395
IL10	IL10RB	autocrine	0.815783819816416
ICAM1	SPN	autocrine	0.815186499251818
ADAM10	AXL	autocrine	0.813507135891695
SELPLG	ITGAM	autocrine	0.81182476615733
IL16	CD4	autocrine	0.811346518252812
HSP90B1	TLR7	autocrine	0.810466609766712
CD52	SIGLEC10	autocrine	0.809656136378389
HBEGF	CD82	autocrine	0.809612451422998
C3	CD46	autocrine	0.809610880477111
CALM3	ABCA1	autocrine	0.808874940848985
C3	IFITM1	autocrine	0.808749653050525
FN1	ITGB1	autocrine	0.808302998114508
HLA-B	CD3G	autocrine	0.80804272384378
CD36	TLR4	autocrine	0.806375940873835
CCL5	CCR5	autocrine	0.805830772280251
VCAN	SELL	autocrine	0.805373585606118
LRPAP1	LRP1	autocrine	0.804764133838951
THBS1	ITGB1	autocrine	0.804293544203136
SELPLG	SELL	autocrine	0.803900475798347
VCAN	TLR1	autocrine	0.802460975459481
F13A1	ITGA4	autocrine	0.802221177465927
ARPC5	LDLR	autocrine	0.802186714650186
HLA-C	CD3G	autocrine	0.802176775091531
UBA52	TGFBR1	autocrine	0.802168909017992
ADAM9	ITGB1	autocrine	0.801745512563592
UBA52	LDLR	autocrine	0.800197914560252
HLA-A	CD3G	autocrine	0.798974615063746
CCL4	CCR5	autocrine	0.798733006199785
C3	LRP1	autocrine	0.797965089765995
VCAN	ITGA4	autocrine	0.797856750021469
HMGB1	THBD	autocrine	0.797331285759654
PSAP	GPR37L1	autocrine	0.79680997549536
CALR	SCARF1	autocrine	0.796606379453032
UBC	ADRB2	autocrine	0.796591897326294
IL18	IL18BP	autocrine	0.796583467826465
UBA52	TGFBR2	autocrine	0.796218444138281
HLA-E	SLC16A4	autocrine	0.796016604522872
APOE	SCARB1	autocrine	0.795620340001193
C3	ITGAM	autocrine	0.794981224478863
C3	CD81	autocrine	0.794865121440754
PLAU	ITGB1	autocrine	0.794270734223806
CXCL12	ITGB1	autocrine	0.793558351271943
THBS1	LRP1	autocrine	0.791642699235483
B2M	HFE	autocrine	0.791467019042681
ICAM4	ITGB2	autocrine	0.791366764150925
THBS1	CD47	autocrine	0.79134503414412
CALM3	SELL	autocrine	0.79101224868316
DUSP18	RPSA	autocrine	0.790966388978503
THBS1	CD36	autocrine	0.790783268669602
HSP90B1	ASGR1	autocrine	0.790478352380395
ADAM17	ITGB1	autocrine	0.789904582971767
LRPAP1	SORL1	autocrine	0.78975222871072
ARF1	PLD2	autocrine	0.789410282229123
CD1D	LILRB2	autocrine	0.787499314582715
APOE	LDLR	autocrine	0.786244546907131
PECAM1	CD38	autocrine	0.785053650348971
RPS27A	ADRB2	autocrine	0.784740156038124
TNF	TNFRSF1A	autocrine	0.783906654600683
LY86	CD180	autocrine	0.783531495240144
TGM2	ITGB1	autocrine	0.783471508076965
CALR	ITGAV	autocrine	0.782606056946429
PTGS2	ALOX5	autocrine	0.781926886000774
IL8	SDC3	autocrine	0.78153270265722
HEBP1	FPR3	autocrine	0.781471040379367
PLAU	LRP1	autocrine	0.781148290068448
APP	NCSTN	autocrine	0.780996537607082
UBB	ADRB2	autocrine	0.779656500433547
ADAM28	ITGA4	autocrine	0.7795139293241
HGF	CD44	autocrine	0.778698253814031
CCL3L1	CCR1	autocrine	0.778315440750451
PLAU	ITGAM	autocrine	0.777985159072377
HLA-G	KLRD1	autocrine	0.777287374338407
GNAS	ADCY7	autocrine	0.776870242182072
HSPA8	ADRB2	autocrine	0.776830645874731
GNAI2	CCR5	autocrine	0.776288395039114
FN1	ITGA4	autocrine	0.776223249764528
ACTR2	LDLR	autocrine	0.775943385130039
APP	LRP1	autocrine	0.774874951970857
RNASE2	TLR2	autocrine	0.774736990225722
TNFSF13	SDC2	autocrine	0.772721846406722
PSEN1	NCSTN	autocrine	0.772417670743744
C1QA	CR1	autocrine	0.772092367914172
THBS1	ITGA4	autocrine	0.771732312694389
SEMA4A	PLXNB2	autocrine	0.77107460793582
TIMP2	ITGB1	autocrine	0.769628298469154
CALM1	KCNN4	autocrine	0.76889090431708
ANXA1	DYSF	autocrine	0.768225425976836
GNAI2	ADCY7	autocrine	0.76359766295693
SPP1	ITGAV	autocrine	0.76332624548166
IRAK4	TLR4	autocrine	0.762742773304706
APOC2	LRP1	autocrine	0.761667048809146
CALM2	INSR	autocrine	0.761066922081044
B2M	CD1B	autocrine	0.760876834849315
UBA52	NOTCH1	autocrine	0.759988743501496
CCL5	SDC4	autocrine	0.759818367480513
CALM2	AQP6	autocrine	0.758173631353387
ARPC5	ADRB2	autocrine	0.758025801630755
GAS6	AXL	autocrine	0.756223889510467
UBA52	ADRB2	autocrine	0.755728209404256
TNFSF10	TNFRSF10B	autocrine	0.755528278443163
ADM	GPR84	autocrine	0.754046160682815
UBC	FGFR2	autocrine	0.753085526782734
ADAM15	ITGB1	autocrine	0.753077791287175
ICAM1	IL2RA	autocrine	0.752952992858678
GNAI2	TBXA2R	autocrine	0.752520478207628
FN1	ITGA5	autocrine	0.752179881196173
SEMA4D	CD72	autocrine	0.74971801761617
TGM2	ITGA4	autocrine	0.748529108153049
ICAM2	ITGAM	autocrine	0.748494446282249
IL1B	IL1RAP	autocrine	0.746222068513646
MMP9	ITGB2	autocrine	0.744497862798334
IL8	SDC2	autocrine	0.744059086906182
CCL2	CCR5	autocrine	0.74381209772735
PSAP	CD1B	autocrine	0.741623775592245
PRND	RPSA	autocrine	0.739732275719267
ARF1	INSR	autocrine	0.739549074835045
RPS27A	FGFR2	autocrine	0.739527732205103
CCL2	CCR2	autocrine	0.739326968285087
HGF	ITGB1	autocrine	0.736464841032747
GPI	AMFR	autocrine	0.735778886178491
PLAU	ITGA5	autocrine	0.735384309839334
SEMA4A	PLXND1	autocrine	0.735311936909273
SEMA4A	PLXND1	autocrine	0.735311936909273
CALM1	PTPRA	autocrine	0.735105873548044
CCL16	CCR1	autocrine	0.734774471471052
APP	FPR2	autocrine	0.734306778196542
UBB	FGFR2	autocrine	0.733738610760419
PTDSS1	JMJD6	autocrine	0.732458724688342
SEMA4D	PLXNB2	autocrine	0.731787248274273
ADAM17	ITGA5	autocrine	0.730192948089981
PSEN1	NOTCH2	autocrine	0.730100001273037
IL1B	IL1R2	autocrine	0.729178538888499
CALM2	GP6	autocrine	0.728190572415717
ICAM2	ITGAL	autocrine	0.728072783865151
ACTR2	ADRB2	autocrine	0.72791094820039
LRPAP1	LDLR	autocrine	0.727694408667936
VCAM1	ITGB2	autocrine	0.727474878674801
CD48	CD244	autocrine	0.727259350039247
LIN7C	ABCA1	autocrine	0.727100982521875
SPP1	ITGB5	autocrine	0.726605106106783
IL15	IL2RG	autocrine	0.725348035582692
MFNG	NOTCH2	autocrine	0.724381902423891
CCL8	CCR1	autocrine	0.724134800062921
THBS1	SCARB1	autocrine	0.722757001184289
FABP5	RXRA	autocrine	0.722361314031936
CD14	RIPK1	autocrine	0.719414457462747
UBC	RIPK1	autocrine	0.718891448213838
CALM1	INSR	autocrine	0.718742118171028
IL1B	ADRB2	autocrine	0.718436113025037
TNFSF14	TNFRSF14	autocrine	0.717067164771309
NAMPT	INSR	autocrine	0.71566473767355
CALM1	AQP6	autocrine	0.715527877572939
CD36	TLR6	autocrine	0.71486016591326
CALM1	FAS	autocrine	0.713605974281036
HLA-C	NOTCH4	autocrine	0.712648318128533
FN1	SDC2	autocrine	0.70961524117728
UBA52	FGFR2	autocrine	0.706699717152067
PTDSS1	SCARB1	autocrine	0.706637242908077
LPL	CD44	autocrine	0.706518630944625
DUSP18	ITGB1	autocrine	0.706192536148922
IL1RN	IL1R2	autocrine	0.705308748357009
ICAM4	ITGB1	autocrine	0.705123531489279
RPS27A	RIPK1	autocrine	0.704193586384278
TNFSF13	FAS	autocrine	0.703724078211909
GSTP1	TRAF2	autocrine	0.703654025384768
LAMB2	RPSA	autocrine	0.701812223080896
CD86	CD28	autocrine	0.700837644302827
ICAM3	ITGAL	autocrine	0.700459027389698
TNF	TRADD	autocrine	0.700357553743719
TGM2	TBXA2R	autocrine	0.699140537080994
IRAK4	TLR7	autocrine	0.699076230096362
MMP9	CD44	autocrine	0.698156327564269
UBB	RIPK1	autocrine	0.697939909834741
LRPAP1	SORT1	autocrine	0.697706834731956
THBS1	SDC4	autocrine	0.69659818245522
TNFSF14	LTBR	autocrine	0.696011967709961
TGFB1	CXCR4	autocrine	0.695771993901078
CXCL10	SDC4	autocrine	0.693006808392143
CCL3L1	CCR5	autocrine	0.692878682481155
UBC	SMAD3	autocrine	0.689209868454825
IL16	CCR5	autocrine	0.68894707967516
PAPLN	SIRPA	autocrine	0.687145501342137
ADAM15	ITGA5	autocrine	0.687046327556275
ICAM4	ITGAM	autocrine	0.684583447124403
CD55	CR1	autocrine	0.683434720808867
CALM1	GP6	autocrine	0.682471775539122
IAPP	GPR84	autocrine	0.682301846748497
CXCL12	SDC4	autocrine	0.682289078685327
GNAI2	F2R	autocrine	0.681897539224134
VCAM1	MSN	autocrine	0.679728694457396
UBA52	ACVR1	autocrine	0.678941127523846
GAS6	MERTK	autocrine	0.677909584439851
FN1	ITGAV	autocrine	0.677377566034776
MDK	ITGB1	autocrine	0.676316886376917
VEGFA	ITGB1	autocrine	0.675946603983189
APOC2	LDLR	autocrine	0.674466424448417
RPS27A	SMAD3	autocrine	0.67366457349069
TNFSF10	TNFRSF10D	autocrine	0.672957983713465
TGM2	SDC4	autocrine	0.669033019342207
UBA52	RIPK1	autocrine	0.66890608193172
TNFSF10	TNFRSF10C	autocrine	0.668263834846054
ADAM9	ITGAV	autocrine	0.668179987365483
CSF1	CSF1R	autocrine	0.667974429801933
ZG16B	CXCR4	autocrine	0.667941870868862
UBB	SMAD3	autocrine	0.6670706207149
HLA-C	DDR1	autocrine	0.666488392865974
APP	TNFRSF21	autocrine	0.664305407743081
ADM	ADRB2	autocrine	0.663614684648206
PROS1	AXL	autocrine	0.66325179440091
ICAM4	ITGA4	autocrine	0.662976477643131
TNF	TNFRSF21	autocrine	0.662499530373069
VEGFA	SIRPA	autocrine	0.661654352852518
ICAM4	ITGAL	autocrine	0.661320476754669
IRAK4	TLR6	autocrine	0.659316899048915
MDK	LRP1	autocrine	0.658901789262381
PLAU	ITGAV	autocrine	0.65781865764569
C3	CR1	autocrine	0.657009697846182
BMP7	ENG	autocrine	0.656861486932051
ADAM10	NOTCH1	autocrine	0.656130910727523
B2M	CD1A	autocrine	0.654864215487859
PLAU	IGF2R	autocrine	0.654304232289698
CALM2	PDE1B	autocrine	0.653287216594278
GNAI2	P2RY12	autocrine	0.651878264677472
SERPINE2	LRP1	autocrine	0.65018197477145
VEGFA	NRP1	autocrine	0.648980971950766
GNAS	PTGIR	autocrine	0.64787115611237
LTB	LTBR	autocrine	0.64616864950613
C4A	C3AR1	autocrine	0.645873182999873
CALM3	INSR	autocrine	0.645681393639576
VEGFB	NRP1	autocrine	0.644307597077661
NUCB2	ERAP1	autocrine	0.642658174165526
EBI3	IL6ST	autocrine	0.642112231434437
CALM3	AQP6	autocrine	0.642048032223752
IL15	IL15RA	autocrine	0.641437589824417
PDGFB	LRP1	autocrine	0.641383214899153
IL8	CXCR2	autocrine	0.641062278728097
ADAM17	NOTCH1	autocrine	0.640505563609473
CCL16	CCR5	autocrine	0.640312042183295
LPL	LRP1	autocrine	0.638675706236195
UBA52	SMAD3	autocrine	0.636614508839146
LTB	TNFRSF1A	autocrine	0.636252884189762
PLAU	ST14	autocrine	0.636115644060523
CCL16	CCR2	autocrine	0.634904324644387
OSM	IL6ST	autocrine	0.633196483925676
BST2	LILRA4	autocrine	0.632631476145975
TGFB1	ENG	autocrine	0.632578231659867
MDK	ITGA4	autocrine	0.632200126653307
PLAU	MRC2	autocrine	0.630888759058034
MMP9	LRP1	autocrine	0.629394323356424
TLN1	ITGB5	autocrine	0.6292176876249
CCL8	CCR5	autocrine	0.627802471873552
GNAI2	CXCR2	autocrine	0.627662854268919
VCAM1	ITGB1	autocrine	0.627260347190605
CD22	PTPRC	autocrine	0.627097788514201
PSEN1	NOTCH1	autocrine	0.626744846964528
MMP9	ITGAM	autocrine	0.625090534948941
CALM2	KCNQ1	autocrine	0.624208750692188
CXCL2	CXCR2	autocrine	0.624033954363753
ADAM9	ITGB5	autocrine	0.623968716982748
TNFSF10	TNFRSF10A	autocrine	0.623250775438434
B2M	CD3D	autocrine	0.622824372269286
CCL8	CCR2	autocrine	0.622317613809936
GNAI2	S1PR4	autocrine	0.622069773848783
HHLA3	CHRM3	autocrine	0.621147670101872
ZG16B	TLR2	autocrine	0.62009696466458
MFNG	NOTCH1	autocrine	0.619976814316223
TGFB1	ITGB1	autocrine	0.618300985641359
HGF	SDC2	autocrine	0.618260120451688
C1QA	CSPG4	autocrine	0.61703011843927
FN1	ITGB7	autocrine	0.613287629739363
PLAU	ITGB5	autocrine	0.613026385289869
VCAM1	EZR	autocrine	0.612341261288116
HP	ITGB2	autocrine	0.611504435926114
CALM3	GP6	autocrine	0.605165066383175
ADIPOQ	ADIPOR1	autocrine	0.604064792622468
HLA-B	CD3D	autocrine	0.603174587678202
ADAM15	ITGAV	autocrine	0.602961556634951
CALM1	PDE1B	autocrine	0.601858047448609
IL15	IL2RA	autocrine	0.600670967732105
GNAI2	S1PR3	autocrine	0.599779630321474
LAMB2	ITGB1	autocrine	0.599202981357506
MDK	SDC3	autocrine	0.598408612491065
EBI3	IL27RA	autocrine	0.596738469222763
GNAI2	EDNRB	autocrine	0.596036609285383
CYR61	ITGB2	autocrine	0.595441225558151
HLA-C	CD3D	autocrine	0.594192236079191
IGF1	IGF2R	autocrine	0.59383246221355
ICAM5	ITGB2	autocrine	0.593395810051329
NID1	ITGB1	autocrine	0.592385743548085
MMP12	PLAUR	autocrine	0.592202702889695
FGB	ITGB2	autocrine	0.592056521657368
HLA-A	CD3D	autocrine	0.589346897534275
LTB	CD40	autocrine	0.588497131295002
ICAM1	CAV1	autocrine	0.58804958502011
DUSP18	CD151	autocrine	0.587211579006622
CFH	ITGAM	autocrine	0.586938683398778
CXCL3	CXCR2	autocrine	0.586625303691392
SEMA3C	NRP1	autocrine	0.586130719899955
FN1	IL17RC	autocrine	0.585584245028108
APOD	LEPR	autocrine	0.583414200995112
VCAM1	ITGA4	autocrine	0.58060361505024
IAPP	ADRB2	autocrine	0.580178238480569
TNFSF12	TNFRSF12A	autocrine	0.579610758599647
HBEGF	PRLR	autocrine	0.577118529936207
SPP1	S1PR1	autocrine	0.575696485474502
FBLN1	ITGB1	autocrine	0.574799776221986
CFH	SELL	autocrine	0.574507685356776
MMP1	CD44	autocrine	0.573052497567966
S100A1	TLR4	autocrine	0.571789483815203
CALM1	KCNQ1	autocrine	0.571296770638331
ZG16B	TLR4	autocrine	0.570051753082763
TP53	TNFRSF10D	autocrine	0.565914304944844
COL1A1	CD44	autocrine	0.564578224195571
ITGB2	THY1	autocrine	0.563876165005129
PIGF	FLT1	autocrine	0.563086275779599
IL1B	IL1R1	autocrine	0.561180585779977
COL1A2	CD44	autocrine	0.559562261193755
HGF	ST14	autocrine	0.558568807502999
VEGFA	NRP2	autocrine	0.556908203368437
GNAI2	UNC5B	autocrine	0.556802141435235
TNF	TRAF2	autocrine	0.555729444905366
OLAH	MOG	autocrine	0.554591948706422
IGF1	INSR	autocrine	0.553246217309189
P4HB	GPR162	autocrine	0.553232281001567
LAMB3	ITGB1	autocrine	0.55210155053485
HRAS	TLR2	autocrine	0.545211728089987
ICAM4	ITGAV	autocrine	0.543524966275994
QDPR	DYSF	autocrine	0.542664911466033
IL6	IL6R	autocrine	0.541248733489473
GNAI2	CAV1	autocrine	0.541188158470533
IL11	IL6ST	autocrine	0.539475743670553
CCL14	CCR1	autocrine	0.539394819465168
MDK	SDC4	autocrine	0.538597801099912
CTGF	ITGB2	autocrine	0.535942132565018
IL1RN	IL1R1	autocrine	0.532007023687346
AREG	ERBB3	autocrine	0.528945818141261
SEMA3C	PLXND1	autocrine	0.527678134540457
TNF	RIPK1	autocrine	0.527542994729747
C5	C5AR1	autocrine	0.523622524035264
CALM1	OPRM1	autocrine	0.522117100728569
POMC	GPR84	autocrine	0.521981474027777
SEMA7A	ITGB1	autocrine	0.518855095943354
CALM3	PDE1B	autocrine	0.518764188018239
GNAI2	ADRA2B	autocrine	0.518219776769545
COL18A1	ITGB1	autocrine	0.51656819885287
OSM	OSMR	autocrine	0.516214905414055
LAMA4	ITGB1	autocrine	0.51385995011362
CEACAM5	CD1D	autocrine	0.512801422077394
IL7	IL2RG	autocrine	0.512528490921322
INHBA	ENG	autocrine	0.510591124661514
VEGFA	ITGAV	autocrine	0.509481593746643
FN1	ITGB8	autocrine	0.509446243454154
COL1A1	ITGB1	autocrine	0.50733497631887
MFAP5	NOTCH1	autocrine	0.507165120046124
CD47	SIRPG	autocrine	0.506773604119677
EFNA4	EPHA10	autocrine	0.506664634933579
HLA-A	ERBB2	autocrine	0.505285119615791
SERPINE1	PLAUR	autocrine	0.505183329912622
JAG1	CD46	autocrine	0.50502209616849
TGS1	RXRA	autocrine	0.504437939502827
COL1A2	ITGB1	autocrine	0.502240968234248
TIMP3	ADAM17	autocrine	0.501967616877197
VCL	ITGB5	autocrine	0.501149752552594
