Endo	CAF	interaction.type	LRscore
UBB	ERBB2	autocrine|paracrine	0.811121444122019
THBS1	SDC1	autocrine|paracrine	0.81041557918658
VCAN	ITGB1	autocrine|paracrine	0.809945711421554
GNAS	PTGIR	autocrine|paracrine	0.809810178812391
UBA52	LDLR	autocrine|paracrine	0.808856973327733
LAMB1	ITGAV	autocrine|paracrine	0.80714297372335
TGM2	TBXA2R	autocrine|paracrine	0.806312742404871
GNAI2	EGFR	autocrine|paracrine	0.806127432611653
COL4A1	ITGA1	autocrine|paracrine	0.804827196870257
VCAM1	ITGB1	autocrine|paracrine	0.803900371322526
LAMA4	ITGAV	autocrine|paracrine	0.803521070990066
HLA-B	CD3G	autocrine|paracrine	0.802199175989152
CYR61	ITGAV	autocrine|paracrine	0.800828547777236
BGN	LY96	autocrine|paracrine	0.800596970053657
FYN	THY1	autocrine|paracrine	0.800319137311478
SERPINE1	PLAUR	autocrine|paracrine	0.800077044346834
COL5A2	ITGB1	autocrine|paracrine	0.799888170844201
UBA52	ACVR1	autocrine|paracrine	0.799604258610611
ARF1	PLD2	autocrine|paracrine	0.799314902557432
VWF	ITGB3	autocrine|paracrine	0.799071362415841
HLA-A	CD3G	autocrine|paracrine	0.799011544983082
SEMA3D	NRP1	autocrine|paracrine	0.798352206710822
PDGFB	LRP1	autocrine|paracrine	0.798116499356818
VCAN	CD44	autocrine|paracrine	0.796826037916672
TNFSF10	TNFRSF11B	autocrine|paracrine	0.796704019475503
CCL5	SDC1	autocrine|paracrine	0.795941250457158
HSP90B1	ERBB2	autocrine|paracrine	0.794240760816166
COL4A2	ITGB3	autocrine|paracrine	0.793834953044296
HLA-C	CD3G	autocrine|paracrine	0.793710963956569
JAG1	NOTCH2	autocrine|paracrine	0.79329900077595
FN1	TNFRSF11B	autocrine|paracrine	0.792960153950483
CALM1	PTPRA	autocrine|paracrine	0.792909152518496
APP	TNFRSF21	autocrine|paracrine	0.792528947033545
FN1	IL17RC	autocrine|paracrine	0.792299407127757
JAM3	ITGB1	autocrine|paracrine	0.791834700893914
UBC	RIPK1	autocrine|paracrine	0.791485061312279
MDK	SDC4	autocrine|paracrine	0.791107548867603
PTGS2	CAV1	autocrine|paracrine	0.790964521987209
ADAM15	ITGAV	autocrine|paracrine	0.790696954188622
JAG1	CD46	autocrine|paracrine	0.790075279566542
THBS1	TNFRSF11B	autocrine|paracrine	0.789521665991306
PDGFD	PDGFRB	autocrine|paracrine	0.788862883666006
GNAI2	TBXA2R	autocrine|paracrine	0.78883662620632
PDGFD	PDGFRA	autocrine|paracrine	0.788193767566383
ICAM4	ITGB1	autocrine|paracrine	0.787604988822188
AGRN	ITGB1	autocrine|paracrine	0.786442351509959
VWF	GP1BA	autocrine|paracrine	0.786198994035596
PDGFB	PDGFRB	autocrine|paracrine	0.785861737456809
TNC	ITGA5	autocrine|paracrine	0.785837188626983
PDGFB	PDGFRA	autocrine|paracrine	0.785185700320125
CD14	ITGB1	autocrine|paracrine	0.784881952815144
RPS27A	RIPK1	autocrine|paracrine	0.784847794499005
HSP90AA1	ITGB3	autocrine|paracrine	0.783529440679413
FN1	ITGA8	autocrine|paracrine	0.783457770174532
HBEGF	CD9	autocrine|paracrine	0.783035838254082
TNC	NT5E	autocrine|paracrine	0.782849013505886
ANXA1	EGFR	autocrine|paracrine	0.782761239692566
GNAI2	IGF1R	autocrine|paracrine	0.780959699194616
UBB	RIPK1	autocrine|paracrine	0.78072154201901
HSP90AA1	ERBB2	autocrine|paracrine	0.780120651939178
PRND	RPSA	autocrine|paracrine	0.779716770861687
VCAM1	MSN	autocrine|paracrine	0.779694201159445
COL18A1	ITGB5	autocrine|paracrine	0.779403307170225
HLA-C	DDR1	autocrine|paracrine	0.779259270588843
LAMB1	ITGA1	autocrine|paracrine	0.779207837465548
NID1	ITGAV	autocrine|paracrine	0.778985594366207
B2M	HFE	autocrine|paracrine	0.778813843099398
PLAT	LRP1	autocrine|paracrine	0.778707720266602
FN1	ITGA4	autocrine|paracrine	0.778436307105997
LAMC2	ITGB1	autocrine|paracrine	0.778250864941487
PGF	NRP1	autocrine|paracrine	0.778132528500308
UBA52	TGFBR1	autocrine|paracrine	0.776481385706698
PSEN1	CD44	autocrine|paracrine	0.77631512012578
FN1	ITGB3	autocrine|paracrine	0.776081428820253
FN1	COL13A1	autocrine|paracrine	0.775591758238204
UBA52	SMAD3	autocrine|paracrine	0.775077410639765
THBS1	ITGA4	autocrine|paracrine	0.774825104972504
HSPG2	COL13A1	autocrine|paracrine	0.774182209757546
ARPC5	LDLR	autocrine|paracrine	0.774001991957424
ADAM17	ITGA5	autocrine|paracrine	0.773781548178779
TGM2	ITGA4	autocrine|paracrine	0.773534586201497
UBC	TLR4	autocrine|paracrine	0.773063646938781
GNAI2	S1PR3	autocrine|paracrine	0.773048291236034
THBS1	ITGB3	autocrine|paracrine	0.772443065102657
FBN1	ITGA5	autocrine|paracrine	0.772087204187752
TGM2	ITGB3	autocrine|paracrine	0.771142926733869
COL18A1	GPC1	autocrine|paracrine	0.770705859346928
HBEGF	CD82	autocrine|paracrine	0.770519353003936
MDK	SDC1	autocrine|paracrine	0.770114154614424
NTS	NGFR	autocrine|paracrine	0.768442500351518
ACTR2	LDLR	autocrine|paracrine	0.768143595269942
PDGFC	PDGFRB	autocrine|paracrine	0.767451448062436
RARRES2	GPR1	autocrine|paracrine	0.767102111316284
PDGFC	PDGFRA	autocrine|paracrine	0.766734541483923
PSAP	SORT1	autocrine|paracrine	0.766689057007917
APP	ADRA2A	autocrine|paracrine	0.766515498615322
RPS27A	TLR4	autocrine|paracrine	0.766013355458776
COL6A1	ITGB1	autocrine|paracrine	0.765347189788306
UBA52	ERBB2	autocrine|paracrine	0.76511672207212
EFNA1	EPHA10	autocrine|paracrine	0.763541834818111
CALM2	CACNA1C	autocrine|paracrine	0.763467767958764
AGRN	LRP1	autocrine|paracrine	0.762582025427223
UBB	TLR4	autocrine|paracrine	0.761635593586109
NUCB2	ERAP1	autocrine|paracrine	0.760509008801782
F8	LDLR	autocrine|paracrine	0.760501022259308
FGF5	FGFR1	autocrine|paracrine	0.760388536797664
SERPINE1	ITGB5	autocrine|paracrine	0.759556663619459
MFGE8	PDGFRB	autocrine|paracrine	0.759364254694141
CYR61	ITGB3	autocrine|paracrine	0.759056950452052
LGALS1	PTPRC	autocrine|paracrine	0.758337788692981
JAG2	NOTCH2	autocrine|paracrine	0.75804467211603
BMP2	ENG	autocrine|paracrine	0.757237990995619
NAMPT	INSR	autocrine|paracrine	0.757042007077535
HLA-G	KLRD1	autocrine|paracrine	0.756954589437872
DUSP18	CD151	autocrine|paracrine	0.756778512443991
DLL1	NOTCH2	autocrine|paracrine	0.755314901769748
SEMA4C	PLXNB2	autocrine|paracrine	0.753910435493581
CALM1	CACNA1C	autocrine|paracrine	0.753706559990203
UBC	FGFR2	autocrine|paracrine	0.753263822774516
THBS1	CD36	autocrine|paracrine	0.753074255331875
GPI	AMFR	autocrine|paracrine	0.752255358601531
LAMC1	ITGAV	autocrine|paracrine	0.752022009316015
LTB	TNFRSF1A	autocrine|paracrine	0.751888792626561
ICAM1	EGFR	autocrine|paracrine	0.751881755137887
IGFBP4	LRP6	autocrine|paracrine	0.750850543725696
LTB	LTBR	autocrine|paracrine	0.750076437691262
VEGFC	ITGB1	autocrine|paracrine	0.749130488019496
TNFSF10	TNFRSF10D	autocrine|paracrine	0.749118423089738
TLN1	ITGB5	autocrine|paracrine	0.748415268074556
COL4A1	ITGA2	autocrine|paracrine	0.748034548676243
CALM2	AQP6	autocrine|paracrine	0.747926193612015
FBLN1	ITGB1	autocrine|paracrine	0.747918058340473
ADAM15	ITGB3	autocrine|paracrine	0.747470535310087
EFNA1	EPHA3	autocrine|paracrine	0.74713548014254
RPS27A	FGFR2	autocrine|paracrine	0.745800671217745
PSAP	GPR37L1	autocrine|paracrine	0.745375212057002
TFPI	VLDLR	autocrine|paracrine	0.744737031056798
RTN4	NGFR	autocrine|paracrine	0.742858190567172
LRPAP1	LDLR	autocrine|paracrine	0.742668866607414
SERPINE1	ITGAV	autocrine|paracrine	0.74266483589631
HSP90B1	TLR4	autocrine|paracrine	0.741740383615826
UBB	FGFR2	autocrine|paracrine	0.741172519987793
DLL4	NOTCH2	autocrine|paracrine	0.740740300420199
TNC	SDC4	autocrine|paracrine	0.740201235182192
PSEN1	NCSTN	autocrine|paracrine	0.739986475378152
GNAS	ADCY7	autocrine|paracrine	0.739464940568681
CALR	SCARF1	autocrine|paracrine	0.738069812139701
CALM1	AQP6	autocrine|paracrine	0.737743930731109
CCL21	ADRA2A	autocrine|paracrine	0.7374929557512
UBC	ADRB2	autocrine|paracrine	0.734491387851699
NID1	ITGB3	autocrine|paracrine	0.734153688826864
VCL	ITGB5	autocrine|paracrine	0.73411797281658
SPTAN1	PTPRA	autocrine|paracrine	0.733757523621803
NID1	COL13A1	autocrine|paracrine	0.733603802493225
TNC	EGFR	autocrine|paracrine	0.733482884781776
UBA52	NOTCH1	autocrine|paracrine	0.732702975992223
LAMA5	SDC1	autocrine|paracrine	0.732687070103001
TNFSF14	LTBR	autocrine|paracrine	0.732475717055512
HMGB1	TLR4	autocrine|paracrine	0.732388156135778
LTF	LRP1	autocrine|paracrine	0.730951454716083
VEGFB	NRP1	autocrine|paracrine	0.730888631204664
UBA52	RIPK1	autocrine|paracrine	0.729779133559383
MDK	ITGA4	autocrine|paracrine	0.729483382134139
FN1	ITGA2	autocrine|paracrine	0.728664797037275
LAMB1	ITGA7	autocrine|paracrine	0.727880492837383
HSPG2	ITGA2	autocrine|paracrine	0.727064218672494
RPS27A	ADRB2	autocrine|paracrine	0.72666645918911
THBS1	SCARB1	autocrine|paracrine	0.726396789431631
ADAM9	ITGB5	autocrine|paracrine	0.726039015162821
CTHRC1	FZD6	autocrine|paracrine	0.725525186881928
EFEMP2	PLSCR4	autocrine|paracrine	0.724832881953027
PSEN1	NOTCH2	autocrine|paracrine	0.724168529746833
PTDSS1	JMJD6	autocrine|paracrine	0.723603106123178
CALM2	PDE1A	autocrine|paracrine	0.723484292226853
B2M	LILRB1	autocrine|paracrine	0.723127260807608
COL6A2	ITGA1	autocrine|paracrine	0.723116477986834
HBEGF	EGFR	autocrine|paracrine	0.722717864957082
SERPINE2	LRP1	autocrine|paracrine	0.722578620851538
UBB	ADRB2	autocrine|paracrine	0.721819876824934
CXCL12	SDC4	autocrine|paracrine	0.721748430109928
COL4A1	ITGB8	autocrine|paracrine	0.721518158273042
BMP7	ENG	autocrine|paracrine	0.720327081378424
LAMC1	ITGA1	autocrine|paracrine	0.718883448951616
PAPLN	SIRPA	autocrine|paracrine	0.718873667551762
TNC	ITGAV	autocrine|paracrine	0.718648170578717
EFNA5	EPHA10	autocrine|paracrine	0.718181700126784
LAMB1	ITGA2	autocrine|paracrine	0.717576312872232
NID1	PTPRF	autocrine|paracrine	0.717026072579773
PECAM1	CD38	autocrine|paracrine	0.716774267408832
COL18A1	ITGB3	autocrine|paracrine	0.716637447539736
NTS	SORT1	autocrine|paracrine	0.716574866752464
TNC	SDC1	autocrine|paracrine	0.715928887817665
VCAM1	EZR	autocrine|paracrine	0.713832230246195
COL9A3	ITGB1	autocrine|paracrine	0.71381593145835
TGFB2	ENG	autocrine|paracrine	0.713303565472842
CALM1	PDE1A	autocrine|paracrine	0.712693984251745
GNAI2	EDNRB	autocrine|paracrine	0.712681631074743
IL10	IL10RB	autocrine|paracrine	0.712618720489669
HSPA8	ADRB2	autocrine|paracrine	0.712072052854421
FN1	ITGA6	autocrine|paracrine	0.711051794422969
ICAM1	SPN	autocrine|paracrine	0.710006137334077
GSTP1	TRAF2	autocrine|paracrine	0.7099636076556
SEMA3A	PLXNA1	autocrine|paracrine	0.709395108685936
FN1	CD79A	autocrine|paracrine	0.708687829536606
HLA-B	LILRB1	autocrine|paracrine	0.708368986637007
UBA52	TLR4	autocrine|paracrine	0.707918014374983
ADAM9	ITGAV	autocrine|paracrine	0.707698644062957
RTN4	GJB2	autocrine|paracrine	0.70767782793516
LIN7C	ABCA1	autocrine|paracrine	0.707341109211871
THBS1	ITGA6	autocrine|paracrine	0.706756043893579
EFNA1	EPHA2	autocrine|paracrine	0.706246959450303
LAMA3	ITGB1	autocrine|paracrine	0.70590083881478
SEMA7A	ITGB1	autocrine|paracrine	0.704316866263948
LTBP3	ITGB5	autocrine|paracrine	0.70431676848478
HLA-A	LILRB1	autocrine|paracrine	0.704226766966929
GNAI2	ADCY7	autocrine|paracrine	0.703418782515715
FBN1	ITGAV	autocrine|paracrine	0.702219056442628
IL11	IL6ST	autocrine|paracrine	0.701581446453338
CCL5	ADRA2A	autocrine|paracrine	0.701475102189558
ADAM10	EPHA3	autocrine|paracrine	0.701187544651253
FN1	ITGB8	autocrine|paracrine	0.70092496576526
CALM2	GP6	autocrine|paracrine	0.700815406072948
HAS2	CD44	autocrine|paracrine	0.700260241210256
VCAN	EGFR	autocrine|paracrine	0.700018709488092
EFNA5	EPHA3	autocrine|paracrine	0.699865219874369
LAMB1	ITGA6	autocrine|paracrine	0.699540326678045
EFNA1	EPHA4	autocrine|paracrine	0.699389265318229
CALM3	ABCA1	autocrine|paracrine	0.699227782230806
TGFA	EGFR	autocrine|paracrine	0.697959222141419
HLA-C	LILRB1	autocrine|paracrine	0.697373239885696
PDGFB	ITGAV	autocrine|paracrine	0.69728831358013
GNAI2	ADRA2A	autocrine|paracrine	0.696406907454212
LAMC2	CD151	autocrine|paracrine	0.695404469527824
LAMA4	ITGA6	autocrine|paracrine	0.694662079187129
APOD	LEPR	autocrine|paracrine	0.693926747701164
ITGB3BP	ITGB5	autocrine|paracrine	0.693091856046922
ADM	RAMP2	autocrine|paracrine	0.692813519002081
IGF1	IGF1R	autocrine|paracrine	0.692811946389705
FABP5	RXRA	autocrine|paracrine	0.691364129935464
MDK	SDC3	autocrine|paracrine	0.691214424090335
CALM3	EGFR	autocrine|paracrine	0.69078499139001
RPS19	C5AR1	autocrine|paracrine	0.689805158898599
CALM1	GP6	autocrine|paracrine	0.68952012318472
CALM3	MYLK	autocrine|paracrine	0.689468573944386
BGN	TLR4	autocrine|paracrine	0.68834289941573
CALR	ITGA3	autocrine|paracrine	0.687713633040635
SEMA3F	NRP1	autocrine|paracrine	0.687433225509126
HHLA3	CHRM3	autocrine|paracrine	0.686709833894254
TGFB3	ITGB1	autocrine|paracrine	0.685422655017726
CTGF	LRP6	autocrine|paracrine	0.685137832129838
MRC1	PTPRC	autocrine|paracrine	0.684806962890907
UBA52	FGFR2	autocrine|paracrine	0.684752159305624
GNAS	ADCY9	autocrine|paracrine	0.684564059140478
MFAP2	NOTCH1	autocrine|paracrine	0.6831837600037
SEMA4D	PLXNB2	autocrine|paracrine	0.683019079521038
MFNG	NOTCH1	autocrine|paracrine	0.683004747411831
HSP90B1	TLR7	autocrine|paracrine	0.681246273543506
ADM	RAMP3	autocrine|paracrine	0.681075514562039
IGF1	INSR	autocrine|paracrine	0.680728741850305
TLN1	ITGB3	autocrine|paracrine	0.680447374644028
GAS6	TYRO3	autocrine|paracrine	0.679164597581444
COL4A5	ITGB1	autocrine|paracrine	0.677530900335069
TNC	ITGA8	autocrine|paracrine	0.676286493448387
CALM1	KCNN4	autocrine|paracrine	0.675549400778258
CD36	TLR4	autocrine|paracrine	0.67444786558992
ADAM10	NOTCH1	autocrine|paracrine	0.674338397800504
LGALS9	HAVCR2	autocrine|paracrine	0.673802852614035
CALM2	SELL	autocrine|paracrine	0.673304759537215
MADCAM1	CD44	autocrine|paracrine	0.672655612232592
DUSP18	ITGA1	autocrine|paracrine	0.672105935364738
HRAS	CAV1	autocrine|paracrine	0.670929600603701
NCAM1	FGFR1	autocrine|paracrine	0.670461878606484
SEMA3A	NRP2	autocrine|paracrine	0.670449548093664
MLLT4	PVRL2	autocrine|paracrine	0.670127509474945
IL15	IL15RA	autocrine|paracrine	0.669400886068862
IAPP	RAMP2	autocrine|paracrine	0.669252579231221
TGFB1	ITGB1	autocrine|paracrine	0.668790360191412
MMP1	CD44	autocrine|paracrine	0.666941265862365
TNC	ITGB3	autocrine|paracrine	0.66681201424403
ANXA1	ADRA2A	autocrine|paracrine	0.665307193849475
MFGE8	ITGAV	autocrine|paracrine	0.664509690959254
CALM2	PDE1B	autocrine|paracrine	0.664248468145331
UBA52	ADRB2	autocrine|paracrine	0.663098503166604
CALM1	SELL	autocrine|paracrine	0.66147255743236
RTN4	TNFRSF19	autocrine|paracrine	0.660874990140699
GNAI2	S1PR1	autocrine|paracrine	0.660549178721389
LAMC1	ITGA7	autocrine|paracrine	0.65965775579448
IAPP	RAMP3	autocrine|paracrine	0.657059922480113
LTB	CD40	autocrine|paracrine	0.655256392685996
EFNA5	EPHA2	autocrine|paracrine	0.654863993612784
HEBP1	ADRA2A	autocrine|paracrine	0.654858454637637
TGFB3	ENG	autocrine|paracrine	0.654403703421508
MDK	ITGA6	autocrine|paracrine	0.653831451310574
ICAM4	ITGAV	autocrine|paracrine	0.653323089375526
COL6A2	ITGA2	autocrine|paracrine	0.652804193315371
SEMA4A	PLXNB2	autocrine|paracrine	0.652694653061417
CTHRC1	FZD3	autocrine|paracrine	0.652476036288245
CALM1	PDE1B	autocrine|paracrine	0.652257668753364
HSP90B1	TLR1	autocrine|paracrine	0.652123423803183
HBEGF	ERBB2	autocrine|paracrine	0.650089908985029
FBN1	ITGB3	autocrine|paracrine	0.648835087328967
FN1	ITGA3	autocrine|paracrine	0.648740185825459
LAMC1	ITGA2	autocrine|paracrine	0.64801945524915
IGF1	IGF2R	autocrine|paracrine	0.647717787273457
EFNA5	EPHA4	autocrine|paracrine	0.647405630561772
EFNB2	EPHA3	autocrine|paracrine	0.646293117658115
EFNA1	EPHB1	autocrine|paracrine	0.64562045092968
GNAI2	S1PR5	autocrine|paracrine	0.645080461175179
GNAI2	ADCY9	autocrine|paracrine	0.644573066965207
CALM3	INSR	autocrine|paracrine	0.644246456105575
JAG1	NOTCH1	autocrine|paracrine	0.644217649653932
TNFSF10	TNFRSF10A	autocrine|paracrine	0.644187567896968
THBS1	ITGA3	autocrine|paracrine	0.643981887800975
COL5A1	ITGB1	autocrine|paracrine	0.643803710115399
CD36	TLR6	autocrine|paracrine	0.643346657579814
ADAM23	ITGA5	autocrine|paracrine	0.641460813206213
LAMB2	ITGA3	autocrine|paracrine	0.640957302020852
CCL21	CCR7	autocrine|paracrine	0.63966826399031
EFNB2	RHBDL2	autocrine|paracrine	0.638753727130528
TNFSF14	TNFRSF14	autocrine|paracrine	0.638463354483384
SPP1	ITGB1	autocrine|paracrine	0.638293591723688
LRPAP1	SORT1	autocrine|paracrine	0.637876201244658
GNAI2	UNC5B	autocrine|paracrine	0.637610965614503
TGFB1	ENG	autocrine|paracrine	0.636999938919445
LAMB1	ITGA3	autocrine|paracrine	0.636017021118683
BMP2	BMPR2	autocrine|paracrine	0.633527245315262
HRAS	SDC2	autocrine|paracrine	0.633422704476273
FN1	C5AR1	autocrine|paracrine	0.633346598485954
LTBP1	ITGB5	autocrine|paracrine	0.632956515971306
ICAM2	ITGAL	autocrine|paracrine	0.63270867187071
VCAN	ITGA4	autocrine|paracrine	0.632376251406777
BMP2	ACVR1	autocrine|paracrine	0.631815261824932
COL5A2	ITGA1	autocrine|paracrine	0.631400462386483
FYN	SPN	autocrine|paracrine	0.630978276557196
LAMA4	ITGA3	autocrine|paracrine	0.630651957571599
NPNT	ITGB1	autocrine|paracrine	0.630589955232037
HLA-F	LILRB1	autocrine|paracrine	0.630557400245094
TNFSF14	TNFRSF6B	autocrine|paracrine	0.630235546525634
CD34	SELL	autocrine|paracrine	0.628724525886868
LAMC1	ITGA6	autocrine|paracrine	0.627845211420563
LAMA3	SDC2	autocrine|paracrine	0.627807296314177
LAMA5	ITGA2	autocrine|paracrine	0.627761989996473
CXCL2	ADRA2A	autocrine|paracrine	0.627557313702758
TNFSF12	TNFRSF12A	autocrine|paracrine	0.626296543604269
TGFB1	CAV1	autocrine|paracrine	0.626082459843937
LTF	TFRC	autocrine|paracrine	0.625296458078728
