NK	B_cell	interaction.type	LRscore
NCAM1	PTPRA	autocrine|paracrine	0.648282193133578
B2M	CD3D	autocrine|paracrine	0.646613756218827
CALM1	INSR	autocrine|paracrine	0.63792439503076
VCAM1	EZR	autocrine|paracrine	0.637680108458767
SPON2	ITGAM	autocrine|paracrine	0.632122002901876
CD48	CD244	autocrine|paracrine	0.631810079971841
CALM1	FAS	autocrine|paracrine	0.630086301032831
FGF5	FGFR2	autocrine|paracrine	0.627763338790094
HLA-B	CD3D	autocrine|paracrine	0.627246079030186
ICAM4	ITGB2	autocrine|paracrine	0.624139997688316
ICAM4	ITGA4	autocrine|paracrine	0.621713339958925
HLA-G	LILRB2	autocrine|paracrine	0.620178070837217
HLA-C	CD3D	autocrine|paracrine	0.619816690971821
TIMP1	CD63	autocrine|paracrine	0.618044459581474
ICAM1	ITGAX	autocrine|paracrine	0.615588345271149
IAPP	ADRB2	autocrine|paracrine	0.615447337821057
PECAM1	CD38	autocrine|paracrine	0.615371844210235
HLA-A	CD3D	autocrine|paracrine	0.614083455126522
ARF1	INSR	autocrine|paracrine	0.613624946822347
IL8	CD79A	autocrine|paracrine	0.611372797739734
CALM2	INSR	autocrine|paracrine	0.611152608926529
ADIPOQ	ADIPOR1	autocrine|paracrine	0.609875144653345
AREG	ERBB3	autocrine|paracrine	0.609846439755386
BTLA	CD79A	autocrine|paracrine	0.608671127537224
CCL5	CCR1	autocrine|paracrine	0.607942581032075
GZMB	PGRMC1	autocrine|paracrine	0.6078850152342
SPP1	ITGA4	autocrine|paracrine	0.607133261137374
B2M	CD247	autocrine|paracrine	0.606332307961495
CCL16	HRH4	autocrine|paracrine	0.605512692877638
CALM1	OPRM1	autocrine|paracrine	0.602335943926437
GNAI2	S1PR4	autocrine|paracrine	0.601110035691626
CALM3	GP6	autocrine|paracrine	0.600292087096216
HLA-A	ERBB2	autocrine|paracrine	0.596666728106626
CCL4	CCR1	autocrine|paracrine	0.595223823545954
MDK	ITGA4	autocrine|paracrine	0.592811332973977
DUSP18	ITGB1	autocrine|paracrine	0.592104626671027
FBLN1	ITGB1	autocrine|paracrine	0.59044974570247
CALM3	ABCA1	autocrine|paracrine	0.589689616377616
PIGF	FLT1	autocrine|paracrine	0.589008946924082
CD99	PILRA	autocrine|paracrine	0.586496445243302
B2M	HFE	autocrine|paracrine	0.583474933426786
RPS27A	ERBB2	autocrine|paracrine	0.582301752699988
ICAM4	ITGAL	autocrine|paracrine	0.582015347805158
SPP1	S1PR1	autocrine|paracrine	0.580545874792437
GNAI2	CXCR3	autocrine|paracrine	0.578875836823656
VCAM1	MSN	autocrine|paracrine	0.578217384755844
ICAM4	ITGB1	autocrine|paracrine	0.575799223419912
MFNG	NOTCH1	autocrine|paracrine	0.571873001116004
IL16	KCNA3	autocrine|paracrine	0.571316041253734
SEMA4D	PLXNB2	autocrine|paracrine	0.569650474286217
TNF	TNFRSF1B	autocrine|paracrine	0.56758152798756
UBB	ERBB2	autocrine|paracrine	0.567434858289258
HBEGF	CD82	autocrine|paracrine	0.563361616012832
LTA	TNFRSF1B	autocrine|paracrine	0.563159423331789
ICAM2	ITGAM	autocrine|paracrine	0.562322545730163
CCL21	CCR7	autocrine|paracrine	0.562152079862922
LGALS3BP	ITGB1	autocrine|paracrine	0.561715224246086
APOD	LEPR	autocrine|paracrine	0.56121253933088
SPP1	ITGB1	autocrine|paracrine	0.560699924724244
VCAN	SELL	autocrine|paracrine	0.559988598814136
HHLA3	CHRM3	autocrine|paracrine	0.557494770292148
UBC	ERBB2	autocrine|paracrine	0.556274475596846
ICAM1	IL2RA	autocrine|paracrine	0.554862619872541
CEACAM5	CD1D	autocrine|paracrine	0.553291591504159
GNAI2	S1PR3	autocrine|paracrine	0.552961442553948
ADAM10	NOTCH1	autocrine|paracrine	0.552536913644626
GNAI2	IGF1R	autocrine|paracrine	0.551577283792498
THBS1	CD47	autocrine|paracrine	0.548401177989062
MDK	ITGB1	autocrine|paracrine	0.545951187953205
TGFB1	ITGB1	autocrine|paracrine	0.543397817608947
HBEGF	CD44	autocrine|paracrine	0.540378669718323
RPS27A	TLR4	autocrine|paracrine	0.539162061005067
SPTAN1	PTPRA	autocrine|paracrine	0.537517183829245
CCL5	CCR5	autocrine|paracrine	0.535472964008821
B2M	KLRC1	autocrine|paracrine	0.535094493693513
CCL3	CCR1	autocrine|paracrine	0.532622692490347
GNAI2	CXCR2	autocrine|paracrine	0.531598128204608
FN1	CD79A	autocrine|paracrine	0.526942945186078
UBB	TLR4	autocrine|paracrine	0.524014825004399
CCL4	CCR5	autocrine|paracrine	0.522250732469921
B2M	KIR2DL3	autocrine|paracrine	0.521328413985874
TNF	TRADD	autocrine|paracrine	0.521000075069714
CALM1	PDE1B	autocrine|paracrine	0.520906903986565
VCAM1	ITGB2	autocrine|paracrine	0.519958741466932
ICAM1	ITGAM	autocrine|paracrine	0.518401052380856
PVR	CD96	autocrine|paracrine	0.517952326388231
PVR	CD96	autocrine|paracrine	0.517952326388231
VCAM1	ITGA4	autocrine|paracrine	0.517379570871043
TGFB1	TGFBR2	autocrine|paracrine	0.516614331097165
HLA-C	KIR2DS4	autocrine|paracrine	0.514983975319096
SEMA4D	MET	autocrine|paracrine	0.514928598183841
ADAM17	NOTCH1	autocrine|paracrine	0.514794099256423
GNAI2	C5AR1	autocrine|paracrine	0.514093889130934
UBA52	ERBB2	autocrine|paracrine	0.512857730670073
UBC	TLR4	autocrine|paracrine	0.512696243643602
FASLG	FAS	autocrine|paracrine	0.51141129926787
POMC	ADRB2	autocrine|paracrine	0.510927233137149
FGB	ITGB2	autocrine|paracrine	0.509287107112088
LAMC2	ITGB1	autocrine|paracrine	0.508931712968712
PSEN1	NOTCH1	autocrine|paracrine	0.507868532850744
BMP8A	BMPR2	autocrine|paracrine	0.506147616511102
NCAM1	FGFR1	autocrine|paracrine	0.503415952375847
VCAN	CD44	autocrine|paracrine	0.503303056447341
ADAM9	ITGB1	autocrine|paracrine	0.502002221040699
PRSS23	TMEM222	autocrine|paracrine	0.501879512233227
B2M	KIR3DL1	autocrine|paracrine	0.501671584592141
HLA-B	KIR2DL3	autocrine|paracrine	0.500399603365023
