CAF	B_cell	interaction.type	LRscore
FGF5	FGFR2	autocrine|paracrine	0.661342191230621
CFH	ITGAM	autocrine|paracrine	0.661037073740856
MFAP2	NOTCH1	autocrine|paracrine	0.660837810941226
THBS1	CD36	autocrine|paracrine	0.660646956975507
COMP	ITGB1	autocrine|paracrine	0.657726123487033
ARF1	PLD2	autocrine|paracrine	0.657316627560055
SEMA7A	ITGB1	autocrine|paracrine	0.655893166966056
IRAK4	TLR7	autocrine|paracrine	0.654411249488999
PVR	CD96	autocrine|paracrine	0.652985328130469
PVR	CD96	autocrine|paracrine	0.652985328130469
GNAI2	ADCY7	autocrine|paracrine	0.652727668271799
BTLA	CD79A	autocrine|paracrine	0.651885445400846
CALM3	ABCA1	autocrine|paracrine	0.651547119871166
HBEGF	CD44	autocrine|paracrine	0.649913998359237
ICAM1	ITGAX	autocrine|paracrine	0.649868640541288
THBS2	CD36	autocrine|paracrine	0.648833766776433
GNAI2	F2R	autocrine|paracrine	0.648420665012388
CD22	PTPRC	autocrine|paracrine	0.6451400251855
UBA52	RIPK1	autocrine|paracrine	0.642775535845299
SELPLG	SELL	autocrine|paracrine	0.641997102192906
CD99	PILRA	autocrine|paracrine	0.641134869615043
CCL5	CXCR3	autocrine|paracrine	0.639098630187682
C4B	CD46	autocrine|paracrine	0.636877011400389
IRAK4	TLR6	autocrine|paracrine	0.636499408801513
THBS1	SCARB1	autocrine|paracrine	0.635496605866772
IL10	IL10RB	autocrine|paracrine	0.635411344527762
SPTAN1	PTPRA	autocrine|paracrine	0.634796056651529
FN1	FLT4	autocrine|paracrine	0.633990779230444
INHBA	SMAD3	autocrine|paracrine	0.630793164345684
LAMC2	ITGB1	autocrine|paracrine	0.630709687630387
VEGFC	ITGB1	autocrine|paracrine	0.630397215206108
ICAM3	ITGAL	autocrine|paracrine	0.630362794575438
CALM2	INSR	autocrine|paracrine	0.629187108607702
CCL19	CXCR3	autocrine|paracrine	0.628072494151913
ICAM2	ITGAL	autocrine|paracrine	0.6256537065612
B2M	CD3D	autocrine|paracrine	0.62436044104946
COL5A2	DDR1	autocrine|paracrine	0.623679673923859
C4B	CR1	autocrine|paracrine	0.62086626418529
SPON2	ITGAM	autocrine|paracrine	0.620448439070137
CD14	ITGB2	autocrine|paracrine	0.619426247514865
F10	F3	autocrine|paracrine	0.618330562080774
FN1	ITGB8	autocrine|paracrine	0.61818514761904
CD14	ITGA4	autocrine|paracrine	0.616987832304161
ARF1	INSR	autocrine|paracrine	0.616496627122384
COL4A5	CD47	autocrine|paracrine	0.616481146817332
ANGPT1	ITGB1	autocrine|paracrine	0.613020643210408
DUSP18	ITGB1	autocrine|paracrine	0.608677736195588
ICAM4	ITGB2	autocrine|paracrine	0.605089528341707
ICAM4	ITGA4	autocrine|paracrine	0.602618184862946
LAMB1	ITGA2	autocrine|paracrine	0.602611322990695
CYR61	CAV1	autocrine|paracrine	0.602496641037059
APP	SLC45A3	autocrine|paracrine	0.601735649282257
HLA-C	NOTCH4	autocrine|paracrine	0.601100263802847
PTGS2	ALOX5	autocrine|paracrine	0.601093793808242
CALM2	KCNQ5	autocrine|paracrine	0.600024455788476
IL6	F3	autocrine|paracrine	0.599701615199214
CALM1	INSR	autocrine|paracrine	0.59907049313292
CTHRC1	FZD6	autocrine|paracrine	0.597690881628861
HLA-F	LILRB2	autocrine|paracrine	0.596301089037724
TNC	ITGA2	autocrine|paracrine	0.596059520896489
FN1	PLAUR	autocrine|paracrine	0.594913073723905
PGF	FLT1	autocrine|paracrine	0.593839846892993
TNFSF13B	TNFRSF13C	autocrine|paracrine	0.593186362275572
LTB	CD40	autocrine|paracrine	0.592999700867515
FN1	ITGA6	autocrine|paracrine	0.592388346522146
LAMA3	ITGB1	autocrine|paracrine	0.592346967062101
TNC	PTPRB	autocrine|paracrine	0.591719896559773
LAMC1	ITGA2	autocrine|paracrine	0.591365156975689
ICAM1	IL2RA	autocrine|paracrine	0.590959902245811
CALM1	FAS	autocrine|paracrine	0.590930656183704
COL1A1	ITGA5	autocrine|paracrine	0.589617074432422
PLAT	ITGAM	autocrine|paracrine	0.587425930061108
IGF1	IGF1R	autocrine|paracrine	0.584496838400892
CD70	CD27	autocrine|paracrine	0.583742243202364
DLL1	NOTCH2	autocrine|paracrine	0.583545101657193
RGMB	BMPR2	autocrine|paracrine	0.58277403481775
CD52	SIGLEC10	autocrine|paracrine	0.582674691453306
IGF2	IGF1R	autocrine|paracrine	0.582181443002136
HSPG2	ITGA2	autocrine|paracrine	0.582127126568252
PLAU	ITGAM	autocrine|paracrine	0.580697083964723
HLA-B	CD3D	autocrine|paracrine	0.579891982431077
CCL20	CCR6	autocrine|paracrine	0.579324316598492
PODXL2	SELL	autocrine|paracrine	0.578388792386312
VEGFA	ITGB1	autocrine|paracrine	0.577942743526139
OLAH	MOG	autocrine|paracrine	0.577821001852059
COL6A1	ITGA6	autocrine|paracrine	0.577598272392229
UBC	ERBB2	autocrine|paracrine	0.576488649613072
HLA-C	CD3D	autocrine|paracrine	0.57485119633755
COL8A1	ITGA2	autocrine|paracrine	0.574798991173353
VTN	ITGB1	autocrine|paracrine	0.573966380327498
SPP1	CD44	autocrine|paracrine	0.573831837966146
HLA-A	CD3D	autocrine|paracrine	0.57342403943254
NGF	MAGED1	autocrine|paracrine	0.57307763625332
UBB	ERBB2	autocrine|paracrine	0.572807522661938
FST	BMPR2	autocrine|paracrine	0.572073318975253
ADAM17	NOTCH1	autocrine|paracrine	0.57152840969748
EFNA4	EPHA10	autocrine|paracrine	0.571189945753571
CD36	TLR6	autocrine|paracrine	0.570953582226357
CD14	ITGB1	autocrine|paracrine	0.570896026621769
RPS27A	ERBB2	autocrine|paracrine	0.570727054166772
CALM1	KCNQ5	autocrine|paracrine	0.569161173249961
ZG16B	CXCR4	autocrine|paracrine	0.569090408355805
CALM2	MYLK	autocrine|paracrine	0.568697588128041
THBS1	SDC1	autocrine|paracrine	0.566595535114834
LIN7C	ABCA1	autocrine|paracrine	0.565223282712546
ADAM10	NOTCH1	autocrine|paracrine	0.56485434682563
THBS1	ITGA6	autocrine|paracrine	0.564570142665772
MAPK1	FGFR2	autocrine|paracrine	0.563731300296961
ICAM4	ITGAL	autocrine|paracrine	0.562327003074988
CALM1	OPRM1	autocrine|paracrine	0.562283491269458
COL11A1	ITGB1	autocrine|paracrine	0.561606214566917
B2M	HFE	autocrine|paracrine	0.559951471697772
CXCL12	CD4	autocrine|paracrine	0.559441971149982
BGN	TLR2	autocrine|paracrine	0.556751600319233
VEGFC	FLT1	autocrine|paracrine	0.556262309419357
ICAM4	ITGB1	autocrine|paracrine	0.556041425555764
HLA-A	ERBB2	autocrine|paracrine	0.555500564685746
THBS2	NOTCH4	autocrine|paracrine	0.555438758245925
GNAI2	CXCR3	autocrine|paracrine	0.555141220183033
ICAM1	ITGAM	autocrine|paracrine	0.555084220675597
COL4A4	ITGB1	autocrine|paracrine	0.554970976429125
GNAS	ADCY1	autocrine|paracrine	0.55453882434159
F8	LDLR	autocrine|paracrine	0.552090514559114
ADAM28	ITGA4	autocrine|paracrine	0.551840086140085
HMGB1	SDC1	autocrine|paracrine	0.551800157809231
THBS2	ITGA6	autocrine|paracrine	0.551682037999473
CCL16	HRH4	autocrine|paracrine	0.550950284146947
COL1A2	ITGAV	autocrine|paracrine	0.550607155972988
CALM2	SCN4A	autocrine|paracrine	0.550491163607078
HSP90B1	TLR2	autocrine|paracrine	0.549705989213231
JAG1	NOTCH1	autocrine|paracrine	0.549459040286228
COL4A1	ITGA2	autocrine|paracrine	0.548638184737599
FN1	ITGA5	autocrine|paracrine	0.548304934367118
MMP1	ITGA2	autocrine|paracrine	0.547554609497183
APP	CAV1	autocrine|paracrine	0.547306277273371
COL1A1	ITGAV	autocrine|paracrine	0.547200241977137
LAMA5	ITGB1	autocrine|paracrine	0.545783717580204
TGFB3	TGFBR1	autocrine|paracrine	0.543972528600557
PDGFC	FLT1	autocrine|paracrine	0.543410304136407
HSP90B1	ERBB2	autocrine|paracrine	0.543232631983346
CYR61	ITGA5	autocrine|paracrine	0.543218303788384
GPC3	IGF1R	autocrine|paracrine	0.542320815797477
AGRN	ITGB1	autocrine|paracrine	0.542111315761572
TGFB1	ITGB1	autocrine|paracrine	0.541242693706437
CALM2	KCNQ1	autocrine|paracrine	0.540044339990531
HSP90AA1	ERBB2	autocrine|paracrine	0.537682383206529
CALM1	MYLK	autocrine|paracrine	0.537281152967561
PSEN1	NOTCH1	autocrine|paracrine	0.535652425861104
PTHLH	ADRB2	autocrine|paracrine	0.535411995943337
FGF7	FGFR1	autocrine|paracrine	0.533262251520784
UBC	TLR4	autocrine|paracrine	0.533229840554205
LGALS9	HAVCR2	autocrine|paracrine	0.531710974736541
CTGF	ITGA5	autocrine|paracrine	0.530227399178265
UBB	TLR4	autocrine|paracrine	0.529479598128883
GNAI2	S1PR3	autocrine|paracrine	0.528954762764214
GNAI2	IGF1R	autocrine|paracrine	0.527559779984076
RPS27A	TLR4	autocrine|paracrine	0.527362229043062
FN1	ITGA3	autocrine|paracrine	0.526679100398463
CALR	ITGA3	autocrine|paracrine	0.525501382327609
SELPLG	ITGB2	autocrine|paracrine	0.524255344962857
COL7A1	ITGB1	autocrine|paracrine	0.524219059583565
PTN	PLXNB2	autocrine|paracrine	0.523701109608337
PTDSS1	SCARB1	autocrine|paracrine	0.520784861246515
WNT5A	LDLR	autocrine|paracrine	0.520434078049217
GNAI2	CNR1	autocrine|paracrine	0.520228614457776
CALM3	INSR	autocrine|paracrine	0.519633618844909
VCAN	TLR2	autocrine|paracrine	0.518880846606917
CALM1	SCN4A	autocrine|paracrine	0.518870524427866
EFNA5	EPHB6	autocrine|paracrine	0.518354618483873
LAMB3	ITGB1	autocrine|paracrine	0.515862062069996
CD14	TLR6	autocrine|paracrine	0.515049546049522
BST2	LILRA4	autocrine|paracrine	0.514712333551219
TGFB1	TGFBR2	autocrine|paracrine	0.51444575049511
IAPP	ADRB2	autocrine|paracrine	0.513621853102455
MICA	KLRK1	autocrine|paracrine	0.513489329619377
BMP4	BMPR2	autocrine|paracrine	0.512963733074774
SERPINE1	PLAUR	autocrine|paracrine	0.512587849829551
TGFB2	TGFBR2	autocrine|paracrine	0.51161724308418
CALM2	PDE1B	autocrine|paracrine	0.511508156792866
IGF1	IGF2R	autocrine|paracrine	0.510739427522433
FGF1	FGFR2	autocrine|paracrine	0.510572919663539
WNT2	FZD3	autocrine|paracrine	0.509479480191845
NGF	KIDINS220	autocrine|paracrine	0.508915125302616
TNFSF13	TNFRSF14	autocrine|paracrine	0.508558826095065
IGF2	IGF2R	autocrine|paracrine	0.50835873676461
CALM1	KCNQ1	autocrine|paracrine	0.508345157026113
COL4A3	CD47	autocrine|paracrine	0.508243925010894
GNAI2	CXCR2	autocrine|paracrine	0.507466077824289
NAMPT	INSR	autocrine|paracrine	0.507231259070482
SPP1	ITGA4	autocrine|paracrine	0.507031915662605
BGN	TLR4	autocrine|paracrine	0.506652025998548
UBA52	ERBB2	autocrine|paracrine	0.505280675524436
FN1	ITGAV	autocrine|paracrine	0.505201429356486
TP53	TNFRSF10D	autocrine|paracrine	0.504856861646775
SFRP1	FZD2	autocrine|paracrine	0.504751636810777
CALR	ITGAV	autocrine|paracrine	0.504020596265605
PDCD1LG2	PDCD2	autocrine|paracrine	0.503774514058812
HSPG2	PTPRS	autocrine|paracrine	0.503621753824975
LAMA1	ITGB1	autocrine|paracrine	0.503550951147175
COL4A5	ITGB1	autocrine|paracrine	0.503271903235146
BTLA	TNFRSF14	autocrine|paracrine	0.502423686809604
F10	ITGAM	autocrine|paracrine	0.502325481023985
PLAU	IGF2R	autocrine|paracrine	0.501699339139775
VEGFA	FLT1	autocrine|paracrine	0.501604728346591
CYR61	ITGAV	autocrine|paracrine	0.500071972199352
