malignant_cell	Macro	interaction.type	LRscore
HLA-C	NOTCH4	autocrine|paracrine	0.676912125864439
LAMA4	ITGAV	autocrine|paracrine	0.676111436504446
SEMA4C	PLXNB2	autocrine|paracrine	0.674272396171387
TNFSF14	TNFRSF14	autocrine|paracrine	0.673238896396904
ADAM10	NOTCH1	autocrine|paracrine	0.672859044093197
TF	LDLR	autocrine|paracrine	0.671695587598036
VEGFB	NRP1	autocrine|paracrine	0.671232390056301
COL18A1	ITGB1	autocrine|paracrine	0.670336378319631
GNAI2	TBXA2R	autocrine|paracrine	0.669124892440661
COL5A2	ITGB1	autocrine|paracrine	0.668801066113305
FN1	ITGB7	autocrine|paracrine	0.668582147068406
PTGS2	ALOX5	autocrine|paracrine	0.666700679101083
UBA52	ACVR1	autocrine|paracrine	0.666486800878793
SEMA6D	TREM2	autocrine|paracrine	0.66108517805393
THBS2	ITGB1	autocrine|paracrine	0.660526690922532
TNC	SDC4	autocrine|paracrine	0.660205667983307
SAA1	SCARB1	autocrine|paracrine	0.659977682874741
IAPP	GPR84	autocrine|paracrine	0.658549527266437
HP	ITGB2	autocrine|paracrine	0.657148518034412
FARP2	PLXNA1	autocrine|paracrine	0.657101458100155
UBA52	RIPK1	autocrine|paracrine	0.656259566644784
LAMA1	ITGB1	autocrine|paracrine	0.656050203949315
CALM2	PDE1B	autocrine|paracrine	0.654378076039512
JAG1	CD46	autocrine|paracrine	0.651700439994389
FYN	SPN	autocrine|paracrine	0.651052597059981
TNFSF14	LTBR	autocrine|paracrine	0.650511757997448
CYR61	ITGA5	autocrine|paracrine	0.6499724269931
PODXL2	SELL	autocrine|paracrine	0.649502868057341
BMP7	ENG	autocrine|paracrine	0.649206700922025
EFNA1	EPHA10	autocrine|paracrine	0.648749610120164
PAPLN	SIRPA	autocrine|paracrine	0.644459890391323
EFNA5	EPHA10	autocrine|paracrine	0.644137240868754
SYK	FCGR2A	autocrine|paracrine	0.644054288765113
FN1	IL17RC	autocrine|paracrine	0.642531085357187
THBS2	CD47	autocrine|paracrine	0.64229655154079
ADAM9	ITGAV	autocrine|paracrine	0.64219428729491
VEGFA	ITGB1	autocrine|paracrine	0.642173135376428
THBS2	CD36	autocrine|paracrine	0.641515285435456
ADAM17	NOTCH1	autocrine|paracrine	0.640858954384262
SPTAN1	PTPRA	autocrine|paracrine	0.640328072804979
VCAN	CD44	autocrine|paracrine	0.639995118479288
IRAK4	TLR6	autocrine|paracrine	0.63987737555499
HHLA3	CHRM3	autocrine|paracrine	0.638223338362013
LAMB1	ITGAV	autocrine|paracrine	0.637381636112222
TGM2	TBXA2R	autocrine|paracrine	0.63672255334082
CTHRC1	FZD3	autocrine|paracrine	0.636557684622527
CDH1	ITGB7	autocrine|paracrine	0.636182252052185
TNC	ITGAV	autocrine|paracrine	0.6339345961304
ADM	ADRB2	autocrine|paracrine	0.632045996515811
COL3A1	ITGB1	autocrine|paracrine	0.630137865495115
CD52	SIGLEC10	autocrine|paracrine	0.629983001811254
ICAM3	ITGAL	autocrine|paracrine	0.6298386410365
NID1	ITGAV	autocrine|paracrine	0.628508647276338
HLA-C	DDR1	autocrine|paracrine	0.628008094285616
BST2	LILRA4	autocrine|paracrine	0.627905297305658
CAMP	P2RX7	autocrine|paracrine	0.627729551653622
VEGFA	SIRPA	autocrine|paracrine	0.627212819722409
F8	LRP1	autocrine|paracrine	0.627049547594608
VCAM1	ITGB2	autocrine|paracrine	0.626320316391844
CD14	ITGB2	autocrine|paracrine	0.626001051329477
MFAP2	NOTCH1	autocrine|paracrine	0.625685366938632
CALM2	KCNQ1	autocrine|paracrine	0.625338630174138
IL16	CCR5	autocrine|paracrine	0.62359534433712
UBA52	SMAD3	autocrine|paracrine	0.62342894909034
FGF1	NRP1	autocrine|paracrine	0.62101278686356
CALM3	INSR	autocrine|paracrine	0.620473572471914
THBS1	ITGB1	autocrine|paracrine	0.619959147657331
NOV	NOTCH1	autocrine|paracrine	0.619762390062636
ICAM4	ITGB1	autocrine|paracrine	0.61888656238004
NOV	PLXNA1	autocrine|paracrine	0.618124939036078
B2M	CD1A	autocrine|paracrine	0.617982888721313
VCAN	TLR2	autocrine|paracrine	0.617958358502025
C4B	CD46	autocrine|paracrine	0.617796821893436
LGALS9	HAVCR2	autocrine|paracrine	0.617712142351355
AZGP1	ITGAV	autocrine|paracrine	0.61716674453299
CALM3	AQP6	autocrine|paracrine	0.616735154563626
THBS2	ITGA4	autocrine|paracrine	0.6154813849213
CP	SLC40A1	autocrine|paracrine	0.615426717460172
LAMA5	ITGB1	autocrine|paracrine	0.614586133948397
VEGFA	NRP1	autocrine|paracrine	0.614001972619772
CDH1	KLRG1	autocrine|paracrine	0.613553569653336
TF	ADRB2	autocrine|paracrine	0.612476122352386
PGF	NRP1	autocrine|paracrine	0.610564339375682
SELPLG	ITGB2	autocrine|paracrine	0.605641386704771
CALM1	PDE1B	autocrine|paracrine	0.605384615103657
CCL16	CCR5	autocrine|paracrine	0.605054372145
TGM2	SDC4	autocrine|paracrine	0.603907538147937
LAMC1	ITGAV	autocrine|paracrine	0.602150393529201
THBS1	LRP1	autocrine|paracrine	0.601299380902923
P4HB	GPR162	autocrine|paracrine	0.600993711415878
THBS1	CD47	autocrine|paracrine	0.600866888498959
LAMB3	ITGB1	autocrine|paracrine	0.600092196943208
THBS1	CD36	autocrine|paracrine	0.600051480220211
PSEN1	NOTCH1	autocrine|paracrine	0.599586441766616
CCL16	CCR2	autocrine|paracrine	0.599448169851593
ADAM9	ITGB5	autocrine|paracrine	0.596610952508238
ICAM4	ITGAM	autocrine|paracrine	0.595783044481304
SERPINE1	ITGAV	autocrine|paracrine	0.595707706837175
CAMP	FPR2	autocrine|paracrine	0.595041008478614
COL1A2	ITGAV	autocrine|paracrine	0.594910018306404
IL18	CD48	autocrine|paracrine	0.594439562140457
COL18A1	ITGA5	autocrine|paracrine	0.594104189558292
DLL3	NOTCH2	autocrine|paracrine	0.58951732739554
JAG1	NOTCH2	autocrine|paracrine	0.589334963502838
C3	ITGB2	autocrine|paracrine	0.589288260299799
SEMA7A	PLXNC1	autocrine|paracrine	0.588451624707745
GNAI2	F2R	autocrine|paracrine	0.58774116114451
LTBP3	ITGB5	autocrine|paracrine	0.587139783962618
ADIPOQ	ADIPOR1	autocrine|paracrine	0.586458583030959
SEMA4F	NRP2	autocrine|paracrine	0.586401724979148
VCAN	ITGB1	autocrine|paracrine	0.585385439500786
CDH1	ERBB3	autocrine|paracrine	0.585240679927411
B2M	CD3D	autocrine|paracrine	0.584690595018974
DUSP18	CD151	autocrine|paracrine	0.584553216943802
LGALS3BP	VANGL1	autocrine|paracrine	0.584408985514764
TNFSF13	TNFRSF14	autocrine|paracrine	0.58272069907437
LIF	IL6ST	autocrine|paracrine	0.580173845576384
TGS1	RXRA	autocrine|paracrine	0.579375460500222
TLN1	ITGB5	autocrine|paracrine	0.579373785200029
CALM3	GP6	autocrine|paracrine	0.578954404137674
RGMB	BMPR2	autocrine|paracrine	0.577638012485503
CALM1	KCNQ1	autocrine|paracrine	0.57490284026051
CDH1	ITGAE	autocrine|paracrine	0.574462267873834
THBS1	ITGA4	autocrine|paracrine	0.573010623700575
TNF	TNFRSF1B	autocrine|paracrine	0.572306944352181
ICAM4	ITGA4	autocrine|paracrine	0.571897033480158
VCAM1	MSN	autocrine|paracrine	0.571295706691314
ICAM4	ITGAL	autocrine|paracrine	0.570083710143599
FADD	FAS	autocrine|paracrine	0.570031179419595
FN1	ITGB8	autocrine|paracrine	0.569157820979704
IL8	SDC3	autocrine|paracrine	0.569062510776715
TFPI	LRP1	autocrine|paracrine	0.568328437871593
ZP3	MERTK	autocrine|paracrine	0.56783349976558
HLA-A	CD3D	autocrine|paracrine	0.567267132623463
CYR61	ITGAV	autocrine|paracrine	0.562272930125425
HLA-B	CD3D	autocrine|paracrine	0.561005026062943
L1CAM	ITGA5	autocrine|paracrine	0.560632464082839
CD22	PTPRC	autocrine|paracrine	0.558478443479113
ITGB3BP	ITGB5	autocrine|paracrine	0.556748782902213
GNAI2	P2RY12	autocrine|paracrine	0.554639669308955
ICAM1	CAV1	autocrine|paracrine	0.554555952486496
C4A	CR1	autocrine|paracrine	0.554114060681649
IAPP	ADRB2	autocrine|paracrine	0.553784051771282
IL34	CSF1R	autocrine|paracrine	0.553076126298054
HLA-C	CD3D	autocrine|paracrine	0.552965352161149
MFGE8	PDGFRB	autocrine|paracrine	0.551016960696379
VCAN	SELL	autocrine|paracrine	0.549082266069712
SERPINE1	ITGB5	autocrine|paracrine	0.548367036287273
COL4A1	ITGB1	autocrine|paracrine	0.548109209917259
TP53	TNFRSF10D	autocrine|paracrine	0.547324664249894
TNFSF13	TNFRSF1A	autocrine|paracrine	0.547176210070899
C3	C3AR1	autocrine|paracrine	0.545435690331117
EFNA5	EPHB2	autocrine|paracrine	0.545216319750846
CCL3	CCR1	autocrine|paracrine	0.545016318046505
VCAN	TLR1	autocrine|paracrine	0.544503435275744
HRAS	SDC2	autocrine|paracrine	0.543847308850502
OMG	TNFRSF1B	autocrine|paracrine	0.543722840342357
SPP1	S1PR1	autocrine|paracrine	0.543050194808767
PECAM1	CD38	autocrine|paracrine	0.542711626530669
VCL	ITGB5	autocrine|paracrine	0.542599236927797
CX3CL1	CX3CR1	autocrine|paracrine	0.541683524669925
LAMA2	RPSA	autocrine|paracrine	0.541576570572622
COL4A5	ITGB1	autocrine|paracrine	0.541223904519651
CDH1	PTPRM	autocrine|paracrine	0.53843536653557
COL4A2	CD93	autocrine|paracrine	0.538086184905258
EFNA4	EPHA10	autocrine|paracrine	0.537373317173141
VCAN	ITGA4	autocrine|paracrine	0.537353145332291
CD47	SIRPG	autocrine|paracrine	0.536866803806401
CTHRC1	FZD5	autocrine|paracrine	0.536800742167242
IL18	IL18BP	autocrine|paracrine	0.535620415771191
SORBS1	INSR	autocrine|paracrine	0.535620370130869
SORBS1	ITGB5	autocrine|paracrine	0.532652806327305
GPC6	LRP1	autocrine|paracrine	0.532427224827919
IL15	IL2RG	autocrine|paracrine	0.53083686182564
CD200	CD200R1	autocrine|paracrine	0.530144768223953
GNAI2	CXCR2	autocrine|paracrine	0.528552100895174
COL4A1	CD47	autocrine|paracrine	0.528154596482093
SPINT1	ST14	autocrine|paracrine	0.526384156056651
CALM1	OPRM1	autocrine|paracrine	0.525793473824967
LAMA1	SDC2	autocrine|paracrine	0.525038226150784
IL11	IL6ST	autocrine|paracrine	0.523533956568851
HP	ITGAM	autocrine|paracrine	0.52306996024603
APP	CAV1	autocrine|paracrine	0.522951746578585
C3	ITGAX	autocrine|paracrine	0.522714931102243
GNAI2	S1PR4	autocrine|paracrine	0.522602595453843
F8	LDLR	autocrine|paracrine	0.521535520341599
COL4A5	CD47	autocrine|paracrine	0.521230827477463
VEGFA	NRP2	autocrine|paracrine	0.519546626772166
IL8	SDC2	autocrine|paracrine	0.517637784895102
GAS6	AXL	autocrine|paracrine	0.517428195038536
LAMC3	ITGB1	autocrine|paracrine	0.516995702719565
FGB	ITGB2	autocrine|paracrine	0.51609547020745
PGF	NRP2	autocrine|paracrine	0.515930981010471
LAMA1	SDC4	autocrine|paracrine	0.515880621143402
SEMA3E	NRP1	autocrine|paracrine	0.515629746539458
TGFB2	ENG	autocrine|paracrine	0.514395108827016
CYR61	ITGB5	autocrine|paracrine	0.514209870286909
VCAM1	ITGB1	autocrine|paracrine	0.513770460791264
CD14	ITGB1	autocrine|paracrine	0.513429739551945
TNF	TNFRSF1A	autocrine|paracrine	0.512936932328959
C5	C5AR1	autocrine|paracrine	0.512566718212417
GNAS	ADCY9	autocrine|paracrine	0.512259942717593
VEGFB	FLT1	autocrine|paracrine	0.511752148814257
THBS1	SCARB1	autocrine|paracrine	0.508550436544993
TNFSF4	TRAF2	autocrine|paracrine	0.50702435290563
FGF2	CD44	autocrine|paracrine	0.5062474142268
FN1	ITGA2	autocrine|paracrine	0.50580177657515
ICAM2	ITGB2	autocrine|paracrine	0.505325836853376
SFRP1	FZD2	autocrine|paracrine	0.504733788271087
FARP2	PLXNA3	autocrine|paracrine	0.502969279941458
