NK	Macro	interaction.type	LRscore
ACTR2	ADRB2	autocrine|paracrine	0.732106355574704
NUCB2	ERAP1	autocrine|paracrine	0.731458904706584
BMP7	ENG	autocrine|paracrine	0.730157117264378
CALM1	GP6	autocrine|paracrine	0.72807071143154
PSEN1	NCSTN	autocrine|paracrine	0.727745915647771
ICAM1	ITGAL	autocrine|paracrine	0.725894128463945
PTDSS1	JMJD6	autocrine|paracrine	0.724209706586241
GPI	AMFR	autocrine|paracrine	0.722432283000759
ARPC5	ADRB2	autocrine|paracrine	0.721737310303727
PECAM1	CD38	autocrine|paracrine	0.721674946032039
RPS27A	RIPK1	autocrine|paracrine	0.721095914077215
GNAI2	ADCY7	autocrine|paracrine	0.720727480714989
ADAM28	ITGA4	autocrine|paracrine	0.719103259175195
PSAP	GPR37L1	autocrine|paracrine	0.718305971142028
ICAM1	SPN	autocrine|paracrine	0.714002996803928
LTA	TNFRSF14	autocrine|paracrine	0.713603398855834
TNFSF10	TNFRSF10B	autocrine|paracrine	0.710602305385927
LRPAP1	LDLR	autocrine|paracrine	0.709962875856848
LTB	LTBR	autocrine|paracrine	0.708744676956923
UBB	RIPK1	autocrine|paracrine	0.708697745971624
TGFB1	CXCR4	autocrine|paracrine	0.708458056438931
GNAI2	TBXA2R	autocrine|paracrine	0.708408597536749
IRAK4	TLR6	autocrine|paracrine	0.708263539536318
ADIPOQ	ADIPOR1	autocrine|paracrine	0.707044134243201
CALM2	GP6	autocrine|paracrine	0.704880748866051
LIN7C	ABCA1	autocrine|paracrine	0.704289333262516
GSTP1	TRAF2	autocrine|paracrine	0.700392757844734
LTB	TNFRSF1A	autocrine|paracrine	0.69976774451663
UBA52	FGFR2	autocrine|paracrine	0.699576978272066
UBC	RIPK1	autocrine|paracrine	0.699250288739973
SPP1	CD44	autocrine|paracrine	0.699181053485437
PAPLN	SIRPA	autocrine|paracrine	0.696641455174748
CCL16	CCR5	autocrine|paracrine	0.692624453829646
LTA	LTBR	autocrine|paracrine	0.692401009590197
RPS27A	SMAD3	autocrine|paracrine	0.691547227069289
TNF	TNFRSF1A	autocrine|paracrine	0.68702804865562
NCAM1	PTPRA	autocrine|paracrine	0.684232771151591
LTA	TNFRSF1A	autocrine|paracrine	0.683145543150273
PSEN1	NOTCH2	autocrine|paracrine	0.680557023757404
LRPAP1	SORT1	autocrine|paracrine	0.678884297164347
UBB	SMAD3	autocrine|paracrine	0.678421307141788
IL18	CD48	autocrine|paracrine	0.67831515360264
CD55	CR1	autocrine|paracrine	0.677620535824641
DUSP18	ITGB1	autocrine|paracrine	0.677356315042895
FBLN1	ITGB1	autocrine|paracrine	0.675857963749475
ADAM17	ITGA5	autocrine|paracrine	0.673759785166951
UBA52	ACVR1	autocrine|paracrine	0.671457669153912
VCAM1	ITGB2	autocrine|paracrine	0.670095057050859
HLA-C	DDR1	autocrine|paracrine	0.668853298688221
UBC	SMAD3	autocrine|paracrine	0.668451299921459
ICAM4	ITGB1	autocrine|paracrine	0.662516397404924
UBA52	RIPK1	autocrine|paracrine	0.661305404400199
FGB	ITGB2	autocrine|paracrine	0.660582320751306
FASLG	FAS	autocrine|paracrine	0.656047603881156
LTB	CD40	autocrine|paracrine	0.65584017701193
CALM1	PDE1B	autocrine|paracrine	0.653150058138464
SERPINE2	LRP1	autocrine|paracrine	0.651038480660537
LGALS3BP	ITGB1	autocrine|paracrine	0.649559238720217
SPP1	ITGB1	autocrine|paracrine	0.648620137636495
TGFB1	ENG	autocrine|paracrine	0.646560826865253
IL11	IL6ST	autocrine|paracrine	0.643216586828618
IAPP	ADRB2	autocrine|paracrine	0.641468257210211
ICAM4	ITGAM	autocrine|paracrine	0.640521492146588
MAPK1	FGFR2	autocrine|paracrine	0.638539942174985
MDK	ITGB1	autocrine|paracrine	0.634901129933093
NCAM1	FGFR2	autocrine|paracrine	0.634071787905382
ICAM1	IL2RA	autocrine|paracrine	0.633035244023739
TGFB1	ITGB1	autocrine|paracrine	0.632511271725824
JAM3	ITGB2	autocrine|paracrine	0.631972177705531
GNAI2	F2R	autocrine|paracrine	0.631364041996023
MFNG	NOTCH1	autocrine|paracrine	0.631230765944691
UBA52	SMAD3	autocrine|paracrine	0.628684036610493
CALM2	PDE1B	autocrine|paracrine	0.626845526794328
B2M	CD3D	autocrine|paracrine	0.624196497016635
IL18	IL18BP	autocrine|paracrine	0.623965452569799
IL15	IL2RG	autocrine|paracrine	0.619146315454042
ICAM4	ITGA4	autocrine|paracrine	0.617582253699631
VCAM1	MSN	autocrine|paracrine	0.617580587535111
MDK	LRP1	autocrine|paracrine	0.616521207269183
ICAM4	ITGAL	autocrine|paracrine	0.615832451371012
TNFSF10	TNFRSF10C	autocrine|paracrine	0.61546342219806
CEACAM5	CD1D	autocrine|paracrine	0.613100393935481
ADAM10	NOTCH1	autocrine|paracrine	0.612760211726721
CD14	ITGB2	autocrine|paracrine	0.607807476205528
HLA-B	CD3D	autocrine|paracrine	0.604351971910666
CD40LG	ITGB2	autocrine|paracrine	0.603804808534482
SPP1	ITGA4	autocrine|paracrine	0.602944639526498
CALM3	INSR	autocrine|paracrine	0.600362597033282
OLAH	MOG	autocrine|paracrine	0.59999794979482
LAMC2	ITGB1	autocrine|paracrine	0.599818011521528
SEMA4C	PLXNB2	autocrine|paracrine	0.597748395856623
HLA-C	CD3D	autocrine|paracrine	0.596759625863067
CALM3	AQP6	autocrine|paracrine	0.596554888837321
ADAM9	ITGB1	autocrine|paracrine	0.593145753545597
HLA-A	CD3D	autocrine|paracrine	0.590908177542423
MDK	ITGA4	autocrine|paracrine	0.588573490509513
TNF	TRADD	autocrine|paracrine	0.585813018909871
SERPINE1	PLAUR	autocrine|paracrine	0.581973082287469
SPTAN1	PTPRA	autocrine|paracrine	0.577409295119454
AREG	ERBB3	autocrine|paracrine	0.576715602876868
CALM1	OPRM1	autocrine|paracrine	0.576452633494895
ADAM17	NOTCH1	autocrine|paracrine	0.576200947296632
ADAM15	ITGB1	autocrine|paracrine	0.575993738372679
A2M	LRP1	autocrine|paracrine	0.574779327807164
HBEGF	CD44	autocrine|paracrine	0.574593495145326
GNAI2	CXCR2	autocrine|paracrine	0.573897424300585
NCAM1	ROBO3	autocrine|paracrine	0.573738942418004
SPP1	ITGA5	autocrine|paracrine	0.570583140042202
PSEN1	NOTCH1	autocrine|paracrine	0.569418761655363
GNAI2	S1PR4	autocrine|paracrine	0.56805250875053
TNFSF10	TNFRSF10A	autocrine|paracrine	0.567918255914128
LIF	IL6ST	autocrine|paracrine	0.567735365649837
PLG	ITGB2	autocrine|paracrine	0.567409724098161
IL24	IL10RB	autocrine|paracrine	0.56313072873514
FGF5	FGFR2	autocrine|paracrine	0.562790699278329
PIGF	FLT1	autocrine|paracrine	0.562021729921327
IL16	KCNA3	autocrine|paracrine	0.561662618021912
VCAM1	ITGB1	autocrine|paracrine	0.561498983778334
OMG	TNFRSF1B	autocrine|paracrine	0.559847921560413
CALM3	GP6	autocrine|paracrine	0.55820984976059
PLTP	ABCA1	autocrine|paracrine	0.556713393220487
SEMA4D	MET	autocrine|paracrine	0.556505293281068
DUSP18	CD151	autocrine|paracrine	0.554071635561903
BMP8A	BMPR2	autocrine|paracrine	0.553579691665796
FGB	ITGB1	autocrine|paracrine	0.550953291964557
CCL8	CCR1	autocrine|paracrine	0.550626490458131
PRSS23	TMEM222	autocrine|paracrine	0.549919124481675
MFAP5	NOTCH1	autocrine|paracrine	0.549468453535652
TGS1	RXRA	autocrine|paracrine	0.548144954936901
HBEGF	CD9	autocrine|paracrine	0.548026258558354
APOD	LEPR	autocrine|paracrine	0.546826190109483
CD47	SIRPG	autocrine|paracrine	0.546005131731072
VCAM1	EZR	autocrine|paracrine	0.545853471958455
C4A	C3AR1	autocrine|paracrine	0.545296313496924
GNAI2	S1PR3	autocrine|paracrine	0.544907197483149
SEMA7A	ITGB1	autocrine|paracrine	0.543519610399678
TNF	TNFRSF21	autocrine|paracrine	0.542927807449424
GNAI2	EDNRB	autocrine|paracrine	0.541043683911454
CCL3L1	CCR1	autocrine|paracrine	0.539957812257839
POMC	ADRB2	autocrine|paracrine	0.53871975978067
VCAN	CD44	autocrine|paracrine	0.537917777223351
MMP9	ITGB2	autocrine|paracrine	0.534779424862776
FGB	TLR4	autocrine|paracrine	0.533100492972129
HBEGF	CD82	autocrine|paracrine	0.532501800351364
COL6A2	ITGB1	autocrine|paracrine	0.532056601050064
BMP7	BMPR2	autocrine|paracrine	0.528577183275401
FGB	ITGAM	autocrine|paracrine	0.526879816607352
PLG	PLAUR	autocrine|paracrine	0.525772100217742
THBS1	ITGB1	autocrine|paracrine	0.52538763328362
FASLG	TNFRSF6B	autocrine|paracrine	0.524288039715307
IL15	IL15RA	autocrine|paracrine	0.524078518161341
CD1D	LILRB2	autocrine|paracrine	0.52133991946922
S100A8	TLR4	autocrine|paracrine	0.519891007175959
JAM3	ITGB1	autocrine|paracrine	0.519819521954447
LAMA4	ITGB1	autocrine|paracrine	0.517337169550235
BTLA	TNFRSF14	autocrine|paracrine	0.515342386978794
SEMA4A	PLXNB2	autocrine|paracrine	0.51489463527147
VCAM1	ITGA4	autocrine|paracrine	0.513001600177004
S100A1	TLR4	autocrine|paracrine	0.51243484898596
TGFB1	TGFBR1	autocrine|paracrine	0.510873771572284
MFGE8	ITGAV	autocrine|paracrine	0.507983463108492
HLA-A	ERBB2	autocrine|paracrine	0.506898592790862
TIMP2	ITGB1	autocrine|paracrine	0.506363306128188
TNFSF13	TNFRSF14	autocrine|paracrine	0.506255595889423
THBS1	LRP1	autocrine|paracrine	0.505786053663582
THBS1	CD47	autocrine|paracrine	0.505335187297939
CD36	TLR4	autocrine|paracrine	0.505042813871419
CCL16	HRH4	autocrine|paracrine	0.504615258570913
THBS1	CD36	autocrine|paracrine	0.504485559710595
C1QB	LRP1	autocrine|paracrine	0.503551910387168
TGFB1	TGFBR2	autocrine|paracrine	0.501605319641355
