T_cell	T_cell.1	interaction.type	LRscore
UBA52	ACVR1	autocrine	0.634565436251465
ARPC5	ADRB2	autocrine	0.634359520897794
MFNG	NOTCH2	autocrine	0.63344199462661
CALM1	OPRM1	autocrine	0.632329629985533
PVR	CD96	autocrine	0.631576409486258
PVR	CD96	autocrine	0.631576409486258
ADAM10	NOTCH1	autocrine	0.630226325237394
PVR	TIGIT	autocrine	0.627986933710254
ACTR2	ADRB2	autocrine	0.625007267797408
GNAI2	S1PR1	autocrine	0.624494248688248
DUSP18	ITGB1	autocrine	0.622071602039837
IL15	IL2RB	autocrine	0.621917020790966
TNFSF10	TNFRSF10B	autocrine	0.619760301277461
IL21	IL2RG	autocrine	0.619167102094764
HLA-G	KLRC1	autocrine	0.617130197614594
SPON2	ITGB2	autocrine	0.616373962876179
B2M	HFE	autocrine	0.615639191048367
B2M	KIR3DL1	autocrine	0.613419581703628
B2M	KIR2DL3	autocrine	0.611730404770363
HLA-A	KIR3DL2	autocrine	0.611550358304137
HLA-G	LILRB1	autocrine	0.611257686642031
ARF1	PLD2	autocrine	0.610407289826088
IRAK4	TLR6	autocrine	0.609415201104783
SEMA4D	CD72	autocrine	0.607696514301222
CCL16	HRH4	autocrine	0.606024097129206
ADAM28	ITGA4	autocrine	0.603227543543885
FGB	ITGB2	autocrine	0.600989573336352
ADAM17	NOTCH1	autocrine	0.597606585371184
ICAM3	ITGAD	autocrine	0.597569482224886
TNFSF10	TNFRSF10A	autocrine	0.593621430531507
HLA-B	KIR3DL1	autocrine	0.589287526428457
PSEN1	NCSTN	autocrine	0.588286000560923
FASLG	TNFRSF1A	autocrine	0.588274655096545
GZMB	PGRMC1	autocrine	0.587929267858069
HLA-B	KIR2DL3	autocrine	0.587563800762809
B2M	LILRB2	autocrine	0.587221525223629
CALR	TSHR	autocrine	0.584947301012275
FADD	FAS	autocrine	0.583119839177802
ADIPOQ	ADIPOR1	autocrine	0.581987387618385
HLA-A	KIR3DL1	autocrine	0.5810104599787
HLA-C	KIR3DL1	autocrine	0.580451656237834
LAMC2	ITGB1	autocrine	0.57996811791478
HLA-A	KIR2DL3	autocrine	0.579276797545927
HLA-C	KIR2DL3	autocrine	0.578717358156204
MFAP5	NOTCH1	autocrine	0.578248199703792
IAPP	ADRB2	autocrine	0.576255073531891
CALR	ITGAV	autocrine	0.575839492247896
CD274	PDCD1	autocrine	0.573371429795839
PTMA	VIPR1	autocrine	0.572890187437969
IFNG	IFNGR2	autocrine	0.567629385264245
B2M	KIR2DL1	autocrine	0.567282711907812
CALM1	ABCA1	autocrine	0.566412979829985
HLA-E	KIR3DL1	autocrine	0.565943332876654
CD6	ALCAM	autocrine	0.565901718363092
SEMA7A	ITGB1	autocrine	0.56579896788456
CALM2	ABCA1	autocrine	0.564997683249676
SPP1	CD44	autocrine	0.564988047112914
CD99	PILRA	autocrine	0.56397453677806
PSEN1	NOTCH1	autocrine	0.563102400035964
HLA-B	LILRB2	autocrine	0.562620141828193
CD200	CD200R1	autocrine	0.559852755022062
TNF	TRADD	autocrine	0.559051222442093
LAMB2	RPSA	autocrine	0.558238041224464
CCL3	CCR1	autocrine	0.557893994534522
HLA-A	LILRB2	autocrine	0.554212204561949
GNAI2	S1PR4	autocrine	0.55389070905396
HLA-C	LILRB2	autocrine	0.553645117527741
CCL5	GPR75	autocrine	0.55362632502167
CDH1	ITGB7	autocrine	0.553545501778099
CDH1	ITGAE	autocrine	0.552980131949546
IL2	IL2RG	autocrine	0.550856846245987
FGF5	FGFR1	autocrine	0.548270705428451
CALM1	HMMR	autocrine	0.547566602461553
IL7	IL2RG	autocrine	0.544496058070346
TNF	TRAF2	autocrine	0.543009049490709
CD40LG	TRAF3	autocrine	0.542933009097045
ADAM15	ITGB1	autocrine	0.54290670517306
TGFB1	ITGB1	autocrine	0.541859854095112
GNAS	ADCY1	autocrine	0.541571833589522
CDH1	KLRG1	autocrine	0.540352023110124
GNAS	TSHR	autocrine	0.539678553408748
PSEN1	NOTCH2	autocrine	0.539544943270344
HLA-A	ERBB2	autocrine	0.538804143676481
FN1	CD44	autocrine	0.538181398392074
HLA-F	KIR3DL2	autocrine	0.536803802020768
ICAM1	IL2RA	autocrine	0.535524688466921
MAPK1	FGFR2	autocrine	0.534844855147136
HLA-A	KIR2DL1	autocrine	0.533944390144158
HLA-C	KIR2DL1	autocrine	0.533373228516725
CD80	CTLA4	autocrine	0.531866303370681
IL2	CD53	autocrine	0.530742570906759
CD80	CD28	autocrine	0.526472976248508
CALM1	MYLK	autocrine	0.526126293352359
CCL3L1	CCR5	autocrine	0.525155927611947
GNAI2	CAV1	autocrine	0.524884091883679
TNFSF15	TNFRSF25	autocrine	0.524725230322822
CALM2	MYLK	autocrine	0.524689845748769
OSM	IL6ST	autocrine	0.524054281802468
CALM1	PDE1B	autocrine	0.523860361546952
CTF1	IL6ST	autocrine	0.523412879195592
IL11	IL11RA	autocrine	0.522976918807859
IL23A	IL12RB1	autocrine	0.522800939360591
RPS27A	ERBB2	autocrine	0.522629773832476
CALM2	PDE1B	autocrine	0.522423280118274
CALM1	VIPR1	autocrine	0.522112255426897
SEMA4D	MET	autocrine	0.521546868082246
PIGF	FLT1	autocrine	0.519142571373499
HLA-C	KIR2DS4	autocrine	0.518539303022143
CCL16	CCR2	autocrine	0.516254101005233
UBC	ERBB2	autocrine	0.516029872264558
SELPLG	SELP	autocrine	0.51433755125828
TNFSF9	TRAF2	autocrine	0.514263865571708
FGB	ITGB1	autocrine	0.513643079505077
HSP90B1	TLR1	autocrine	0.512405709130601
RPS27A	TLR4	autocrine	0.509661243141768
GNAI2	S1PR3	autocrine	0.507947022282972
TNFSF4	TRAF2	autocrine	0.507301342218919
TNF	TNFRSF1A	autocrine	0.506087407978064
HLA-F	KIR3DL1	autocrine	0.505142566186968
BTLA	CD79A	autocrine	0.505101740231673
CCL16	CCR1	autocrine	0.503298229126663
UBC	TLR4	autocrine	0.503052530826453
MRC1	PTPRC	autocrine	0.502481013812075
PLAT	ITGB2	autocrine	0.502147129586828
CD22	PTPRC	autocrine	0.500921531004747
MDK	ITGA4	autocrine	0.500661497820938
