NK	T_cell	interaction.type	LRscore
ARPC5	ADRB2	autocrine|paracrine	0.650935008402158
DUSP18	ITGB1	autocrine|paracrine	0.650298417128236
FBLN1	ITGB1	autocrine|paracrine	0.648739571783745
HLA-G	KLRC1	autocrine|paracrine	0.647487111330756
LIF	IL6ST	autocrine|paracrine	0.645217106714107
ARF1	PLD2	autocrine|paracrine	0.644070910782355
HLA-G	LILRB1	autocrine|paracrine	0.641809968147712
ADAM10	NOTCH1	autocrine|paracrine	0.638314491655643
SPP1	ITGA4	autocrine|paracrine	0.636841516507528
ICAM4	ITGB1	autocrine|paracrine	0.634884812109069
MFNG	NOTCH2	autocrine|paracrine	0.634454558563338
IL15	IL2RB	autocrine|paracrine	0.633808004174045
CCL22	CCR4	autocrine|paracrine	0.63356323335539
FGF5	FGFR2	autocrine|paracrine	0.632087525277746
UBA52	ACVR1	autocrine|paracrine	0.628594980054303
CD59	CD2	autocrine|paracrine	0.623603552335794
MDK	ITGA4	autocrine|paracrine	0.62292997816684
VCAM1	EZR	autocrine|paracrine	0.621929384519142
LGALS3BP	ITGB1	autocrine|paracrine	0.621472908084388
PSEN1	NCSTN	autocrine|paracrine	0.620513466684066
SPP1	ITGB1	autocrine|paracrine	0.620502514732044
SEMA4D	CD72	autocrine|paracrine	0.618672979112804
VCAM1	ITGB2	autocrine|paracrine	0.617973197565663
CXCL16	CXCR6	autocrine|paracrine	0.617275139998248
B2M	HFE	autocrine|paracrine	0.614847705647474
VCAM1	MSN	autocrine|paracrine	0.614413111748294
AREG	ERBB3	autocrine|paracrine	0.612834026781584
B2M	KIR3DL1	autocrine|paracrine	0.612626401596025
B2M	KIR2DL3	autocrine|paracrine	0.610935957050985
NCAM1	FGFR1	autocrine|paracrine	0.609985575640862
HLA-A	KIR3DL2	autocrine|paracrine	0.6095923119557
FGB	ITGB2	autocrine|paracrine	0.607837101278747
MDK	ITGB1	autocrine|paracrine	0.60635196145635
CALM3	GP6	autocrine|paracrine	0.606331541452965
ICAM1	IL2RA	autocrine|paracrine	0.606004946500305
ICAM3	ITGAD	autocrine|paracrine	0.605436337682236
CCL16	HRH4	autocrine|paracrine	0.604111136747768
TGFB1	ITGB1	autocrine|paracrine	0.603891816977808
ADIPOQ	ADIPOR1	autocrine|paracrine	0.603640241120754
GNAI2	S1PR4	autocrine|paracrine	0.603174461653733
GNAS	PTGDR	autocrine|paracrine	0.602756721866639
ADAM17	NOTCH1	autocrine|paracrine	0.602603161931501
IRAK4	TLR6	autocrine|paracrine	0.602060942407182
CALM1	ABCA1	autocrine|paracrine	0.598820483705828
PSEN1	NOTCH1	autocrine|paracrine	0.595947210905685
HLA-B	KIR3DL1	autocrine|paracrine	0.592569704979523
CALR	ITGAV	autocrine|paracrine	0.591281870307129
HLA-B	KIR2DL3	autocrine|paracrine	0.590850190164769
SPTAN1	PTPRA	autocrine|paracrine	0.588243875806069
ULBP2	KLRK1	autocrine|paracrine	0.587682877285299
B2M	LILRB2	autocrine|paracrine	0.586410834356118
APOD	LEPR	autocrine|paracrine	0.585822007130784
HLA-C	KIR3DL1	autocrine|paracrine	0.584906554350962
HLA-C	KIR2DL3	autocrine|paracrine	0.583177447543973
PIGF	FLT1	autocrine|paracrine	0.580789832323398
HLA-A	KIR3DL1	autocrine|paracrine	0.579004446525217
JAM3	ITGB2	autocrine|paracrine	0.577623733066962
HLA-A	KIR2DL3	autocrine|paracrine	0.577268522915761
MFAP5	NOTCH1	autocrine|paracrine	0.576311477836249
GNAI2	CAV1	autocrine|paracrine	0.574913029255126
PSEN1	NOTCH2	autocrine|paracrine	0.572817228736025
HBEGF	CD44	autocrine|paracrine	0.572542554362539
CALM2	ABCA1	autocrine|paracrine	0.571101307675119
LAMC2	ITGB1	autocrine|paracrine	0.570381834152255
HLA-E	KIR3DL1	autocrine|paracrine	0.568161459098376
B2M	KIR2DL1	autocrine|paracrine	0.566461772494411
HLA-B	LILRB2	autocrine|paracrine	0.565958463671712
TNF	TRADD	autocrine|paracrine	0.56507775923498
ICAM1	ITGAX	autocrine|paracrine	0.56495947804702
ADAM9	ITGB1	autocrine|paracrine	0.563575881836428
IAPP	ADRB2	autocrine|paracrine	0.56261913220609
HHLA3	CHRM3	autocrine|paracrine	0.559939448925039
TNFSF9	TNFRSF9	autocrine|paracrine	0.559102042646546
CD99	PILRA	autocrine|paracrine	0.558316219004164
GNAI2	S1PR3	autocrine|paracrine	0.558258460610241
HLA-C	LILRB2	autocrine|paracrine	0.558167991584059
CALM1	PDE1B	autocrine|paracrine	0.556960628393565
CD14	ITGB2	autocrine|paracrine	0.552417847848564
HSP90B1	TLR1	autocrine|paracrine	0.552401220029496
HLA-A	LILRB2	autocrine|paracrine	0.552176779698184
HLA-F	KIR3DL2	autocrine|paracrine	0.550499255640175
TNF	TRAF2	autocrine|paracrine	0.549077992967578
VCAM1	ITGA4	autocrine|paracrine	0.548831343388119
CD40LG	ITGB2	autocrine|paracrine	0.548270018184995
IFNG	IFNGR1	autocrine|paracrine	0.547940518751498
CDH1	ITGB7	autocrine|paracrine	0.547909462708951
CDH1	ITGAE	autocrine|paracrine	0.547342792061398
ADAM15	ITGB1	autocrine|paracrine	0.546131152710317
HBEGF	CD82	autocrine|paracrine	0.543829008231694
GNAI2	CXCR2	autocrine|paracrine	0.543259252195804
IL7	IL2RG	autocrine|paracrine	0.540666722494187
HLA-C	KIR2DL1	autocrine|paracrine	0.53793007877337
FGF5	FGFR1	autocrine|paracrine	0.537435401638714
ICAM1	CAV1	autocrine|paracrine	0.536926497809885
HLA-A	ERBB2	autocrine|paracrine	0.536757171151986
VCAN	CD44	autocrine|paracrine	0.535832855168525
CDH1	KLRG1	autocrine|paracrine	0.534689435334515
FADD	FAS	autocrine|paracrine	0.533786260215401
SEMA4D	MET	autocrine|paracrine	0.533081729304583
HLA-A	KIR2DL1	autocrine|paracrine	0.531894587390819
VCAM1	ITGB1	autocrine|paracrine	0.531445977881456
IL11	IL11RA	autocrine|paracrine	0.531046847568885
TNFSF15	TNFRSF25	autocrine|paracrine	0.528894073235112
CALM2	PDE1B	autocrine|paracrine	0.528625892728094
LTB	TNFRSF1A	autocrine|paracrine	0.527164506873913
OMG	TNFRSF1B	autocrine|paracrine	0.526040957833347
SELPLG	ITGAM	autocrine|paracrine	0.524851451296834
TGFB1	TGFBR2	autocrine|paracrine	0.524658168332923
HLA-C	KIR2DS4	autocrine|paracrine	0.523111494184005
RPS27A	ERBB2	autocrine|paracrine	0.521967950696057
CD55	CR1	autocrine|paracrine	0.520979626877246
FGB	ITGB1	autocrine|paracrine	0.520794358715742
THBS1	CD47	autocrine|paracrine	0.519474201637294
HLA-F	KIR3DL1	autocrine|paracrine	0.518935223571496
SEMA7A	ITGB1	autocrine|paracrine	0.513302449995585
THBS1	ITGA4	autocrine|paracrine	0.512582357947246
PRSS23	TMEM222	autocrine|paracrine	0.512449506388719
TNF	TNFRSF1A	autocrine|paracrine	0.512206209878531
CCL21	CCR7	autocrine|paracrine	0.511792725593618
GNAI2	C5AR1	autocrine|paracrine	0.511204041379934
PLG	ITGB2	autocrine|paracrine	0.510905751390829
BTLA	CD247	autocrine|paracrine	0.509153876043819
RPS27A	TLR4	autocrine|paracrine	0.508998331936376
LTA	TNFRSF1A	autocrine|paracrine	0.507708985665428
GNAS	ADCY1	autocrine|paracrine	0.507351628085735
UBB	ERBB2	autocrine|paracrine	0.506772565864868
COL6A2	ITGB1	autocrine|paracrine	0.501776203389482
CCL16	CCR1	autocrine|paracrine	0.50129693816239
HLA-C	DDR1	autocrine|paracrine	0.500012321946132
